500
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16.9567 24.6046
0 0.0963269 0 0 0.110582 0 0 0.697019 0.0337249 0 0 0.914747 0 0 0 16.522 25.0363
0 0 0 1.228 0.110562 0 0 0.696937 0.0337183 0.638127 0 0 0 0 0 16.522 24.6046
0 0 0 1.2278 0.110542 0 0 0.696855 0.0337118 0.638 0 0 0 0 0 16.9567 25.0363
0 0 0 1.2276 0.110522 0 0 0.696773 0.0337053 0.637872 0 0 0 0 0 16.522 24.6046
0.98601 1.09658 0.733478 0.227403 0 0 0 0 0.0336988 0 0 0 0 0 0 16.522 24.6046
0.985812 1.09647 0.733393 0.227366 0 0 0 0 0.0336923 0 0 0 0 0 0 16.522 24.6046
0 1.09626 0.733224 0.227292 0.110804 1.61912 0 1.69656 0.0336793 0 1.80518 0 0 0 0 16.522 25.0363
0 1.09616 0.733139 0.227255 0.110784 1.61892 0 1.69636 0.0336728 0 1.80498 0 0 0 0 16.522 25.0363
0 1.09605 0 0.227218 0 0 0.218679 0 0.0336663 0 0 0 0 0 0 16.522 25.0363
0 1.09595 0 0.227181 0 0 0.218643 0 0.0336598 0 0 0 0 0 0 16.522 25.0363
0.986229 0 0 0 1.11108 0 0.218607 0.696235 0.0336533 0 0 0 0 0 0 16.522 25.0363
0.986032 0 0 0 1.11088 0 0.218571 0.696153 0.0336468 0 0 0 0 0 0 16.522 25.0363
0.985835 0 0 0 1.11068 0 0.218535 0.696071 0.0336403 0 0 0 0 0 0 16.522 25.0363
0 2.0961 0.733439 0 0.110483 0 0 0 1.03363 0.638468 0 0.915185 0 0 0 16.522 24.6046
0 2.0959 0.733355 0 0.110463 0 0 0 1.03343 0.638341 0 0.915002 0 0 0 16.522 24.6046
1.98604 0.0957028 0 1.22777 1.11044 0 0.218756 0 1.03323 0 0 0 0 0 0 16.522 25.0363
1.98565 0.0956937 0 1.22757 1.11024 0 0.21872 0 1.03304 0 0 0 0 0 0 16.522 25.0363
1.98525 0.0956845 0 1.22737 1.11004 0 0.218684 0 1.03284 0 0 0 0 0 0 16.522 25.0363
