400 -> 350 -> 400
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist
8.50323 8.17186 36.5829 3.85386 2.29936 18.7536 8.3063 20.4167 0 0 22.6462 12.0977 350 350 397 25.6524 20.7198
8.58408 8.45573 36.4228 3.87343 1.15251 17.7166 8.28505 20.2438 0 0 22.4016 12.8955 350 350 396 25.6524 21.1514
8.12406 8.59744 36.3428 3.88303 2.57909 20.6981 7.77388 18.1573 1.34314 0 24.7794 9.29433 350 350 239 25.6524 20.7198
7.89366 8.66807 36.3027 3.88764 3.29206 22.1888 7.51782 17.1141 2.51524 0 25.9683 7.49356 350 350 238 25.6524 20.7198
7.77806 8.70316 36.2827 3.88976 3.64823 22.9342 7.38932 16.5925 3.10092 0 26.5627 6.59298 350 350 393 25.6524 21.1514
7.21988 9.22049 35.7727 4.39063 2.826 23.3069 7.82459 17.3317 2.39339 0 25.8599 8.14248 350 350 361 25.6524 21.1514
6.94044 9.4789 35.5177 4.64083 2.41472 23.4932 8.04169 17.7013 2.03946 0 25.5085 8.91689 350 350 516 25.6524 20.7198
8.80038 9.60785 34.3902 3.76569 2.20893 21.0864 7.64969 19.3861 0.86232 0 24.3328 10.3038 350 350 390 25.6524 21.1514
9.73035 9.67208 33.8265 3.32799 2.10587 19.883 7.45322 20.2285 0.273784 0 23.745 10.9972 350 350 358 25.6524 21.1514
8.69534 9.20395 34.0446 3.10899 5.05419 16.7813 8.85451 19.6497 0.479547 0 22.9511 14.3439 350 350 357 25.6524 21.1514
8.17744 8.96965 34.1536 2.99936 6.52771 15.2304 9.55515 19.3603 0.582361 0 22.5541 16.0173 350 350 231 25.6524 21.1514
7.9181 8.85228 34.2082 2.9444 7.26385 14.455 9.90547 19.2156 0.633699 0 22.3556 16.8539 350 350 355 25.6524 20.7198
7.28804 6.79337 35.2354 2.41678 5.63128 16.5673 9.08063 19.1432 3.1593 0 22.7564 14.2723 350 350 354 25.6524 21.1514
6.97267 5.7638 35.7491 2.15288 4.81468 17.6234 8.66767 19.107 4.42153 0 22.9568 12.9814 350 350 353 25.6524 20.7198
8.31464 5.74889 36.0059 5.52084 3.90607 20.6515 6.96065 21.0889 1.05208 0 26.0569 12.336 350 350 227 25.6524 21.1514
8.98563 5.74129 36.1343 7.20439 3.45152 22.1655 6.1068 22.0799 0 0 27.607 12.0133 350 350 352 25.6524 21.1514
9.32112 5.73734 36.1985 8.04573 3.22401 22.9225 5.67953 22.5754 0 0 28.3821 11.852 350 350 226 25.6524 21.1514
9.48887 6.23522 34.7306 6.46597 3.11002 20.801 7.46555 22.3231 0.104792 0 27.2696 10.2713 350 350 226 25.6524 21.1514
9.57274 6.48399 33.9967 5.67586 3.05279 19.7403 8.35856 22.197 0.894236 0 26.7134 9.48065 350 350 506 25.6524 21.1514
7.61468 6.6082 34.6297 4.78057 3.02394 22.7099 7.30506 20.6339 0.788789 0 23.9353 9.08502 350 350 505 25.6524 21.1514
6.63536 6.67013 34.9462 4.33273 3.00928 24.1947 6.77791 19.8524 0.735998 1.10971 22.5462 8.8869 350 350 223 25.6524 21.1514
6.14541 6.70092 35.1045 4.10863 3.00171 24.9371 6.51392 19.4616 0.709533 1.74049 21.8517 8.78753 350 350 347 25.6524 21.1514
5.90014 6.71615 34.1836 3.99639 3.49769 20.8083 6.88151 22.7662 1.19623 0 22.5044 7.73754 350 350 346 25.6524 21.1514
5.77722 6.72359 33.7231 3.94008 3.74536 18.7439 7.06484 24.4185 1.43941 0 22.8308 7.21231 350 350 501 25.6524 20.7198
6.21547 7.72713 32.9929 4.41174 2.86889 21.2117 8.15602 22.2447 2.06084 0 22.494 8.94945 350 350 344 25.6524 21.1514
6.43426 8.22868 32.6278 4.64733 2.43049 22.4456 8.70162 21.1578 2.37128 0 22.3255 9.81803 350 350 343 25.6524 21.1514
6.54331 8.47923 32.4453 4.76489 2.21114 23.0626 8.97441 20.6143 2.52623 0 22.2413 10.2523 350 350 217 25.6524 20.7198
5.09749 12.6043 33.854 3.32343 1.6013 21.8711 10.1108 13.8426 0.603442 0 21.6992 8.96946 350 350 217 25.6524 21.1514
4.3744 14.6668 34.5583 2.60262 1.2963 21.2753 10.679 10.4564 0 0 21.4282 8.32776 350 350 341 25.6524 21.1514
