... -> 435 -> 440 -> 445
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist
5.08695 1.83955 38.6114 1.24683 1.00078 17.9184 5.75 19.6529 0.487275 0 26.9614 9.18917 440 440 263 24.7828 18.9931
6.64247 5.71876 40.0143 1.6783 1.13922 19.1389 4.25439 17.7381 1.13096 0 27.1984 9.47549 440 440 419 24.7828 19.4248
7.41993 7.65837 40.7157 1.89391 1.20838 19.7492 3.50644 16.7807 1.45263 0 27.317 9.61865 440 440 294 24.7828 19.8565
7.80836 8.62817 41.0664 2.00159 1.24289 20.0544 3.13231 16.302 1.61329 0.247011 27.3762 9.69023 440 440 263 24.7828 19.8565
7.00228 8.11307 42.2418 2.55531 2.26007 21.2069 2.9451 15.5626 2.19344 0.591492 26.9059 11.226 440 440 763 24.7828 19.8565
6.59902 7.8552 42.8295 2.83198 2.76849 21.7832 2.85134 15.1929 2.48324 0.763718 26.6707 11.9939 440 440 889 24.7828 19.8565
5.89716 6.22594 41.1233 1.47014 1.52252 20.5713 4.30431 17.0081 1.62787 0 26.0531 9.37786 440 440 607 25.2176 19.8565
5.54605 5.41111 40.2702 0.789212 0.899518 19.9654 5.03048 17.9157 1.20011 0 25.7443 8.06945 440 440 733 25.2176 19.8565
5.3703 5.0035 39.8437 0.448741 0.588003 19.6625 5.39325 18.3695 0.986149 0 25.5899 7.41486 440 440 608 25.2176 19.8565
2.28224 5.2995 39.6304 0.7785 0 19.011 4.57432 18.0964 1.37909 0 28.0127 8.58718 440 440 453 24.7828 19.8565
0.738236 5.44726 39.5238 0.943314 0 18.6852 4.16465 17.9598 1.57539 0 29.2241 9.17333 440 440 266 25.2176 19.8565
3.46626 5.5209 36.4705 1.02566 0 21.0224 5.45961 14.8915 0 0 28.3298 8.46641 440 440 297 24.7828 19.8565
4.83005 5.55748 34.9438 1.06676 0 22.1909 6.10672 13.3574 0 0 27.8826 8.11251 440 440 267 25.2176 19.8565
5.51173 5.57553 34.1805 1.08725 0 22.7752 6.42991 12.5903 0 0 27.6591 7.93512 440 440 267 24.7828 19.8565
4.35234 1.08431 36.7988 1.59743 0.797267 21.5674 6.09113 15.7068 0 0 25.5473 8.84598 440 440 298 25.2176 19.8565
3.77253 0 38.108 1.8524 1.53693 20.9634 5.92143 17.265 0 0 24.4914 9.30141 440 440 424 24.7828 19.8565
1.48251 3.21627 39.2626 2.97976 0.406646 20.6615 6.33626 17.0441 0 0 25.9634 8.52912 440 440 268 24.7828 19.8565
0.337524 5.40465 39.8399 3.5432 0 20.5105 6.54331 16.9337 0 0 26.6995 8.14254 440 440 143 24.7828 19.8565
0 6.49851 40.1285 3.82468 0 20.435 6.64646 16.8785 0 0 27.0675 7.9488 440 440 268 24.7828 19.8565
3.47886 6.04512 40.7728 2.96518 0 18.3972 6.69767 17.8509 0 0 26.2515 7.35149 440 440 424 24.7828 19.8565
5.3355 5.81819 41.095 2.5353 0.0971856 17.3784 6.72291 18.3371 0 0 25.8435 7.05245 440 440 299 24.7828 19.4248
4.76356 4.70448 40.7561 1.82024 0.686859 18.3689 6.73516 17.0801 0.149664 0 26.1395 6.40255 440 440 300 24.7828 19.4248
4.47744 4.14747 40.5866 1.46265 0.981626 18.8642 6.74091 16.4517 0.462426 0 26.2875 6.07727 440 440 144 24.7828 19.4248
4.33422 3.86881 40.5019 1.28379 1.12894 19.1119 6.74342 16.1375 0.618731 0 26.3615 5.9143 440 440 269 24.7828 19.8565
4.26247 3.72933 39.9595 1.19429 1.70253 18.7357 6.2443 17.4804 0.696807 0 24.8985 4.83249 440 440 425 24.7828 19.8565
4.22643 3.65944 39.6883 1.14948 1.9892 18.5476 5.99443 18.1518 0.735768 0 24.167 4.29137 440 440 300 24.7828 19.4248
4.70827 4.12434 38.0527 1.12701 1.63241 18.9535 5.86918 17.9875 0.755172 0 23.8012 6.02059 440 440 145 24.7828 19.4248
4.949 4.35659 37.2349 1.11571 1.45395 19.1565 5.80624 17.9054 0.764798 0 23.6184 6.88476 440 440 145 24.7828 19.8565
5.06917 4.47252 36.826 1.10999 1.36465 19.258 5.77446 17.8643 0.769534 0 23.5269 7.31641 440 440 301 24.7828 19.8565
5.12907 3.03029 39.6216 1.10707 2.31993 20.3087 5.75826 17.8438 0.271825 0 25.4812 8.03179 440 440 145 24.7828 19.8565
5.15883 2.3091 41.0194 1.10554 2.79739 20.8341 5.74984 17.8335 0.0229936 0 26.4583 8.38898 440 440 426 24.7828 19.8565
2.17353 2.44844 39.2183 0 3.03595 17.5968 7.24532 15.8284 0 0 25.9469 7.56707 440 440 302 24.7828 19.8565
0.680903 2.518 38.3177 0 3.15505 15.9781 7.99258 14.8258 0 0 25.6912 7.15574 440 440 146 24.7828 19.8565
0 2.55267 37.8674 0 3.21442 15.1688 8.36573 14.3245 0 0 25.5633 6.94968 440 440 427 24.7828 19.4248
2.06151 2.56989 37.6423 0 3.74393 15.2642 6.55183 17.5739 0 0 24.4994 7.34627 440 440 271 24.7828 19.4248
3.1248 2.5784 37.5297 0 4.00845 15.3118 5.64462 19.1986 0 0 23.9674 7.54413 440 440 614 24.7828 19.4248
2.6563 2.58253 38.4734 0 3.64048 16.8357 6.19075 19.0109 0.311116 0 23.2015 8.14261 440 440 615 25.2176 19.8565
2.42196 2.58449 38.9453 0 3.45632 17.5976 6.46345 18.9171 1.54349 0 22.8185 8.44135 440 440 459 25.2176 19.8565
2.30472 2.58536 39.1812 0 3.36406 17.9785 6.59943 18.8702 2.1594 0 22.627 8.59023 440 440 460 25.2176 19.4248
3.24602 1.58569 39.7992 0 2.81776 16.669 6.16706 17.8467 1.46708 0 23.5312 7.16417 440 440 585 24.7828 19.8565
3.71651 1.08582 40.1082 0.404839 2.54448 16.0143 5.95055 17.335 1.12084 0 23.9834 6.45081 440 440 429 25.2176 19.8565
6.45161 6.83587 41.7627 1.75489 2.90772 20.6869 2.34199 20.5791 2.94765 0.552357 27.2094 9.5938 440 440 274 25.2176 19.8565
7.81883 9.71089 42.5899 2.42973 3.08917 23.0232 0.537777 22.2012 3.86058 2.74655 28.8225 11.1653 440 440 274 25.2176 19.8565
8.5021 11.1484 43.0035 2.76697 3.17971 24.1913 0 23.0122 4.31657 3.84358 29.629 11.951 440 440 149 25.2176 19.4248
5.84341 7.36715 41.2103 2.43541 2.7248 19.2754 2.18479 20.4177 2.5441 0.392014 27.0322 9.34392 440 440 275 25.2176 19.8565
4.51394 5.47638 40.3137 2.26951 2.49723 16.8175 3.45906 19.1205 1.65778 0 25.7339 8.03997 440 440 150 25.2176 19.4248
4.8491 2.03084 38.8654 1.68643 1.38332 17.0885 5.59593 16.9719 0 0 25.5847 5.38762 440 440 275 25.2176 19.4248
5.01649 0.308126 38.1413 1.39483 0.82635 17.224 6.66394 15.8976 0 0 25.5101 4.06128 440 440 276 25.2176 19.8565
5.09999 0 37.7792 1.24896 0.54785 17.2917 7.19753 15.3604 0 0 25.4728 3.39796 440 440 307 25.2176 19.8565
2.64156 1.01625 36.0982 1.17597 0.908586 17.8256 7.4639 17.5918 0 0 24.4541 5.06614 440 440 432 24.7828 19.8565
1.41233 1.80084 35.2577 1.1394 1.08889 18.0926 7.59666 18.7075 0 0 23.9448 5.89985 445 440 276 24.7828 19.4248
0.797716 0.193028 34.3374 0.621056 0.178966 18.726 7.66262 16.7654 0 0 24.6901 5.31632 445 445 276 24.7828 19.8565
0.4904 0 33.8773 0.361877 0 19.0428 7.69518 15.7943 0 0 25.0628 5.02428 445 445 276 24.7828 19.4248
0.336735 0 33.6472 0.232282 0 19.2011 7.71103 15.3088 0 0 25.2492 4.87799 445 445 152 24.7828 19.4248
2.7599 0 36.0322 1.66748 0 16.7803 7.71854 18.566 0 0 26.8423 3.30458 445 445 277 24.7828 19.8565
3.97129 0 37.2247 2.38489 0 15.5699 7.72187 20.1946 0 0 27.6389 2.51777 445 445 308 24.7828 19.8565
4.5768 3.26106 36.8209 1.24342 0.0480711 17.4647 6.22311 19.5089 0 0 27.5372 7.62427 445 445 433 24.7828 19.8565
4.87936 5.92316 36.619 0.672679 1.15885 18.4121 5.47347 19.1661 0 0 27.4863 10.1775 445 445 152 24.7828 19.8565
5.03046 7.25384 36.5181 0.387301 1.71412 18.8858 5.0984 18.9947 0.331726 0 27.4609 11.4541 445 445 308 24.7828 19.4248
3.60582 6.41881 37.4676 0.744607 1.49163 19.1226 5.4106 19.909 0.0535908 0 24.9482 9.09246 445 445 433 24.7828 19.8565
2.89342 6.00106 37.9424 0.923195 1.38031 19.2411 5.56639 20.3661 0 0 23.6918 7.91123 445 445 309 24.7828 19.4248
4.03714 4.79195 40.1798 2.01242 1.32459 19.8003 5.64397 18.5947 0 0 24.5637 7.32023 445 445 434 24.7828 19.8565
4.60882 4.18723 41.2985 2.55686 1.29666 20.0799 5.68245 17.709 0 0 24.9996 7.02435 445 445 153 24.7828 19.4248
4.89447 3.88473 41.8578 2.82889 1.28262 20.2197 5.70137 17.2661 0 0 25.2175 6.87602 445 445 278 24.7828 19.8565
5.5371 4.73332 41.6375 1.96473 2.77554 19.7896 6.21052 18.5447 0 0 26.8265 7.30148 445 445 153 24.7828 19.4248
5.8582 5.15737 41.5273 1.53258 3.52176 19.5745 6.46473 19.184 0 0 27.631 7.51376 445 445 278 24.7828 19.8565
3.51852 2.36916 38.4722 2.31645 4.39465 19.967 8.09147 18.5036 0 0 27.5332 8.61947 445 445 310 24.7828 19.4248
2.34864 0.975076 36.9447 2.7082 4.8308 20.1633 8.90484 18.1634 0 0 27.4844 9.17232 445 445 591 25.2176 19.8565
1.76366 0.27805 36.1809 2.90389 5.0486 20.2614 9.31152 17.9933 0 0 27.4599 9.44874 445 445 904 24.7828 19.8565
4.47112 3.42956 37.299 0.501554 3.15721 20.3104 8.01486 17.9083 0 0 27.9477 9.58696 445 445 467 25.2176 19.4248
5.82459 5.00503 37.8581 0 2.21144 20.335 7.36617 17.8658 0.810052 0 28.1916 9.65606 445 445 623 25.2176 19.4248
5.50107 4.29248 37.1376 1.20008 2.73849 19.8472 6.54145 16.8445 0 0 26.3135 9.69061 445 445 749 24.7828 19.8565
5.33912 3.93605 36.7774 2.14969 3.00184 19.6034 6.12878 16.3339 0 0 25.3745 9.70789 445 445 468 25.2176 19.4248
5.25796 3.75769 36.5973 2.62432 3.13334 19.4814 5.92213 16.0786 0 0 24.905 9.71653 445 445 282 24.7828 19.4248
