250P
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
4.47471 4.47324 4.02512 2.75405 2.75195 6.03824 4.15222 8.8115 1.91207 0 7.94162 4.50839 250 0 0 16.9567 23.7413 0 0 -1 -1
5.47427 2.47273 4.02459 2.75353 2.75155 6.03704 5.15139 7.81083 1.91183 0 5.94034 3.50799 250 250 0 16.9567 22.878 0 0 -1 -1
5.47373 2.47246 4.02406 2.753 2.75116 6.03583 5.15036 7.81024 1.91159 0 5.93938 3.50768 250 250 0 16.9567 22.878 0 0 -1 -1
4.47319 3.47218 2.02353 2.75247 2.75076 4.03462 6.14933 7.80964 0.911354 0 5.93843 3.50736 250 250 0 16.9567 23.3097 0 0 -1 -1
4.47275 3.47179 2.02326 2.75195 2.75037 4.03381 6.1481 7.80905 0.911241 0 5.93747 3.50705 250 250 0 16.9567 22.878 0 0 -1 -1
4.47231 3.47141 2.02299 2.75142 2.74998 4.03301 6.14687 7.80845 0.911127 0 5.93652 3.50674 250 250 0 16.9567 22.878 0 0 -1 -1
2.47187 5.47102 5.02273 2.7509 2.74958 6.0322 6.14564 8.80786 0.911014 0 7.93556 3.50642 250 250 0 16.9567 22.878 0 0 -1 -1
2.47163 5.47041 5.02206 2.75037 2.74919 6.03099 6.14441 8.80719 0.9109 0 7.93428 3.50611 250 250 0 16.9567 22.878 0 0 -1 -1
6.47139 1.46979 2.0214 3.74985 3.7488 4.02979 6.14318 11.8065 3.91079 0 4.93301 7.5058 250 250 0 16.9567 23.3097 0 0 -1 -1
6.47075 1.46963 2.02113 3.74913 3.74826 4.02898 6.14195 11.8065 3.9103 0 4.93221 7.50513 250 250 0 16.9567 22.878 0 0 -1 -1
6.47011 1.46947 2.02086 3.74842 3.74773 4.02818 6.14073 11.8065 3.90981 0 4.93142 7.50446 250 250 0 16.9567 22.878 0 0 -1 -1
5.46948 2.4693 4.0206 4.7477 2.74719 7.02737 6.1395 8.80651 2.90933 0 4.93063 3.50379 250 250 0 16.9567 23.3097 0 0 -1 -1
5.46894 2.46903 4.02007 4.7468 2.7468 7.02597 6.13827 8.80584 2.90896 0 4.92983 3.50347 250 250 0 16.9567 22.878 0 0 -1 -1
2.4684 5.46875 4.01954 1.74589 2.7464 7.02456 3.13704 10.8052 0.908601 0 4.92904 5.50316 250 250 0 16.9567 22.878 0 0 -1 -1
2.46816 5.46814 4.019 1.74556 2.74601 7.02316 3.13641 10.8052 0.908488 0 4.92825 5.50267 250 250 0 16.9567 22.878 0 0 -1 -1
2.46791 5.46753 4.01847 1.74522 2.74562 7.02175 3.13579 10.8052 0.908375 0 4.92745 5.50218 250 250 0 16.9567 23.3097 0 0 -1 -1
5.46767 6.46692 3.01794 2.74489 3.74523 5.02035 5.13516 7.80517 2.90826 0 3.92666 4.50169 250 250 0 16.9567 22.878 0 0 -1 -1
5.46713 6.46619 3.01754 2.74437 3.74469 5.01934 5.13413 7.80458 2.9079 0 3.92603 4.50128 250 250 0 16.9567 22.878 0 0 -1 -1
3.46659 6.46547 4.01715 1.74384 3.74415 7.01834 3.13311 8.80398 3.90754 0 6.9254 4.50088 250 250 0 16.9567 22.878 0 0 -1 -1
3.46625 6.46475 4.01661 1.74351 3.74362 7.01693 3.13248 8.80331 3.90705 0 6.92428 4.50048 250 250 0 16.9567 22.878 0 0 -1 -1
