100C0
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 0 0.832166 0.692253 0.492574 1.11285 0 0.32727 0.909324 0.957949 0.583218 0 94.0924 0 0 16.0872 19.8565 94.0924 94.0924 1 0
0 0 0.83208 0.69217 0.492508 1.11275 0 0.327242 0.909142 0.957853 0.583147 0 94.0931 94 0 16.0872 19.8565 94.0931 188.186 1 0
0 0 1.832 0 0.492442 0 0.543206 0 0.90896 0.957756 1.58308 0 93.6826 94 0 16.0872 20.2881 93.6826 281.868 1 0
0 0 1.83181 0 0.492376 0 0.543133 0 0.908778 0.95766 1.58289 0 93.6834 94 0 16.0872 21.1514 93.6834 375.551 1 0
0 0 0 0 0.49231 1.11281 0.543061 0 0 0 0 0 97.8518 94 0 16.0872 20.2881 97.8518 473.403 1 0
0 0 0 0 0.492244 1.1127 0.542989 0 0 0 0 0 97.8521 98 0 16.0872 20.2881 97.8521 571.255 1 0
0 0 0 0 0.492178 1.1126 0.542916 0 0 0 0 0 97.8523 98 0 16.0872 19.8565 97.8523 669.108 1 0
0 0 0.831979 0 0 1.11249 0 0.327677 0 0 0 0 97.7279 98 0 16.0872 19.8565 97.7279 766.835 1 0
0 0 0.831894 0 0 1.11238 0 0.327648 0 0 0 0 97.7281 98 0 16.0872 20.2881 97.7281 864.564 1 0
0 1.30381 0 1.6927 0 0 0 0 0 0 0 0.271655 96.7318 98 0 16.0872 19.4248 96.7318 961.295 1 0
0 1.3037 0 1.6925 0 0 0 0 0 0 0 0.271616 96.7322 97 -627 16.0872 19.8565 96.7322 1058.03 1 0
0 1.30359 0 1.6923 0 0 0 0 0 0 0 0.271578 96.7325 97 -345 16.0872 20.2881 96.7325 1154.76 1 0
0.00134621 0 0.83186 0 0 0 0.543148 0 0 0.958805 0 1.27154 96.3933 97 -2 16.0872 19.8565 96.3933 1251.15 1 0
0.00134608 0 0.831775 0 0 0 0.543076 0 0 0.958708 0 1.27136 96.3937 96 -34 16.0872 20.2881 96.3937 1347.55 1 0
1.00135 0 0 0.69217 0 0 0.543004 0 0 0.958612 1.58344 0 95.2214 96 -3 16.0872 19.8565 95.2214 1442.77 1 0
1.00125 0 0 0.692088 0 0 0.542932 0 0 0.958515 1.58325 0 95.222 95 0 16.0872 20.7198 95.222 1537.99 1 0
1.00115 0 0 0.692006 0 0 0.542859 0 0 0.958419 1.58306 0 95.2225 95 0 16.0872 20.2881 95.2225 1633.21 1 0
0 0 0 0 1.49279 0 0 1.3286 0.909832 0 0 0 96.2688 95 27 16.0872 19.4248 96.2688 1729.48 1 0
0 0 0 0 1.49259 0 0 1.32849 0.90965 0 0 0 96.2693 96 0 16.0872 20.2881 96.2693 1825.75 1 0
4.00125 0 0 2.692 0.492392 0 0.542909 0 0 0 1.58297 0.272126 90.4164 96 121 16.0872 20.2881 90.4164 1916.17 1 0
