300P -> 100C0
Kpf: 15 Kif: 0.1 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
7.17002 7.07887 20.2354 3.56944 4.09265 12.0451 6.84549 13.4968 3.03535 0 17.2085 6.56907 300 300 262 31.7393 18.9931 0 0 -1 -1
8.1691 6.07826 18.2354 2.56903 3.09203 10.0451 6.84444 11.4968 2.03484 0 17.2085 6.56837 300 300 263 32.1741 18.9931 0 0 -1 -1
8.16805 6.07774 18.2354 2.56873 3.09156 10.0451 6.8434 11.4968 2.03451 0 17.2085 6.56768 300 300 264 32.1741 18.9931 0 0 -1 -1
6.16701 6.07722 20.2354 3.56844 3.09109 10.0451 6.84235 16.4968 2.03417 0 15.2085 7.56699 300 300 233 32.1741 19.4248 0 0 -1 -1
6.16622 6.0767 20.2354 3.56803 3.09062 10.0451 6.84131 16.4968 2.03383 0 15.2085 7.5662 300 300 265 32.1741 18.9931 0 0 -1 -1
6.16543 6.07619 20.2354 3.56762 3.09015 10.0451 6.84027 16.4968 2.0335 0 15.2085 7.5654 300 300 266 32.1741 18.9931 0 0 -1 -1
7.16464 6.07567 21.2354 2.56721 3.08968 11.0451 6.83922 13.4968 0.0331582 0 17.2085 9.5646 300 300 236 32.1741 19.4248 0 0 -1 -1
7.16372 6.07515 21.2354 2.56692 3.08921 11.0451 6.83818 13.4968 0.0331527 0 17.2085 9.5646 300 300 267 32.1741 18.9931 0 0 -1 -1
9.1628 6.07463 19.2354 1.56662 4.08875 11.0451 6.83714 11.4968 2.03315 0 16.2085 8.5646 300 300 268 32.1741 18.9931 0 0 -1 -1
9.1628 6.07411 19.2354 1.56644 4.08813 11.0451 6.83609 11.4968 2.03281 0 16.2085 8.5637 300 300 113 32.1741 18.9931 0 0 -1 -1
9.1628 6.07359 19.2354 1.56626 4.08751 11.0451 6.83505 11.4968 2.03247 0 16.2085 8.5628 300 300 -31 31.7393 18.1298 0 0 -1 -1
7.1628 7.07307 20.2354 2.56608 3.08689 11.0451 6.83401 13.4968 2.03214 0 16.2085 8.5619 300 300 64 31.7393 18.9931 0 0 -1 -1
7.16189 7.07247 20.2354 2.56579 3.08642 11.0451 6.83296 13.4968 2.0318 0 16.2085 8.561 300 300 65 31.7393 18.9931 0 0 -1 -1
7.16097 6.07187 20.2354 2.56549 3.08595 11.0451 6.83192 14.4968 2.03146 0 14.2085 7.5601 300 300 190 31.7393 19.4248 0 0 -1 -1
7.16005 6.07135 20.2354 2.5652 3.08548 11.0451 6.83088 14.4968 2.03113 0 14.2085 7.5593 300 300 66 31.7393 18.9931 0 0 -1 -1
7.15913 6.07083 20.2354 2.5649 3.08501 11.0451 6.82984 14.4968 2.03079 0 14.2085 7.55851 300 300 67 31.7393 18.9931 0 0 -1 -1
9.15822 6.07031 19.2354 2.56461 3.08455 11.0451 6.82879 11.4968 2.03045 0 17.2085 8.55771 300 300 67 31.7393 18.9931 0 0 -1 -1
9.15822 6.06979 19.2354 2.56431 3.08408 11.0451 6.82775 11.4968 2.03012 0 17.2085 8.55681 300 300 68 31.7393 18.9931 0 0 -1 -1
8.15822 6.06927 21.2354 2.56402 2.08361 10.0451 4.82671 10.4968 3.02978 0 16.2085 7.55591 300 300 69 31.7393 18.9931 0 0 -1 -1
8.15717 6.06876 21.2354 2.56372 2.08329 10.0451 4.82597 10.4968 3.02928 0 16.2085 7.55511 300 300 69 31.7393 18.9931 0 0 -1 -1
8.15613 6.06824 21.2354 2.56343 2.08298 10.0451 4.82524 10.4968 3.02878 0 16.2085 7.55432 300 300 70 31.7393 18.9931 0 0 -1 -1
5.15508 6.06772 18.2354 2.56313 3.08266 12.0451 6.8245 13.4968 2.02828 0 17.2085 8.55352 300 300 40 31.7393 19.4248 0 0 -1 -1
5.15442 6.0672 18.2354 2.56284 3.0822 12.0451 6.82346 13.4968 2.02794 0 17.2085 8.55262 300 300 71 31.7393 19.4248 0 0 -1 -1
9.15376 8.06668 20.2354 3.56255 3.08173 13.0451 7.82242 15.4968 3.0276 0 17.2085 8.55172 300 300 -53 31.7393 18.9931 0 0 -1 -1
9.15376 8.066 20.2354 3.56214 3.08126 13.0451 7.82123 15.4968 3.0271 0 17.2085 8.55082 300 300 73 31.7393 18.9931 0 0 -1 -1
9.15376 8.06531 20.2354 3.56173 3.08079 13.0451 7.82003 15.4968 3.0266 0 17.2085 8.54992 300 300 73 31.7393 18.9931 0 0 -1 -1
9.15376 8.06462 20.2354 4.56132 4.08033 13.0451 7.81884 14.4968 2.0261 0 16.2085 7.54902 300 300 74 31.7393 18.9931 0 0 -1 -1
9.15376 8.06393 20.2354 4.56079 4.07971 13.0451 7.81765 14.4968 2.02576 0 16.2085 7.54823 300 300 75 31.7393 18.9931 0 0 -1 -1
7.15376 5.06324 21.2354 2.56027 2.07909 11.0451 4.81645 12.4968 2.02543 0 19.2085 7.54744 300 300 75 31.7393 18.9931 0 0 -1 -1
7.15285 5.06281 21.2354 2.55998 2.07877 11.0451 4.81572 12.4968 2.02509 0 19.2085 7.54664 300 300 76 31.7393 18.9931 0 0 -1 -1
7.15193 5.06238 21.2354 2.55968 2.07846 11.0451 4.81498 12.4968 2.02476 0 19.2085 7.54585 300 300 77 31.7393 18.9931 0 0 -1 -1
5.15102 6.06194 17.2354 2.55939 2.07814 11.0451 5.81425 12.4968 2.02442 0 16.2085 8.54505 300 300 78 31.7393 18.9931 0 0 -1 -1
5.15036 6.06143 17.2354 2.55909 2.07783 11.0451 5.81336 12.4968 2.02409 0 16.2085 8.54415 300 300 79 31.7393 18.9931 0 0 -1 -1
6.1497 6.06091 19.2354 3.5588 3.07751 12.0451 5.81247 12.4968 2.02375 0 15.2085 8.54325 300 300 80 32.1741 18.9931 0 0 -1 -1
6.14891 6.06039 19.2354 3.55839 3.07705 12.0451 5.81159 12.4968 2.02342 0 15.2085 8.54235 300 300 49 31.7393 19.4248 0 0 -1 -1
6.14812 6.05987 19.2354 3.55798 3.07658 12.0451 5.8107 12.4968 2.02308 0 15.2085 8.54146 300 300 81 31.7393 18.9931 0 0 -1 -1
7.14733 7.05936 20.2354 3.55757 3.07611 12.0451 6.80981 12.4968 3.02274 0 17.2085 8.54056 300 300 82 31.7393 18.9931 0 0 -1 -1
7.14642 7.05875 20.2354 3.55716 3.07565 12.0451 6.80877 12.4968 3.02224 0 17.2085 8.53966 300 300 83 31.7393 18.9931 0 0 -1 -1
6.1455 9.05815 22.2354 3.55676 3.07518 11.0451 8.80774 12.4968 2.02174 0 16.2085 7.53876 300 300 84 32.1741 18.9931 0 0 -1 -1
6.14472 9.05738 22.2354 3.55635 3.07471 11.0451 8.80774 12.4968 2.02141 0 16.2085 7.53797 300 300 54 31.7393 19.4248 0 0 -1 -1
6.14393 9.05661 22.2354 3.55594 3.07425 11.0451 8.80774 12.4968 2.02107 0 16.2085 7.53717 300 300 211 31.7393 19.4248 0 0 -1 -1
7.14314 8.05583 19.2354 3.55553 3.07378 13.0451 5.80774 13.4968 3.02074 0 16.2085 8.53638 300 300 87 31.7393 18.9931 0 0 -1 -1
7.14223 8.05514 19.2354 3.55512 3.07331 13.0451 5.80685 13.4968 3.02024 0 16.2085 8.53548 300 300 87 31.7393 18.9931 0 0 -1 -1
6.14131 7.05446 19.2354 3.55471 2.07285 11.0451 6.80596 11.4968 2.01974 0 16.2085 9.53458 300 300 88 31.7393 18.9931 0 0 -1 -1
6.14053 7.05385 19.2354 3.55431 2.07253 11.0451 6.80493 11.4968 2.0194 0 16.2085 9.53458 300 300 89 31.7393 18.9931 0 0 -1 -1
6.13974 7.05325 19.2354 3.5539 2.07222 11.0451 6.80389 11.4968 2.01907 0 16.2085 9.53458 300 300 89 31.7393 18.9931 0 0 -1 -1
7.13895 5.05265 20.2354 2.55349 3.07191 10.0451 5.80285 12.4968 1.01873 0 16.2085 7.53458 300 300 215 31.7393 18.9931 0 0 -1 -1
7.13804 5.05222 20.2354 2.5532 3.07144 10.0451 5.80196 12.4968 1.01857 0 16.2085 7.53379 300 300 91 31.7393 18.9931 0 0 -1 -1
8.13713 6.05179 20.2354 3.5529 3.07097 13.0451 6.80108 13.4968 3.0184 0 17.2085 9.533 300 300 91 31.7393 18.9931 0 0 -1 -1
8.13608 6.05127 20.2354 3.55249 3.07051 13.0451 6.80004 13.4968 3.0179 0 17.2085 9.533 300 300 92 31.7393 18.9931 0 0 -1 -1
8.13504 6.05075 20.2354 3.55209 3.07004 13.0451 6.799 13.4968 3.0174 0 17.2085 9.533 300 300 218 31.7393 19.4248 0 0 -1 -1
6.134 6.05024 19.2354 2.55168 3.06958 10.0451 6.79797 12.4968 3.0169 0 16.2085 8.533 300 300 94 31.7393 18.9931 0 0 -1 -1
6.13321 6.04972 19.2354 2.55138 3.06911 10.0451 6.79693 12.4968 3.0164 0 16.2085 8.5321 300 300 94 31.7393 18.9931 0 0 -1 -1
7.13243 6.0492 19.2354 2.55109 4.06865 12.0451 6.79589 14.4968 2.0159 0 16.2085 7.5312 300 300 -61 31.7393 18.9931 0 0 -1 -1
7.13152 6.04869 19.2354 2.5508 4.06803 12.0451 6.79485 14.4968 2.01556 0 16.2085 7.53041 300 300 96 31.7393 18.9931 0 0 -1 -1
7.1306 6.04817 19.2354 2.55051 4.06741 12.0451 6.79382 14.4968 2.01523 0 16.2085 7.52962 300 300 221 31.7393 19.4248 0 0 -1 -1
6.12969 9.04766 21.2354 2.55021 3.06679 10.0451 6.79278 13.4968 3.0149 0 15.2085 6.52882 300 300 222 31.7393 18.9931 0 0 -1 -1
6.1289 9.04688 21.2354 2.54992 3.06633 10.0451 6.79174 13.4968 3.0144 0 15.2085 6.52814 300 300 98 32.1741 18.9931 0 0 -1 -1
6.12812 7.04611 19.2354 2.54963 4.06586 11.0451 7.79071 12.4968 3.0139 0 15.2085 8.52745 300 300 98 31.7393 19.4248 0 0 -1 -1
6.12733 7.04551 19.2354 2.54933 4.06525 11.0451 7.78952 12.4968 3.0134 0 15.2085 8.52655 300 300 99 32.1741 18.9931 0 0 -1 -1
6.12655 7.04491 19.2354 2.54904 4.06463 11.0451 7.78833 12.4968 3.0129 0 15.2085 8.52565 300 300 68 32.1741 19.4248 0 0 -1 -1
8.12577 7.04431 18.2354 3.54875 2.06401 11.0451 5.78714 12.4968 2.0124 0 16.2085 7.52476 300 300 100 31.7393 18.9931 0 0 -1 -1
8.12472 7.0437 18.2354 3.54834 2.0637 11.0451 5.78626 12.4968 2.01207 0 16.2085 7.52397 300 300 101 32.1741 18.9931 0 0 -1 -1
6.12368 7.0431 19.2354 3.54793 3.06339 13.0451 5.78538 14.4968 2.01173 0 18.2085 8.52317 300 300 102 32.1741 18.9931 0 0 -1 -1
6.1229 7.0425 19.2354 3.54753 3.06292 13.0451 5.78449 14.4968 2.0114 0 18.2085 8.52228 300 300 103 32.1741 18.9931 0 0 -1 -1
6.12212 7.0419 20.2354 2.54712 3.06246 10.0451 7.78361 14.4968 2.01107 0 18.2085 8.52138 300 300 72 32.1741 19.4248 0 0 -1 -1
