220P -> 440P
Kpf: 15 Kif: 1 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 0 0 0 0 0 0 0 0 0 0 0 220 220 345 29.5654 19.8565 0 0 -1 -1
9.12935 5.71593 12.047 3.11919 3.59835 11.2168 8.65644 16.1138 2.36343 0 14.1123 8.52026 220 220 220 30.0002 20.7198 0 0 -1 -1
6.12878 7.71552 13.047 5.11868 4.59792 9.21682 7.65546 13.1138 1.36323 0 13.1123 8.51961 220 220 64 29.5654 19.8565 0 0 -1 -1
6.1284 7.71497 13.047 5.11784 4.59737 9.21601 7.6546 13.1138 1.36312 0 13.1123 8.51896 220 220 189 29.5654 19.8565 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 220 220 220 30.0002 20.7198 0 0 -1 -1
9.12802 9.71442 13.047 4.11701 2.59683 9.21519 7.65373 13.1138 3.36301 0 14.1123 6.51831 220 220 345 29.5654 20.2881 0 0 -1 -1
9.12745 9.71373 13.047 4.11634 2.59652 9.21438 7.65287 13.1138 3.36273 0 14.1123 6.51781 220 220 65 30.0002 21.5831 0 0 -1 -1
7.12688 9.71304 13.047 4.11567 3.59621 9.21357 7.65201 12.1138 3.36245 0 12.1123 8.51731 220 220 346 29.5654 20.2881 0 0 -1 -1
7.12643 9.71235 13.047 4.11499 3.59578 9.21276 7.65115 12.1138 3.36217 0 12.1123 8.51666 220 220 65 30.0002 21.1514 0 0 -1 -1
8.12599 5.71166 13.047 3.11432 3.59535 8.21195 7.65028 12.1138 0.36189 0 13.1123 7.51601 220 220 471 30.0002 20.7198 0 0 -1 -1
8.12548 5.71125 13.047 3.11381 3.59493 8.21123 7.64942 12.1138 0.36186 0 13.1123 7.51544 220 220 596 30.0002 21.1514 0 0 -1 -1
8.12498 5.71084 13.047 3.11331 3.5945 8.2105 7.64856 12.1138 0.36183 0 13.1123 7.51486 220 220 315 30.0002 20.7198 0 0 -1 -1
8.12447 6.71044 14.047 4.1128 2.59407 11.2098 7.6477 11.1138 3.3618 0 14.1123 5.51429 220 220 471 30.0002 20.7198 0 0 -1 -1
8.12396 6.70996 14.047 4.11213 2.59376 11.2098 7.64683 11.1138 3.36152 0 14.1123 5.51387 220 220 346 29.5654 20.2881 0 0 -1 -1
6.12345 7.70948 13.047 3.11146 4.59345 10.2098 7.64597 15.1138 1.36124 0 14.1123 9.51345 220 220 596 30.0002 21.1514 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 220 220 596 30.0002 21.1514 0 0 -1 -1
6.12307 7.70893 13.047 3.11095 4.59291 10.2098 7.64511 15.1138 1.36113 0 14.1123 9.51272 220 220 502 29.5654 20.2881 0 0 -1 -1
7.12269 4.70838 13.047 3.11044 4.59236 12.2098 7.64425 14.1138 4.36102 0 12.1123 8.512 220 220 190 30.0002 20.2881 0 0 -1 -1
7.12225 4.70805 13.047 3.10993 4.59182 12.2098 7.64339 14.1138 4.36065 0 12.1123 8.51135 220 220 345 30.0002 20.2881 0 0 -1 -1
10.1218 10.7077 10.047 0 5.59127 10.2098 9.64252 12.1138 4.36029 0 13.1123 5.5107 220 220 314 30.0002 20.7198 0 0 -1 -1
10.1212 10.7077 10.0463 0 5.59061 10.2098 9.64252 12.1138 4.35993 0 13.1123 5.51028 220 220 220 29.5654 19.8565 0 0 -1 -1
10.1205 10.7077 10.0457 0 5.58994 10.2098 9.64252 12.1138 4.35957 0 13.1123 5.50985 220 220 -248 30.0002 19.8565 0 0 -1 -1
6.11991 5.70771 17.045 3.10986 2.58928 13.2098 6.64252 8.11384 3.35921 0 11.1123 8.50943 220 220 -92 29.5654 19.8565 0 0 -1 -1
6.11952 5.7073 17.045 3.10936 2.58897 13.2098 6.64178 8.11307 3.35893 0 11.1123 8.50878 220 220 -248 30.0002 19.8565 0 0 -1 -1
8.11914 6.7069 14.045 3.10885 3.58866 12.2098 7.64103 14.1123 2.35865 0 13.1123 8.50813 220 220 -249 30.0002 19.8565 0 0 -1 -1
8.11864 6.70642 14.045 3.10834 3.58823 12.2098 7.64016 14.1123 2.35845 0 13.1123 8.50748 220 220 -249 30.0002 19.8565 0 0 -1 -1
7.11813 7.70594 13.045 4.10783 3.58781 10.2098 8.6393 12.1123 3.35826 0 13.1123 7.50683 220 220 -93 29.5654 19.8565 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 220 220 -93 29.5654 19.8565 0 0 -1 -1
7.11769 7.70539 13.045 4.10716 3.58738 10.2098 8.63833 12.1123 3.35798 0 13.1123 7.50626 220 220 -124 29.5654 20.2881 0 0 -1 -1
5.11724 8.70484 16.045 2.10649 4.58695 8.20978 9.63736 13.1123 2.3577 0 10.1123 7.50569 220 220 31 30.0002 20.2881 0 0 -1 -1
