220P -> 440P -> 660P
Kpf: 15 Kif: 1 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
7.9402 6.5236 25.0437 2.90023 3.43415 13.1869 6.3457 18.108 3.2898 0 20.1123 8.29488 440 440 416 33.0437 18.5615 0 0 -1 -1
7.9397 6.52313 25.0437 2.89976 3.43374 13.1869 6.34498 18.108 3.28953 0 20.1123 8.29425 440 440 417 33.0437 18.5615 0 0 -1 -1
7.9392 6.52267 25.0437 2.89929 3.43333 13.1869 6.34426 18.108 3.28925 0 20.1123 8.29361 440 440 387 33.0437 18.5615 0 0 -1 -1
6.93871 7.5222 25.0437 2.89881 4.43292 14.1869 7.34355 18.108 3.28898 0 20.1123 5.29298 440 440 388 33.0437 18.9931 0 0 -1 -1
6.93828 7.52167 25.0437 2.89834 4.4324 14.1869 7.34272 18.108 3.28871 0 20.1123 5.29258 440 440 420 33.0437 18.9931 0 0 -1 -1
7.93784 6.52113 23.0437 2.89787 3.43187 16.1869 8.34189 15.108 2.28844 0 20.1123 7.29217 440 440 421 33.0437 18.5615 0 0 -1 -1
7.93735 6.52067 23.0437 2.8974 3.43146 16.1869 8.34095 15.108 2.28825 0 20.1123 7.29162 440 440 391 32.6089 18.5615 0 0 -1 -1
7.93685 6.5202 23.0437 2.89692 3.43105 16.1869 8.34001 15.108 2.28806 0 20.1123 7.29106 440 440 423 33.0437 18.5615 0 0 -1 -1
7.93636 5.51974 24.0437 2.89645 3.43064 15.1869 7.33907 17.108 1.28787 0 19.1123 7.2905 440 440 674 33.0437 18.5615 0 0 -1 -1
7.93586 5.51935 24.0437 2.89598 3.43024 15.1869 7.33825 17.108 1.28776 0 19.1123 7.28995 440 440 550 32.6089 18.9931 0 0 -1 -1
7.93537 6.51895 24.0437 2.89551 2.42983 17.1869 7.33742 18.108 2.28765 0 21.1123 10.2894 440 440 270 33.0437 18.5615 0 0 -1 -1
7.93487 6.51849 24.0437 2.89503 2.42954 17.1869 7.33659 18.108 2.28746 0 21.1123 10.2894 440 440 427 33.0437 18.5615 0 0 -1 -1
7.93438 6.51802 24.0437 2.89456 2.42925 17.1869 7.33576 18.108 2.28727 0 21.1123 10.2894 440 440 428 32.6089 18.5615 0 0 -1 -1
8.93388 7.51756 25.0437 3.89409 3.42896 18.1869 6.33494 17.108 2.28708 0 18.1123 7.28939 440 440 273 33.0437 18.5615 0 0 -1 -1
8.93332 7.51702 25.0437 3.89345 3.42855 18.1869 6.33422 17.108 2.28689 0 18.1123 7.28883 440 440 555 33.0437 18.9931 0 0 -1 -1
7.93277 5.51649 23.0437 3.89282 3.42815 16.1869 7.33351 14.108 0.286703 0 19.1123 6.28828 440 440 275 33.0437 18.5615 0 0 -1 -1
7.93227 5.5161 23.0437 3.89218 3.42774 16.1869 7.33268 14.108 0.286679 0 19.1123 6.2878 440 440 432 33.0437 18.5615 0 0 -1 -1
7.93178 5.5157 23.0437 3.89155 3.42733 16.1869 7.33185 14.108 0.286655 0 19.1123 6.28732 440 440 433 33.0437 18.5615 0 0 -1 -1
5.93128 7.51531 22.0437 3.89091 4.42692 16.1869 7.33103 16.108 2.28663 0 21.1123 10.2868 440 440 278 33.0437 18.5615 0 0 -1 -1
5.93091 7.51477 22.0437 3.89028 4.4264 16.1869 7.3302 16.108 2.28644 0 21.1123 10.2868 440 440 435 33.0437 18.5615 0 0 -1 -1
6.93054 8.51424 24.0437 1.88964 3.42587 16.1869 5.32938 16.108 2.28625 0 17.1123 8.28684 440 440 280 33.0437 18.5615 0 0 -1 -1
6.93011 8.51363 24.0437 1.88934 3.42546 16.1869 5.32877 16.108 2.28606 0 17.1123 8.2862 440 440 406 33.0437 18.9931 0 0 -1 -1
6.92968 8.51303 24.0437 1.88903 3.42506 16.1869 5.32817 16.108 2.28587 0 17.1123 8.28557 440 440 282 32.6089 18.5615 0 0 -1 -1
7.92924 12.5124 24.0437 3.88872 3.42465 15.1869 6.32757 18.108 2.28568 0 19.1123 9.28494 440 440 283 33.0437 18.5615 0 0 -1 -1
7.92875 12.5124 24.0437 3.88809 3.42424 15.1869 6.32686 18.108 2.28549 0 19.1123 9.28423 440 440 285 33.0437 18.5615 0 0 -1 -1
5.92825 7.51242 22.0437 3.88745 3.42383 15.1869 7.32615 15.108 3.2853 0 18.1123 7.28352 440 440 411 33.0437 18.9931 0 0 -1 -1
