... -> 220P -> 440P -> 660P -> 880P
Kpf: 15 Kif: 1 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 1.82558 23.1962 0.394852 0 15.3817 0.920349 9.71912 0 0 17.4451 0 660 660 -96 37.3915 19.8565 0 0 -1 -1
1.63848 0 22.1962 3.3948 0 16.3817 0 10.7184 0.774132 0 16.4451 1.64362 660 660 404 37.3915 21.5831 0 0 -1 -1
1.63828 0 22.1962 3.39431 0 16.3817 0 10.7184 0.774043 0 16.4451 1.64342 660 660 435 37.3915 21.1514 0 0 -1 -1
0 1.82542 23.1962 0.393824 0 13.3817 0 13.7184 0.773954 0.708789 17.4451 0.643234 660 660 311 37.3915 20.7198 0 0 -1 -1
0 1.82522 23.1962 0.393768 0 13.3817 0 13.7184 0.773864 0.708706 17.4451 0.643159 660 660 61 36.9567 19.8565 0 0 -1 -1
0 1.82503 23.1962 0.393711 0 13.3817 0 13.7184 0.773775 0.708624 17.4451 0.643084 660 660 61 37.3915 19.8565 0 0 -1 -1
0.638208 0 23.1962 1.39366 0 14.3817 0 9.71844 0 0.708541 18.4451 0 660 660 -95 36.9567 19.8565 0 0 -1 -1
0.638129 0 23.1962 1.39346 0 14.3817 0 9.71776 0 0.708459 18.4451 0 660 660 61 36.9567 19.8565 0 0 -1 -1
0.638051 0 25.1962 1.39326 0 15.3817 0 10.7171 0 0 17.4451 1.64309 660 660 61 36.9567 19.8565 0 0 -1 -1
0.637972 0 25.1962 1.39306 0 15.3817 0 10.7171 0 0 17.4451 1.6429 660 660 61 36.9567 19.8565 0 0 -1 -1
0.637894 0 25.1962 1.39286 0 15.3817 0 10.7171 0 0 17.4451 1.64271 660 660 30 37.3915 20.2881 0 0 -1 -1
0.637815 0.825249 25.1962 1.39266 0 14.3817 0 8.71708 0 0 16.4451 0 660 660 30 36.9567 20.2881 0 0 -1 -1
0.637737 0.825161 25.1962 1.39246 0 14.3817 0 8.71647 0 0 16.4451 0 660 660 61 36.9567 19.8565 0 0 -1 -1
0 0 23.1962 0.39226 0.901313 13.3817 0 10.7159 0.774214 0 16.4451 0.642603 660 660 -95 37.3915 19.8565 0 0 -1 -1
0 0 23.1962 0.392204 0.901133 13.3817 0 10.7159 0.774125 0 16.4451 0.642528 660 660 -96 36.9567 19.8565 0 0 -1 -1
0 0 23.1962 0.392148 0.900953 13.3817 0 10.7159 0.774036 0 16.4451 0.642454 660 660 60 36.9567 19.8565 0 0 -1 -1
0.637792 0 25.1962 1.39209 0 14.3817 0 12.7159 0 0.709347 16.4451 1.64238 660 660 60 36.9567 19.8565 0 0 -1 -1
0.637714 0 25.1962 1.39189 0 14.3817 0 12.7159 0 0.709264 16.4451 1.64219 660 660 -96 36.9567 19.8565 0 0 -1 -1
1.63764 0 24.1962 0.391694 0.900812 15.3817 0 12.7159 0 0 14.4451 1.642 660 660 -96 36.9567 19.8565 0 0 -1 -1
1.63743 0 24.1962 0.391638 0.900632 15.3817 0 12.7159 0 0 14.4451 1.64181 660 660 185 37.3915 19.8565 0 0 -1 -1
0 0.825203 23.1962 0.391582 0 14.3817 0 8.71587 0.774741 0.709482 14.4451 1.64162 660 660 185 36.9567 19.8565 0 0 -1 -1
0 0.825115 23.1962 0.391526 0 14.3817 0 8.71526 0.774652 0.709399 14.4451 1.64143 660 660 184 37.3915 19.8565 0 0 -1 -1
0 0.825027 23.1962 0.39147 0 14.3817 0 8.71465 0.774563 0.709317 14.4451 1.64123 660 660 59 37.3915 20.2881 0 0 -1 -1
1.63737 0 24.1962 1.39141 0 15.3817 0 10.714 0 0.709234 16.4451 0.641044 660 660 59 37.3915 19.8565 0 0 -1 -1
1.63716 0 24.1962 1.39122 0 15.3817 0 10.714 0 0.709151 16.4451 0.640969 660 660 59 37.3915 19.8565 0 0 -1 -1
1.63696 0 25.1962 1.39102 0 15.3817 0 11.714 0.774756 0.709069 17.4451 1.64089 660 660 59 37.3915 19.8565 0 0 -1 -1
1.63676 0 25.1962 1.39082 0 15.3817 0 11.714 0.774667 0.708986 17.4451 1.6407 660 660 59 36.9567 19.8565 0 0 -1 -1
1.63656 0 25.1962 1.39062 0 15.3817 0 11.714 0.774577 0.708904 17.4451 1.64051 660 660 -97 37.3915 19.8565 0 0 -1 -1
0.636359 1.82535 25.1962 1.39042 0 16.3817 0 11.714 0 0 18.4451 0 660 660 59 37.3915 19.8565 0 0 -1 -1
0.636281 1.82516 25.1962 1.39022 0 16.3817 0 11.714 0 0 18.4451 0 660 660 58 37.3915 20.2881 0 0 -1 -1
0 1.82496 23.1962 0 0 17.3817 0 11.714 0 0 17.4451 1.64064 660 660 -98 37.3915 19.8565 0 0 -1 -1
0 1.82477 23.1962 0 0 17.3817 0 11.714 0 0 17.4451 1.64045 660 660 58 37.3915 19.8565 0 0 -1 -1
0 1.82457 23.1962 0 0 17.3817 0 11.714 0 0 17.4451 1.64026 660 660 183 37.3915 20.2881 0 0 -1 -1
0.637075 1.82438 23.1962 1.39028 0 16.3817 0 11.714 0 1.70957 18.4451 0 660 660 -97 37.3915 19.8565 0 0 -1 -1
0.636996 1.82418 23.1962 1.39008 0 16.3817 0 11.714 0 1.70937 18.4451 0 660 660 184 37.3915 20.2881 0 0 -1 -1
0 0.823988 25.1962 0.389886 0.90115 13.3817 0 8.71404 0 0 16.4451 0.640383 660 660 184 37.3915 20.2881 0 0 -1 -1
0 0.8239 25.1962 0.38983 0.900969 13.3817 0 8.71343 0 0 16.4451 0.640308 660 660 59 37.3915 19.8565 0 0 -1 -1
0 0.823812 25.1962 0.389774 0.900789 13.3817 0 8.71282 0 0 16.4451 0.640234 660 660 184 37.3915 20.2881 0 0 -1 -1
0 0 25.1962 0.389718 0 14.3817 0 10.7122 0 0.709276 17.4451 2.64016 660 660 59 37.3915 19.8565 0 0 -1 -1
0 0 25.1962 0.389663 0 14.3817 0 10.7122 0 0.709194 17.4451 2.63985 660 660 60 37.3915 19.8565 0 0 -1 -1
1.63763 0 25.1962 0.389607 0 13.3817 0 11.7122 0 0 15.4451 1.63955 660 660 60 36.9567 19.8565 0 0 -1 -1
1.63743 0 25.1962 0.389551 0 13.3817 0 11.7122 0 0 15.4451 1.63936 660 660 185 37.3915 20.2881 0 0 -1 -1
1.63723 0 25.1962 0.389495 0 13.3817 0 11.7122 0 0 15.4451 1.63916 660 660 185 37.3915 20.2881 0 0 -1 -1
1.63703 0.823818 25.1962 0.38944 0 15.3817 0 10.7122 0 0 17.4451 1.63897 660 660 -96 37.3915 19.8565 0 0 -1 -1
1.63683 0.82373 25.1962 0.389384 0 15.3817 0 10.7122 0 0 17.4451 1.63878 660 660 60 37.3915 19.8565 0 0 -1 -1
