300P -> 100C0
Kpf: 15 Kif: 1 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
1.27323 0 12.2225 0 0 1.30737 0 0 0 0 6.03038 1.77926 300 300 -141 32.6089 20.7198 0 0 -1 -1
0 1.03168 15.2225 0 0 1.30726 0 2.91237 0.827489 0 8.02984 0.779066 300 300 -15 32.6089 19.8565 0 0 -1 -1
0 1.03161 15.2225 0 0 1.30715 0 2.91207 0.827398 0 8.02913 0.77898 300 300 -15 32.6089 19.8565 0 0 -1 -1
0.273419 1.03154 13.2225 0 0 1.30704 1.1471 0 0 0 6.02841 1.77889 300 300 -14 32.6089 19.8565 0 0 -1 -1
0.273395 1.03148 13.2225 0 0 1.30693 1.14699 0 0 0 6.02787 1.7787 300 300 -139 32.6089 19.4248 0 0 -1 -1
0.27337 1.03141 13.2225 0 0 1.30682 1.14688 0 0 0 6.02733 1.7785 300 300 18 32.6089 19.4248 0 0 -1 -1
0 0.031341 15.2225 0.00372323 0 4.30671 2.14678 0 0.827364 0 5.0268 1.7783 300 300 143 32.6089 19.8565 0 0 -1 -1
0 0.0313389 15.2225 0.00372248 0 4.30634 2.14657 0 0.827273 0 5.02635 1.77811 300 300 19 32.6089 19.4248 0 0 -1 -1
0 3.03134 12.2225 0.00372174 0.649199 2.30597 0 0 0 0 7.0259 0.77791 300 300 144 32.6089 19.8565 0 0 -1 -1
0 3.03114 12.2225 0.00372099 0.64912 2.30578 0 0 0 0 7.02527 0.777824 300 300 -261 32.1741 18.9931 0 0 -1 -1
0 3.03094 12.2225 0.00372025 0.64904 2.30558 0 0 0 0 7.02464 0.777738 300 300 176 32.6089 19.4248 0 0 -1 -1
0 0 13.2225 0 0 3.30539 0.146614 0.91289 0 0.771373 7.02402 0.777652 300 300 146 32.1741 19.8565 0 0 -1 -1
0 0 13.2225 0 0 3.30511 0.1466 0.912794 0 0.771286 7.02339 0.777566 300 300 21 32.6089 19.4248 0 0 -1 -1
0 1.03087 15.2225 0 0 3.30482 0 0 0 0 7.02276 0.77748 300 300 177 32.6089 19.4248 0 0 -1 -1
0 1.0308 15.2225 0 0 3.30454 0 0 0 0 7.02213 0.777394 300 300 -103 32.1741 18.9931 0 0 -1 -1
0 1.03073 15.2225 0 0 3.30426 0 0 0 0 7.02151 0.777308 300 300 147 32.6089 19.8565 0 0 -1 -1
0.27505 0.0306653 15.2225 0 0.650153 2.30398 0 0 0 0 6.02088 1.77722 300 300 -103 32.6089 18.9931 0 0 -1 -1
0.275026 0.0306633 15.2225 0 0.650074 2.30379 0 0 0 0 6.02034 1.77703 300 300 23 32.6089 19.4248 0 0 -1 -1
1.275 0 15.2225 0 0 1.30359 1.14726 0 0 0.771665 7.01981 3.77683 300 300 179 32.1741 19.4248 0 0 -1 -1
