50C0 -> 100C0 -> 150C0
Kpf: 15 Kif: 1 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 0.162814 5.32164 0.337585 0.201777 44.8094 0.96384 37.9236 0 0 5.30955 0.112644 110.741 128 553 40.435 11.2234 4.85716 37.8833 15 1
0 0.162799 5.32107 0.337537 0.20174 44.8094 0.963737 37.9236 0 0 5.30891 0.112633 115.621 135 530 40.435 11.655 4.85858 42.7419 15 1
0 0.162783 5.32051 0.337488 0.201704 44.8094 0.963635 37.9236 0 0 5.30827 0.112622 120.502 111 537 40.435 11.655 4.86 47.6019 15 1
0 0.162768 5.31995 0.337439 0.201667 43.8094 0.963533 37.9236 0 0.213136 7.30763 0.112611 105.974 116 700 40.435 11.655 3.64828 51.2501 15 1
0 0.162753 5.31938 0.33739 0.201631 43.8094 0.963431 37.9236 0 0.213095 7.30675 0.1126 109.65 121 708 40.435 11.655 3.64998 54.9001 15 1
0.904491 0 4.31882 0.337341 0.201594 44.8094 0 36.9236 0 0 8.30586 2.11259 88.2811 106 715 40.435 12.0867 2.08631 56.9864 15 1
0.904396 0 4.31836 0.337292 0.201558 44.8094 0 36.9236 0 0 8.30486 2.11238 90.3969 110 723 40.435 11.655 2.08815 59.0746 15 1
0.904301 0 4.3179 0.337243 0.201521 44.8094 0 36.9236 0 0 8.30386 2.11218 92.5145 88 730 40.435 12.0867 2.09 61.1646 15 1
0 1.16297 5.31745 0.337194 0 43.8094 0 36.9236 0 0 9.30286 0.111975 109.718 93 612 40.435 11.655 3.03456 64.1991 15 1
0 1.16286 5.31688 0.337145 0 43.8094 0 36.9236 0 0 9.30286 0.111964 112.764 110 746 40.435 11.655 3.03529 67.2344 15 1
0.904436 0 3.31632 0 0.201774 43.8094 0 38.9236 0.976776 0.213805 8.30286 0.111953 119.06 113 754 40.435 11.655 3.23908 70.4735 15 1
0.904342 0 3.31597 0 0.201738 43.8094 0 38.9236 0.97658 0.213764 8.30186 0.111942 122.327 119 761 40.435 11.655 3.24082 73.7143 15 1
0.904247 0 3.31562 0 0.201701 43.8094 0 38.9236 0.976385 0.213724 8.30085 0.111931 125.595 122 769 40.435 11.655 3.24255 76.9569 15 1
0.904152 0.163273 5.31527 0 0.201664 43.8094 0 37.9236 0 0 8.29985 0 131.082 126 901 40.435 12.0867 3.3828 80.3397 15 1
0.904057 0.163257 5.3147 0 0.201628 43.8094 0 37.9236 0 0 8.29885 0 134.492 131 908 40.435 12.0867 3.38451 83.7242 15 1
0 1.16324 5.31414 0.337867 0.201591 45.8094 0 36.9236 0 0 5.29785 2.11229 129.165 134 760 40.435 12.0867 2.84003 86.5642 15 1
0 1.16313 5.31358 0.337818 0.201555 45.8094 0 36.9236 0 0 5.29721 2.11208 132.03 129 798 40.435 11.655 2.84163 89.4058 15 1
0 1.16302 5.31302 0.337769 0.201518 45.8094 0 36.9236 0 0 5.29657 2.11188 134.898 132 743 40.435 12.5183 2.84323 92.2491 15 1
0 0.162914 4.31245 0 1.20148 41.8094 0.963379 37.9236 0.978012 0 7.29593 0.111672 176.108 135 782 40.435 12.0867 5.24116 97.4902 15 1
0 0.162899 4.312 0 1.20126 41.8094 0.963277 37.9236 0.977817 0 7.29505 0.111662 181.379 176 789 40.435 12.0867 5.24304 102.733 15 1
1.90464 0.162883 4.31154 0.337912 1.20105 42.8094 0 35.9236 0 0 9.29417 0.111651 165.824 181 797 40.8698 12.0867 3.94316 106.676 15 1
1.90444 0.162868 4.31108 0.337863 1.20083 42.8094 0 35.9236 0 0 9.29417 0.11164 169.782 166 804 40.435 12.0867 3.94411 110.621 15 1
1.90424 0.162853 4.31063 0.337814 1.20061 42.8094 0 35.9236 0 0 9.29417 0.111629 173.742 170 843 40.435 11.655 3.94506 114.566 15 1
