... -> 250P -> 50C0 -> 100C0 -> 150C0
Kpf: 15 Kif: 1 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 0.34349 2.88818 0.494546 0 44.0519 1.27396 38.4177 0 0 6.66505 0 970.047 890 645 40.8698 13.3816 5.86511 882.07 15 1
0 0.343457 2.88775 0.494505 0 44.0519 1.27383 38.4177 0 0 6.66423 0 975.935 964 495 40.8698 13.3816 5.86656 887.937 15 1
0 0 2.88733 0.494464 0.231399 43.0519 0.273692 35.4177 0 0 6.66341 0 1063.62 970 626 40.8698 13.8133 10.98 898.917 15 1
0 0 2.88691 0.494424 0.231353 43.0519 0.273663 35.4177 0 0 6.66259 0 1074.62 976 352 40.8698 13.3816 10.9814 909.898 15 1
0.800579 0.34355 3.88648 0 0 44.0519 0.273633 36.4177 1.27214 0.893906 6.66177 0.118808 994.369 1064 314 40.8698 13.3816 5.27947 915.177 15 1
0.800516 0.343517 3.88591 0 0 44.0519 0.273604 36.4177 1.27191 0.893816 6.66095 0.118799 999.678 1075 476 40.8698 13.3816 5.28131 920.459 15 1
0.800453 0.343484 3.88534 0 0 44.0519 0.273575 36.4177 1.27169 0.893725 6.66013 0.118791 1004.99 994 326 40.8698 13.3816 5.28315 925.742 15 1
0.80039 0.343451 3.88477 0 0.231768 44.0519 2.27355 36.4177 0.27146 0 6.65931 0 1006.79 1000 363 40.8698 12.95 5.06564 930.808 15 1
0.800327 0.343418 3.8842 0 0.231722 44.0519 2.2733 36.4177 0.271412 0 6.65849 0 1011.89 1005 338 40.8698 13.3816 5.06746 935.875 15 1
0 0.343385 3.88363 1.49459 0 45.0519 0.273063 34.4177 0.271363 0 7.65767 1.11891 1023.68 1007 500 40.8698 13.3816 5.48772 941.363 15 1
0 0.343352 3.88306 1.49447 0 45.0519 0.273034 34.4177 0.271315 0 7.65673 1.11883 1029.2 1012 506 40.8698 13.3816 5.48955 946.852 15 1
0 0.343319 3.88249 1.49434 0 45.0519 0.273005 34.4177 0.271267 0 7.65579 1.11875 1034.71 1024 511 40.8698 13.3816 5.49137 952.344 15 1
0.800311 0.343287 3.88192 0 0.232136 47.0519 0.272975 37.4177 0 0 6.65484 0 1005.86 1029 392 40.8698 12.95 3.34486 955.688 15 1
0.800248 0.343254 3.88135 0 0.23209 47.0519 0.272946 37.4177 0 0 6.65403 0 1009.23 1035 680 41.3046 13.3816 3.34642 959.035 15 1
1.80019 0.343221 3.88078 0 0.232043 44.0519 0.272917 37.4177 0.271832 0 8.65321 0 1008.25 1006 373 41.3046 13.3816 3.07615 962.111 15 1
1.80004 0.343188 3.88021 0 0.231997 44.0519 0.272888 37.4177 0.271784 0 8.65321 0 1011.34 1009 693 41.3046 13.3816 3.07701 965.188 15 1
1.7999 0.343155 3.87964 0 0.23195 44.0519 0.272859 37.4177 0.271736 0 8.65321 0 1014.43 1008 542 41.3046 13.3816 3.07788 968.266 15 1
0 0.343122 3.87907 0.49443 0 44.0519 0.27283 39.4177 0 0 7.65321 0 1030.47 1011 548 41.3046 13.3816 3.88767 972.154 15 1
0 0.343089 3.8785 0.494389 0 44.0519 0.272801 39.4177 0 0 7.65227 0 1034.38 1014 554 41.3046 13.3816 3.88928 976.043 15 1
0 0 4.87793 0 0 44.0519 0.272772 38.4177 0 0 5.65132 0.119319 1081.79 1030 560 41.3046 13.3816 6.60898 982.652 15 1
0 0 4.87722 0 0 44.0519 0.272743 38.4177 0 0 5.65063 0.11931 1088.42 1034 567 41.3046 13.3816 6.61043 989.262 15 1
0 0 4.8765 0 0 44.0519 0.272714 38.4177 0 0 5.64993 0.119302 1095.05 1082 573 41.3046 13.3816 6.61188 995.874 15 1
0 0.343533 2.87579 0.494474 0 47.0519 0.272685 39.4177 0.272333 0 6.64924 0 1037.83 1088 736 41.3046 13.3816 2.62228 998.496 15 1
0 0.3435 2.87536 0.494433 0 47.0519 0.272656 39.4177 0.272285 0 6.64842 0 1040.48 1095 584 41.3046 13.3816 2.62368 1001.12 15 1
0.799871 0 6.87494 0 0.232979 43.0519 0.272627 35.4177 0.272237 0 6.6476 1.11942 1086.09 1038 590 41.3046 13.3816 5.31066 1006.43 15 1
0.799809 0 6.87393 0 0.232932 43.0519 0.272598 35.4177 0.272189 0 6.64678 1.11934 1091.43 1040 596 41.3046 13.3816 5.31275 1011.74 15 1
0.799746 0 6.87292 0 0.232886 43.0519 0.272569 35.4177 0.27214 0 6.64597 1.11926 1096.78 1086 602 41.3046 13.3816 5.31484 1017.06 15 1
0 0.343655 2.87192 1.49452 0 43.0519 0 39.4177 0.272092 0 7.64515 0.11918 1093.6 1091 608 41.3046 13.3816 4.78382 1021.84 15 1
0 0.343623 2.87149 1.49439 0 43.0519 0 39.4177 0.272044 0 7.64421 0.119172 1098.41 1097 646 41.3046 12.95 4.7854 1026.63 15 1
0.799871 0 2.87107 0 0 44.0519 0.272908 34.4177 0.271995 0 6.64327 0 1197.37 1094 1027 41.3046 14.245 10.6712 1037.3 15 1
0.799809 0 2.87065 0 0 44.0519 0.272879 34.4177 0.271947 0 6.64245 0 1208.06 1098 783 41.3046 12.95 10.6726 1047.97 15 1
0.799746 0 2.87023 0 0 44.0519 0.27285 34.4177 0.271899 0 6.64163 0 1218.76 1197 632 41.3046 13.3816 10.674 1058.65 15 1
0.799683 0.344066 3.86981 0 0 45.0519 0 39.4177 0.271851 0 7.64082 0 1100.31 1208 951 41.3046 12.95 2.60411 1061.25 15 1
0.79962 0.344033 3.86924 0 0 45.0519 0 39.4177 0.271803 0 7.63988 0 1102.94 1219 833 41.3046 12.5183 2.60576 1063.86 15 1
0.799557 0 4.86867 0.494479 0 45.0519 0.272975 37.4177 0 0 5.63894 0 1151.15 1100 683 41.7393 12.5183 5.45571 1069.31 15 1
0.799495 0 4.86796 0.494438 0 45.0519 0.272946 37.4177 0 0 5.63824 0 1156.63 1103 690 41.7393 12.5183 5.45726 1074.77 15 1
0.799432 0 4.86724 0.494397 0 45.0519 0.272917 37.4177 0 0 5.63755 0 1162.11 1151 728 41.7393 12.5183 5.4588 1080.23 15 1
0.799369 0.344188 5.86653 0 0.234972 44.0519 0.272888 37.4177 0.272674 0 7.63685 0.119874 1127.95 1162 859 41.7393 12.5183 2.98299 1083.21 15 1
0.799306 0.344155 5.86567 0 0.234925 44.0519 0.272859 37.4177 0.272626 0 7.63591 0.119866 1130.97 1128 868 41.7393 12.95 2.98501 1086.2 15 1
0 0.344122 5.86481 0.494606 0 47.0519 0 36.4177 0.272577 0 8.63498 0 1100.9 1131 624 42.1741 12.0867 0.919247 1087.11 15 1
0 0.344089 5.86395 0.494565 0 47.0519 0 36.4177 0.272529 0 8.63498 0 1101.84 1101 1037 42.1741 12.95 0.92023 1088.03 15 1
0 0.344056 5.86308 0.494524 0 47.0519 0 36.4177 0.27248 0 8.63498 0 1102.77 1102 763 42.1741 12.5183 0.921213 1088.96 15 1
