... -> 250P -> 35C0 -> 70C0 -> 100C0
Kpf: 10 Kif: 1.2 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 0.333288 2.95258 0 0.997099 30.0194 1.84138 23.0238 0 0 4.19722 1.3564 -0.152829 -13 296 30.435 20.2881 5.2788 -44.1174 10 1.2
0 0.333259 1.95235 1.14453 0.996999 31.0194 1.84124 22.0238 0 1.03465 3.1969 1.35628 4.18535 -6 265 30.435 19.8565 5.10055 -39.0168 10 1.2
0 0.333231 1.95219 1.14434 0.996899 31.0194 1.84111 22.0238 0 1.03455 3.19666 1.35616 10.318 0 139 30.435 20.2881 5.10162 -33.9152 10 1.2
0 0.333202 1.95204 1.14415 0.996799 30.0194 0.840975 22.0238 0 0.0344536 3.19641 0 65.2397 4 576 30.435 20.2881 9.45874 -24.4564 10 1.2
0 0.333174 1.95188 1.14395 0.996699 30.0194 0.840913 22.0238 0 0.0344503 3.19617 0 76.5989 10 576 30.435 20.2881 9.45952 -14.9969 10 1.2
0 0.333145 1.95173 1.14376 0.996599 30.0194 0.840852 22.0238 0 0.034447 3.19592 0 87.9591 65 732 30.435 20.2881 9.46031 -5.53662 10 1.2
0 0.333117 2.95158 0.14357 1.9965 30.0194 0.84079 24.0238 0.937409 1.03444 3.19568 2.35621 17.6317 77 482 30.435 19.4248 2.16747 -3.36915 10 1.2
0 0.333088 2.95134 0.143546 1.9963 30.0194 0.840729 24.0238 0.937221 1.03434 3.19543 2.35601 20.247 88 420 30.435 20.2881 2.16875 -1.20039 10 1.2
1.71294 0 1.95111 0.143522 0.996098 30.0194 1.84067 23.0238 0 1.03425 3.19519 2.35581 40.304 18 264 30.435 20.2881 3.72718 2.52679 10 1.2
1.71282 0 1.95096 0.143498 0.995998 30.0194 1.84053 23.0238 0 1.03415 3.19494 2.3556 44.7888 20 108 30.435 20.2881 3.72827 6.25506 10 1.2
1.71269 0 1.9508 0.143474 0.995898 30.0194 1.8404 23.0238 0 1.03405 3.1947 2.3554 49.2748 40 263 30.435 20.2881 3.72935 9.98441 10 1.2
