250P -> 40C0 -> 80C0
Kpf: 10 Kif: 0.2 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
2.28115 0 3.30841 0.973644 0 20.1689 0 16.027 0 0.0949012 1.95534 0 -114.544 -136 173 26.0872 22.878 -4.80937 -332.25 10 0.2
2.28095 0 3.30805 0.973546 0 20.1689 0 16.027 0 0.0948922 1.95517 0 -115.497 -137 170 26.0872 22.878 -4.80853 -337.059 10 0.2
0.280754 1.39001 0.307689 0.973448 0 21.1689 0 14.027 0.976417 1.09488 0.954992 1.21232 -91.7535 -115 -146 26.0872 22.878 -2.38644 -339.445 10 0.2
0.28073 1.38989 0.307656 0.97335 0 21.1689 0 14.027 0.976221 1.09478 0.954908 1.21221 -92.223 -115 7 26.0872 22.878 -2.38568 -341.831 10 0.2
0.280705 1.38978 0.307623 0.973252 0 21.1689 0 14.027 0.976026 1.09468 0.954824 1.2121 -92.6923 -92 -152 26.0872 23.3097 -2.38491 -344.216 10 0.2
0.280681 0.389661 5.30759 0.973153 0 19.1689 0.391643 15.027 0 0.0945728 0.954739 2.21199 -117.803 -92 126 26.0872 22.878 -4.79996 -349.016 10 0.2
0.280656 0.389629 5.30702 0.973055 0 19.1689 0.39161 15.027 0 0.0945638 0.954655 2.21179 -118.752 -93 -33 26.0872 22.878 -4.79891 -353.815 10 0.2
0.280632 0 5.30644 0 1.73885 18.1689 0.391576 14.027 0 1.09455 0.95457 1.21159 -103.139 -118 119 26.0872 23.7413 -3.17414 -356.989 10 0.2
0.280607 0 5.30587 0 1.73864 18.1689 0.391543 14.027 0 1.09445 0.954486 1.21148 -103.763 -119 85 26.0872 23.3097 -3.17301 -360.162 10 0.2
0.280583 0 5.30529 0 1.73844 18.1689 0.391509 14.027 0 1.09435 0.954402 1.21137 -104.386 -103 113 26.0872 23.3097 -3.17188 -363.334 10 0.2
0 3.39 0.304719 1.97327 0 19.1689 0 10.027 0 1.09424 0 2.21126 -53.9949 -104 -47 26.0872 22.878 1.83058 -361.503 10 0.2
0 3.38972 0.304686 1.97307 0 19.1689 0 10.027 0 1.09414 0 2.21106 -53.6204 -104 106 25.6524 22.878 1.8314 -359.672 10 0.2
0 1.38944 0 0.97287 0 22.1689 0 13.027 0 0 3.9545 0 -87.3643 -54 -23 26.0872 22.878 -1.51274 -361.185 10 0.2
0 1.38932 0 0.972772 0 22.1689 0 13.027 0 0 3.95415 0 -87.6611 -54 131 26.0872 22.878 -1.51218 -362.697 10 0.2
0 1.38921 0 0.972674 0 22.1689 0 13.027 0 0 3.9538 0 -87.9578 -87 96 26.0872 23.3097 -1.51161 -364.208 10 0.2
0.280873 0.389092 2.30488 0 0.73839 19.1689 0 16.027 0 1.09429 0.953454 0 -82.6022 -88 -32 26.0872 22.878 -0.956911 -365.165 10 0.2
0.280848 0.38906 2.30463 0 0.738304 19.1689 0 16.027 0 1.09419 0.953369 0 -82.7877 -88 153 25.6524 22.4464 -0.956331 -366.122 10 0.2
0 2.38903 1.30438 0.972783 0 19.1689 0 15.027 0 0.0940876 1.95329 0 -82.5012 -83 150 26.0872 22.4464 -0.909493 -367.031 10 0.2
0 2.38883 1.30424 0.972685 0 19.1689 0 15.027 0 0.0940787 1.95311 0 -82.6768 -83 178 26.0872 22.0147 -0.908875 -367.94 10 0.2
0 2.38863 1.3041 0.972587 0 19.1689 0 15.027 0 0.0940698 1.95294 0 -82.8522 -83 144 26.0872 22.4464 -0.908257 -368.848 10 0.2
0 2.38844 1.30396 0.972489 0 21.1689 0 16.027 0 1.09406 0 1.21143 -116.266 -83 266 26.0872 22.878 -4.16631 -373.015 10 0.2
0 2.38824 1.30382 0.972391 0 21.1689 0 16.027 0 1.09396 0 1.21132 -117.093 -83 107 25.6524 22.878 -4.16566 -377.18 10 0.2
0 1.38804 1.30367 0 0 19.1689 0 14.027 0 0.0938541 0.952776 0.211214 -46.3201 -116 41 26.0872 23.7413 2.85451 -374.326 10 0.2
0 1.38793 1.30353 0 0 19.1689 0 14.027 0 0.0938452 0.952692 0.211195 -45.7454 -117 37 26.0872 23.7413 2.85488 -371.471 10 0.2
0 1.38781 1.30339 0 0 19.1689 0 14.027 0 0.0938363 0.952607 0.211176 -45.1707 -46 -91 26.0872 23.3097 2.85525 -368.616 10 0.2
0 0.387698 1.30325 0.972301 0 19.1689 0.392942 13.027 0 0.0938275 2.95252 1.21116 -68.7214 -46 61 25.6524 23.3097 0.490371 -368.125 10 0.2
0 0.387666 1.30311 0.972203 0 19.1689 0.392909 13.027 0 0.0938186 2.95226 1.21105 -68.6163 -45 -98 26.0872 23.3097 0.491055 -367.634 10 0.2
0 1.38763 3.30297 0 1.73852 18.1689 0 10.027 0 1.09381 1.952 0.210937 -51.9213 -69 55 25.6524 23.3097 2.1182 -365.516 10 0.2
0 1.38752 3.30261 0 1.73832 18.1689 0 10.027 0 1.09371 1.95183 0.210918 -51.4877 -69 52 25.6524 23.3097 2.11917 -363.397 10 0.2
0 1.3874 3.30225 0 1.73812 18.1689 0 10.027 0 1.0936 1.95166 0.210899 -51.054 -52 -264 26.0872 23.3097 2.12014 -361.277 10 0.2
0 1.38729 1.3019 0 0 19.1689 0 12.027 0 0.0934995 2.95148 0 -40.9424 -51 14 26.0872 23.7413 3.0699 -358.207 10 0.2
0 1.38718 1.30176 0 0 19.1689 0 12.027 0 0.0934907 2.95122 0 -40.323 -51 11 25.6524 23.7413 3.07042 -355.136 10 0.2
1.28255 0 2.30162 0 0 19.1689 0 13.027 0.980149 1.09348 3.95096 1.21102 -101.788 -41 164 26.0872 23.7413 -3.01571 -358.152 10 0.2
1.28244 0 2.30137 0 0 19.1689 0 13.027 0.979953 1.09338 3.95061 1.21091 -102.379 -40 36 25.6524 23.3097 -3.01459 -361.167 10 0.2
1.28233 0 2.30112 0 0 19.1689 0 13.027 0.979757 1.09328 3.95026 1.2108 -102.971 -102 33 25.6524 23.3097 -3.01347 -364.18 10 0.2
