250P
Kpf: 10 Kif: 0.5 Kpb: 0 Kpb: 0.3
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
1.52424 0 0.269063 0.274338 0 0 0.803009 0.226311 0 0.52636 0 0.569506 250 0 79 10.435 19.4248 0 0 -1 -1
0.524044 0 0 0.274294 1.98126 1.92931 0.80292 1.22629 0 0.526291 0 0 250 250 16 10.435 20.2881 0 0 -1 -1
0.523975 0 0 0.274251 1.98086 1.92911 0.802831 1.22618 0 0.526222 0 0 250 250 16 10.435 20.2881 0 0 -1 -1
0 1.61157 0 0 0 0 0 0.22607 1.32495 0 0 0 250 250 172 10.435 20.2881 0 0 -1 -1
0 1.61136 0 0 0 0 0 0.22605 1.32475 0 0 0 250 250 47 10.435 19.8565 0 0 -1 -1
0 1.61116 0 0 0 0 0 0.22603 1.32455 0 0 0 250 250 141 10.435 20.7198 0 0 -1 -1
1.52409 0 0.269907 0.275023 0.980479 0.929241 0 0.22601 0.324353 0 0 0 250 250 46 10.435 19.8565 0 0 -1 -1
1.52389 0 0.269865 0.274979 0.980283 0.929144 0 0.225989 0.324304 0 0 0 250 250 46 10.435 19.8565 0 0 -1 -1
0.523694 0 0 0 1.98009 0 0.803183 0 0 0.526856 0.735149 0 250 250 171 10.435 20.2881 0 0 -1 -1
0.523625 0 0 0 1.97969 0 0.803094 0 0 0.526787 0.735064 0 250 250 46 10.435 19.8565 0 0 -1 -1
0.523556 0 0 0 1.97929 0 0.803005 0 0 0.526718 0.734979 0 250 250 -110 10.435 19.8565 0 0 -1 -1
0.523487 0 0 0 0 0.929693 0 0 0.324562 0 0 0 250 250 46 10.435 19.8565 0 0 -1 -1
0.523418 0 0 0 0 0.929597 0 0 0.324513 0 0 0 250 250 46 10.435 19.8565 0 0 -1 -1
0.52335 0 0 0.275506 0 0 0 1.22632 0.324464 0 1.73496 0.570329 250 250 46 10.435 19.8565 0 0 -1 -1
0.523281 0 0 0.275463 0 0 0 1.22621 0.324415 0 1.73476 0.570284 250 250 46 10.435 19.8565 0 0 -1 -1
0.523212 1.61165 0 2.27542 0 0 0 0 0.324365 0.526897 0 0 250 250 46 10.435 20.2881 0 0 -1 -1
0.523143 1.61145 0 2.27506 0 0 0 0 0.324316 0.526828 0 0 250 250 46 10.435 19.8565 0 0 -1 -1
0.523075 1.61125 0 2.2747 0 0 0 0 0.324267 0.526759 0 0 250 250 46 10.8698 19.8565 0 0 -1 -1
0 0.611046 1.27128 0.274346 0.979928 0 0.803734 0 0.324218 0 0 0.57034 250 250 46 10.8698 19.8565 0 0 -1 -1
0 0.61097 1.27108 0.274303 0.979732 0 0.803645 0 0.324169 0 0 0.570296 250 250 -111 10.8698 19.8565 0 0 -1 -1
0 0 0.270882 0.274259 0.979536 0 0 0.226713 0 0 0 0 250 250 -110 10.8698 19.8565 0 0 -1 -1
0 0 0.27084 0.274216 0.97934 0 0 0.226693 0 0 0 0 250 250 46 10.8698 19.8565 0 0 -1 -1
0 0 0.270797 0.274173 0.979144 0 0 0.226672 0 0 0 0 250 250 -110 10.8698 19.8565 0 0 -1 -1
0 1.61141 0 0.27413 0 0.929573 0.803621 2.22665 0.32488 0.527262 0.7348 0 250 250 77 11.3046 19.4248 0 0 -1 -1
0 1.61121 0 0.274087 0 0.929477 0.803532 2.22645 0.324831 0.527193 0.734716 0 250 250 78 11.3046 19.4248 0 0 -1 -1
0.523707 0 0 0 0 0 0.803443 0.226252 1.32478 0.527124 0 0.570419 250 250 78 11.3046 19.4248 0 0 -1 -1
0.523638 0 0 0 0 0 0.803354 0.226232 1.32458 0.527055 0 0.570374 250 250 -78 11.3046 19.4248 0 0 -1 -1
0.52357 0 0 0 0 0 0.803265 0.226211 1.32438 0.526986 0 0.57033 250 250 -172 11.3046 18.5615 0 0 -1 -1
0 0 0 0 0 0 2.80318 0 0 0 0 0 250 250 -171 11.7393 18.5615 0 0 -1 -1
0 0 0 0 0 0 2.80287 0 0 0 0 0 250 250 -296 11.7393 18.1298 0 0 -1 -1
0.523626 3.61175 0 1.27493 0 0.930144 0 0 0 0 0.735361 0.570352 250 250 -295 11.7393 18.1298 0 0 -1 -1
0.523557 3.6113 0 1.27473 0 0.930048 0 0 0 0 0.735276 0.570308 250 250 -14 11.7393 18.5615 0 0 -1 -1
0.523488 3.61085 0 1.27453 0 0.929951 0 0 0 0 0.735191 0.570264 250 250 112 11.7393 18.9931 0 0 -1 -1
0.52342 1.6104 0 1.27433 0 0 0 1.22672 0.325901 0 0.735106 0 250 250 237 11.7393 19.4248 0 0 -1 -1
0.523351 1.6102 0 1.27413 0 0 0 1.22661 0.325852 0 0.735021 0 250 250 394 11.7393 19.4248 0 0 -1 -1
0 0.610001 0 0.273927 0 0.929869 0 1.2265 0 0 0 1.57029 250 250 -42 12.1741 18.9931 0 0 -1 -1
0 0.609925 0 0.273883 0 0.929772 0 1.22639 0 0 0 1.57016 250 250 114 12.1741 18.9931 0 0 -1 -1
0 0.609849 0 0.27384 0 0.929676 0 1.22628 0 0 0 1.57004 250 250 115 12.1741 18.9931 0 0 -1 -1
0 0.609773 0.274819 0.273797 0 1.92958 0 2.22617 0 0 0 1.56992 250 250 116 12.1741 18.9931 0 0 -1 -1
0 0.609697 0.274776 0.273754 0 1.92938 0 2.22597 0 0 0 1.5698 250 250 148 12.1741 18.5615 0 0 -1 -1
