250P -> 900P -> 40C1
Kpf: 10 Kif: 0.4 Kpb: 0 Kpb: 0.04
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0.125354 2.56827 5.94788 0.298485 0 38.5821 2.54691 31.2195 0 0 10.1229 0 900 900 573 41.3046 12.5183 0 0 -1 -1
3.12534 2.56805 6.94729 1.29843 0.253711 38.5821 1.54666 32.2195 0 0 8.12289 0 900 900 582 40.8698 12.5183 0 0 -1 -1
3.12497 2.56782 6.9466 1.29817 0.253661 38.5821 1.54651 32.2195 0 0 8.12189 0 900 900 588 40.8698 12.5183 0 0 -1 -1
4.1246 0.567593 8.9459 0.297906 0.25361 39.5821 0 33.2195 0 0 9.1209 0 900 900 595 40.8698 12.5183 0 0 -1 -1
4.1241 0.567543 8.94501 0.297847 0.253559 39.5821 0 33.2195 0 0 9.1209 0 900 900 602 40.8698 12.5183 0 0 -1 -1
4.12361 0.567493 8.94411 0.297787 0.253508 39.5821 0 33.2195 0 0 9.1209 0 900 900 608 40.8698 12.5183 0 0 -1 -1
0 1.56744 8.94322 0.297728 1.25346 40.5821 0 31.2195 0.767516 0 10.1209 0.16518 900 900 615 40.8698 12.5183 0 0 -1 -1
0 1.56731 8.94232 0.297668 1.25321 40.5821 0 31.2195 0.76742 0 10.1209 0.165159 900 900 622 40.8698 12.5183 0 0 -1 -1
0 2.56717 7.94143 0.297609 0 38.5821 0 36.2195 0 0 10.1209 2.16514 900 900 753 40.8698 12.95 0 0 -1 -1
0 2.56694 7.94063 0.297549 0 38.5821 0 36.2195 0 0 10.1209 2.16487 900 900 885 40.8698 13.3816 0 0 -1 -1
0 2.56671 7.93984 0.29749 0 38.5821 0 36.2195 0 0 10.1209 2.16461 900 900 735 40.8698 13.3816 0 0 -1 -1
0.123645 2.56649 6.93905 3.29743 0 39.5821 0 32.2195 0.767785 0 10.1209 0.164346 900 900 773 40.8698 12.95 0 0 -1 -1
0.12363 2.56626 6.93835 3.29677 0 39.5821 0 32.2195 0.767689 0 10.1209 0.164326 900 900 779 41.3046 12.95 0 0 -1 -1
0.123616 1.56604 8.93766 0.296111 0.254103 37.5821 0 31.2195 0 0 9.1209 2.16431 900 900 786 41.3046 12.95 0 0 -1 -1
0.123601 1.5659 8.93677 0.296052 0.254052 37.5821 0 31.2195 0 0 9.1209 2.16404 900 900 918 41.3046 13.3816 0 0 -1 -1
0.123586 1.56576 8.93587 0.295993 0.254002 37.5821 0 31.2195 0 0 9.1209 2.16378 900 900 799 41.3046 12.95 0 0 -1 -1
0.123572 1.56562 8.93498 0.295934 0.253951 38.5821 0.54694 34.2195 0 0.329313 9.1209 1.16351 900 900 806 41.3046 12.95 0 0 -1 -1
0.123557 1.56549 8.93408 0.295874 0.2539 38.5821 0.546886 34.2195 0 0.329272 9.1209 1.16337 900 900 937 41.3046 13.3816 0 0 -1 -1
0.123542 0 8.93319 1.29582 0.253849 38.5821 1.54683 34.2195 0 0 8.1209 2.16323 900 900 975 41.3046 12.95 0 0 -1 -1
0.123527 0 8.9323 1.29556 0.253798 38.5821 1.54668 34.2195 0 0 8.1199 2.16296 900 900 950 41.3046 13.3816 0 0 -1 -1
0.123513 0 8.9314 1.2953 0.253748 38.5821 1.54653 34.2195 0 0 8.11891 2.1627 900 900 832 41.3046 12.95 0 0 -1 -1
1.1235 0 9.93051 0 0 39.5821 0.546372 31.2195 0 0.329861 9.11792 1.16244 900 900 839 41.3046 12.95 0 0 -1 -1
1.12336 0 9.93051 0 0 39.5821 0.546318 31.2195 0 0.329819 9.11792 1.16229 900 900 1001 41.3046 12.95 0 0 -1 -1
0 2.5658 6.93051 1.29532 0.253995 39.5821 0 32.2195 0 0 10.1179 1.16215 900 900 977 41.3046 13.3816 0 0 -1 -1
0 2.56558 6.92982 1.29506 0.253945 39.5821 0 32.2195 0 0 10.1179 1.16201 900 900 702 41.3046 12.95 0 0 -1 -1
0 2.56535 6.92913 1.2948 0.253894 39.5821 0 32.2195 0 0 10.1179 1.16187 900 900 677 41.3046 13.3816 0 0 -1 -1
0.123544 1.56512 8.92843 0.294543 0 40.5821 0.546696 31.2195 0 0 10.1179 1.16173 900 900 683 41.3046 13.3816 0 0 -1 -1
0.123529 1.56499 8.92754 0.294484 0 40.5821 0.546641 31.2195 0 0 10.1179 1.16158 900 900 690 41.3046 13.3816 0 0 -1 -1
0.123514 0 9.92665 0.294425 0.254141 39.5821 0 33.2195 0 0 9.11792 0.161443 900 900 697 41.3046 13.3816 0 0 -1 -1
0.1235 0 9.92665 0.294366 0.254091 39.5821 0 33.2195 0 0 9.11792 0.161423 900 900 704 41.3046 13.3816 0 0 -1 -1
0.123485 0 9.92665 0.294307 0.25404 39.5821 0 33.2195 0 0 9.11792 0.161403 900 900 743 41.3046 12.5183 0 0 -1 -1
3.12347 0.564964 8.92665 0.294248 0.253989 38.5821 0 34.2195 0 0 11.1179 0 900 900 749 41.3046 12.5183 0 0 -1 -1
3.1231 0.564915 8.92575 0.29419 0.253938 38.5821 0 34.2195 0 0 11.1179 0 900 900 756 41.3046 12.5183 0 0 -1 -1
2.12273 0 8.92486 2.29413 0 36.5821 1.54681 29.2195 0.770155 0 10.1179 1.16183 900 900 794 41.3046 12.95 0 0 -1 -1
2.12247 0 8.92397 2.29367 0 36.5821 1.54666 29.2195 0.77006 0 10.1179 1.16169 900 900 769 41.3046 12.5183 0 0 -1 -1
2.12222 0 8.92308 2.29321 0 36.5821 1.54651 29.2195 0.769964 0 10.1179 1.16155 900 900 838 40.8698 12.95 0 0 -1 -1
1.12197 2.56551 6.92218 0.292755 0.254335 39.5821 0.546352 30.2195 0 0 8.11792 0.161407 900 900 815 40.8698 12.5183 0 0 -1 -1
1.12184 2.56528 6.92149 0.292696 0.254284 39.5821 0.546298 30.2195 0 0 8.11692 0.161387 900 900 822 40.8698 12.5183 0 0 -1 -1
1.1217 0.565056 5.9208 0.292637 0 39.5821 0.546244 30.2195 0 0 8.11593 0.161368 900 900 829 40.8698 12.5183 0 0 -1 -1
1.12157 0.565006 5.92021 0.292579 0 39.5821 0.54619 30.2195 0 0 8.11493 0.161348 900 900 960 40.8698 12.95 0 0 -1 -1
1.12144 0.564957 5.91962 0.29252 0 39.5821 0.546136 30.2195 0 0 8.11394 0.161328 900 900 873 40.8698 12.0867 0 0 -1 -1
0.121302 0 8.91902 0.292462 0.254681 38.5821 0 29.2195 0 0 9.11295 2.16131 900 900 848 40.8698 12.5183 0 0 -1 -1
0.121288 0 8.91813 0.292403 0.25463 38.5821 0 29.2195 0 0 9.11295 2.16104 900 900 855 40.8698 12.5183 0 0 -1 -1
2.12127 0 7.91724 1.29234 0 39.5821 0 33.2195 0 0 10.1129 0 900 900 861 41.3046 12.5183 0 0 -1 -1
2.12102 0 7.91645 1.29209 0 39.5821 0 33.2195 0 0 10.1129 0 900 900 837 40.8698 12.95 0 0 -1 -1
2.12077 0 7.91566 1.29183 0 39.5821 0 33.2195 0 0 10.1129 0 900 900 593 40.8698 12.0867 0 0 -1 -1
3.12052 1.56563 8.91487 1.29157 0 37.5821 0 32.2195 0 0 11.1129 0.161088 900 900 725 40.8698 12.5183 0 0 -1 -1
3.12015 1.56549 8.91397 1.29131 0 37.5821 0 32.2195 0 0 11.1129 0.161068 900 900 1012 41.3046 12.95 0 0 -1 -1
1.11977 1.56535 6.91308 2.29105 1.25532 37.5821 0 31.2195 0.771081 0 9.11295 2.16105 900 900 894 41.3046 12.5183 0 0 -1 -1
1.11964 1.56521 6.91239 2.29059 1.25507 37.5821 0 31.2195 0.770985 0 9.11295 2.16078 900 900 901 41.3046 12.5183 0 0 -1 -1
1.11951 1.56508 6.9117 2.29014 1.25482 37.5821 0 31.2195 0.770889 0 9.11295 2.16052 900 900 907 41.3046 12.5183 0 0 -1 -1
0 1.56494 6.91101 1.28968 1.25457 39.5821 0 31.2195 0.770793 0 10.1129 1.16026 900 900 914 40.8698 12.5183 0 0 -1 -1
0 1.5648 6.91032 1.28942 1.25432 39.5821 0 31.2195 0.770697 0 10.1129 1.16012 900 900 607 40.8698 12.5183 0 0 -1 -1
0.119584 0 7.90963 0.289163 0 37.5821 0.546819 33.2195 0 0 10.1129 1.15997 900 900 927 41.3046 12.5183 0 0 -1 -1
