330P -> 660P -> 990P
Kpf: 10 Kif: 0.4 Kpb: 0 Kpb: 0.04
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0.583232 0 3.70149 0 0 33.0806 0 23.0266 0 0 5.29231 0 660 660 261 33.0437 19.4248 0 0 -1 -1
0 0 3.70114 0.897866 0 32.0806 0.266948 24.0266 0.778808 0 4.29125 0.665617 660 660 262 33.0437 19.4248 0 0 -1 -1
0 0 3.70079 0.897686 0 32.0806 0.266901 24.0266 0.778652 0 4.2904 0.665534 660 660 264 33.0437 19.4248 0 0 -1 -1
0 0 3.70043 0.897507 0 32.0806 0.266854 24.0266 0.778497 0 4.28954 0.665451 660 660 265 33.0437 19.8565 0 0 -1 -1
0 0.448683 3.70008 0.897327 0 32.0806 0 23.0266 0 0 6.28868 0 660 660 391 33.0437 19.4248 0 0 -1 -1
0 0.448619 3.69973 0.897148 0 32.0806 0 23.0266 0 0 6.28742 0 660 660 267 33.0437 19.4248 0 0 -1 -1
0 0 2.69937 0 0 32.0806 0.267065 22.0266 0.77843 0.703959 5.28617 0.665452 660 660 518 33.0437 19.4248 0 0 -1 -1
0 0 2.69911 0 0 32.0806 0.267018 22.0266 0.778274 0.703875 5.28511 0.665368 660 660 519 33.0437 19.4248 0 0 -1 -1
0 0 2.69886 0 0 32.0806 0.266971 22.0266 0.778118 0.703792 5.28405 0.665285 660 660 396 33.0437 18.9931 0 0 -1 -1
0.583589 1.44922 4.6986 0 0.933811 31.0806 0 23.0266 0 0 4.28299 0 660 660 -196 33.0437 18.5615 0 0 -1 -1
0.583513 1.44901 4.69815 0 0.933624 31.0806 0 23.0266 0 0 4.28214 0 660 660 523 33.0437 19.4248 0 0 -1 -1
0.583438 0.448805 2.6977 0.897072 0 32.0806 0 27.0266 0 0 3.28128 3.66529 660 660 87 33.0437 18.9931 0 0 -1 -1
0.583362 0.448741 2.69744 0.896892 0 32.0806 0 27.0266 0 0 3.28062 3.66483 660 660 369 33.0437 19.4248 0 0 -1 -1
0.583286 0.448677 2.69718 0.896713 0 32.0806 0 27.0266 0 0 3.27997 3.66437 660 660 -36 33.0437 18.5615 0 0 -1 -1
0 0.448613 4.69692 0 0 31.0806 0.26845 22.0266 0.778784 0 5.27931 0.663913 660 660 -35 33.0437 18.5615 0 0 -1 -1
0 0.448549 4.69648 0 0 31.0806 0.268403 22.0266 0.778629 0 5.27826 0.66383 660 660 -159 33.0437 18.1298 0 0 -1 -1
0 0.448485 2.69603 0 0.934104 31.0806 2.26836 22.0266 0.778473 0 5.2772 0 660 660 -33 33.0437 18.5615 0 0 -1 -1
0 0.448421 2.69577 0 0.933917 31.0806 2.26796 22.0266 0.778317 0 5.27615 0 660 660 124 33.0437 18.5615 0 0 -1 -1
0 0.448357 2.69551 0 0.93373 31.0806 2.26756 22.0266 0.778162 0 5.27509 0 660 660 125 33.0437 18.5615 0 0 -1 -1
2.58374 0 5.69525 0.896637 0.933543 32.0806 0.267157 24.0266 0 0 3.27404 0.664248 660 660 282 33.0437 18.5615 0 0 -1 -1
2.5834 0 5.69471 0.896457 0.933357 32.0806 0.26711 24.0266 0 0 3.27338 0.664165 660 660 283 33.0437 18.5615 0 0 -1 -1
0 1.44874 3.69416 0.896278 0 33.0806 1.26706 22.0266 0.778095 0.704965 4.27273 0 660 660 253 33.0437 18.9931 0 0 -1 -1
0 1.44853 3.69381 0.896099 0 33.0806 1.26684 22.0266 0.777939 0.704881 4.27187 0 660 660 285 33.0437 18.5615 0 0 -1 -1
0 1.44832 3.69346 0.89592 0 33.0806 1.26662 22.0266 0.777784 0.704797 4.27102 0 660 660 130 33.0437 18.5615 0 0 -1 -1
0 1.44812 2.6931 0.895741 0 29.0806 1.26639 21.0266 0.777628 0.704713 3.27016 1.66421 660 660 132 33.0437 18.5615 0 0 -1 -1
0 1.44791 2.69285 0.895561 0 29.0806 1.26617 21.0266 0.777473 0.704629 3.26951 1.664 660 660 258 33.0437 18.9931 0 0 -1 -1
0.58373 1.4477 2.69259 0.895382 0 32.0806 0 25.0266 0 0 4.26885 1.66379 660 660 415 33.0437 18.9931 0 0 -1 -1
0.583654 1.4475 2.69233 0.895203 0 32.0806 0 25.0266 0 0 4.268 1.66358 660 660 136 33.0437 18.5615 0 0 -1 -1
0.583578 1.44729 2.69207 0.895024 0 32.0806 0 25.0266 0 0 4.26715 1.66338 660 660 418 33.0437 18.9931 0 0 -1 -1
0.583502 0 3.69182 0 0.934276 32.0806 0.266335 23.0266 0 0 5.26629 0 660 660 294 33.0437 18.5615 0 0 -1 -1
0.583426 0 3.69146 0 0.934089 32.0806 0.266288 23.0266 0 0 5.26524 0 660 660 420 33.0437 18.9931 0 0 -1 -1
0 1.44724 3.69111 0 0 32.0806 0 27.0266 0 0 4.26419 1.6635 660 660 421 33.0437 18.5615 0 0 -1 -1
0 1.44704 3.69076 0 0 32.0806 0 27.0266 0 0 4.26333 1.66329 660 660 297 33.0437 18.5615 0 0 -1 -1
0 1.44683 3.69041 0 0 32.0806 0 27.0266 0 0 4.26248 1.66309 660 660 423 33.0437 18.5615 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 660 660 299 33.0437 18.5615 0 0 -1 -1
0.584217 0 3.6897 0.895171 0 34.0806 0.266582 25.0266 0 0.705577 4.26078 0.662797 660 660 300 33.0437 19.4248 0 0 -1 -1
0.584141 0 3.68935 0.894992 0 34.0806 0.266535 25.0266 0 0.705493 4.25993 0.662714 660 660 301 33.0437 18.5615 0 0 -1 -1
0.584065 0 4.68899 0.894813 0 31.0806 0 24.0266 0 0 4.25907 0 660 660 427 33.0437 18.5615 0 0 -1 -1
0.583989 0 4.68855 0.894634 0 31.0806 0 24.0266 0 0 4.25822 0 660 660 429 33.0437 19.4248 0 0 -1 -1
0.583913 0 4.6881 0.894455 0 31.0806 1.26675 21.0266 0 0 5.25737 0.662965 660 660 305 33.0437 18.5615 0 0 -1 -1
0.583837 0 4.68765 0.894276 0 31.0806 1.26652 21.0266 0 0 5.25632 0.662882 660 660 275 33.0437 18.9931 0 0 -1 -1
0.583761 0 4.6872 0.894097 0 31.0806 1.2663 21.0266 0 0 5.25527 0.6628 660 660 151 33.0437 18.5615 0 0 -1 -1
0.583686 0 2.68675 0 0.935046 32.0806 0.266077 25.0266 0 0 2.25422 0.662717 660 660 434 33.0437 18.9931 0 0 -1 -1
0.58361 0 2.6865 0 0.934859 32.0806 0.26603 25.0266 0 0 2.25377 0.662634 660 660 435 33.0437 18.9931 0 0 -1 -1
0.583534 0 4.68624 0 0 32.0806 0.265983 24.0266 0.780512 0 3.25331 0 660 660 311 33.0437 18.5615 0 0 -1 -1
0.583458 0 4.68579 0 0 32.0806 0.265937 24.0266 0.780356 0 3.25266 0 660 660 155 33.0437 18.5615 0 0 -1 -1
0 0 3.68534 0.894003 0.934699 32.0806 0.26589 26.0266 0 0.705963 3.25201 0 660 660 312 33.0437 18.5615 0 0 -1 -1
0 0 3.68499 0.893824 0.934512 32.0806 0.265843 26.0266 0 0.705879 3.25136 0 660 660 313 33.0437 18.5615 0 0 -1 -1
