... -> 330P -> 660P -> 990P -> 1320P
Kpf: 10 Kif: 0.4 Kpb: 0 Kpb: 0.04
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 0 2.5177 1.2073 0 39.267 0 37.5291 0.129825 0 3.29351 0.154403 990 990 366 40.0002 16.8349 0 0 -1 -1
0 0 2.51725 1.20706 0 39.267 0 37.5291 0.129799 0 3.29308 0.154385 990 990 369 40.0002 16.8349 0 0 -1 -1
0 0 2.5168 1.20682 0 39.267 0 37.5291 0.129773 0 3.29264 0.154368 990 990 372 40.0002 16.8349 0 0 -1 -1
0 0.800528 4.51635 0 0.419316 40.267 0 34.5291 0 0 5.29221 0 990 990 374 40.0002 16.8349 0 0 -1 -1
0 0.800418 4.51555 0 0.419239 40.267 0 34.5291 0 0 5.29151 0 990 990 377 40.0002 16.8349 0 0 -1 -1
0 1.80031 2.51474 0.207295 1.41916 39.267 1.83528 31.5291 0 0 6.29081 0.154542 990 990 411 40.0002 16.4032 0 0 -1 -1
0 1.80006 2.5143 0.207253 1.4189 39.267 1.83498 31.5291 0 0 6.28998 0.154525 990 990 382 40.0002 16.8349 0 0 -1 -1
0 1.79981 2.51385 0.207212 1.41864 39.267 1.83469 31.5291 0 0 6.28915 0.154507 990 990 385 40.0002 16.8349 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 990 990 387 40.0002 16.8349 0 0 -1 -1
0.987988 0 2.5134 0.207171 0.418386 41.267 0.834391 34.5291 0.130617 0 6.28832 0 990 990 390 40.0002 16.8349 0 0 -1 -1
0 0 2.51295 0.20713 0 40.267 0.834257 33.5291 0.130591 0 7.28748 0 990 990 393 40.0002 16.8349 0 0 -1 -1
0 0 2.51251 0.207088 0 40.267 0.834122 33.5291 0.130565 0 7.28652 0 990 990 396 40.0002 16.8349 0 0 -1 -1
0 0 2.51206 0.207047 0 40.267 0.833988 33.5291 0.130539 0 7.28556 0 990 990 399 40.0002 16.8349 0 0 -1 -1
0 0.800086 2.51161 0.207006 0 40.267 0.833854 32.5291 0 0 6.2846 0.154987 990 990 402 40.0002 16.8349 0 0 -1 -1
0 0.799975 2.51116 0.206965 0 40.267 0.83372 32.5291 0 0 6.28377 0.15497 990 990 405 40.0002 16.8349 0 0 -1 -1
0 0.799865 0.510718 0.206923 0 41.267 0.833586 35.5291 0 0 4.28294 0 990 990 408 40.0002 16.8349 0 0 -1 -1
0 0.799754 0.510627 0.206882 0 41.267 0.833452 35.5291 0 0 4.28237 0 990 990 410 40.0002 16.8349 0 0 -1 -1
0 0.799643 0.510536 0.206841 0 41.267 0.833317 35.5291 0 0 4.28181 0 990 990 413 40.0002 16.8349 0 0 -1 -1
0.988614 0 4.51045 1.2068 0 39.267 0.833183 34.5291 0 0 6.28124 0 990 990 541 40.0002 16.8349 0 0 -1 -1
0.988493 0 4.50964 1.20656 0 39.267 0.833049 34.5291 0 0 6.28041 0 990 990 419 40.0002 16.8349 0 0 -1 -1
1.98837 0 2.50884 0.206319 0 40.267 0.832915 33.5291 2.13173 0 6.27958 0 990 990 422 40.0002 16.8349 0 0 -1 -1
1.98813 0 2.50839 0.206278 0 40.267 0.832781 33.5291 2.1313 0 6.27875 0 990 990 300 40.0002 16.4032 0 0 -1 -1
1.98788 0 2.50795 0.206237 0 40.267 0.832647 33.5291 2.13088 0 6.27792 0 990 990 427 40.0002 16.8349 0 0 -1 -1
0.98764 0.799671 2.5075 1.2062 0.419688 41.267 0.832513 34.5291 1.13045 0 8.27709 0.155947 990 990 430 40.0002 16.8349 0 0 -1 -1
0.987518 0.799561 2.50705 1.20596 0.419612 41.267 0.832379 34.5291 1.13022 0 8.276 0.155929 990 990 557 40.0002 17.2665 0 0 -1 -1
0.987397 0.79945 2.50661 0.205715 0.419535 40.267 0.832245 34.5291 0.129998 0 5.27491 1.15591 990 990 435 40.0002 16.8349 0 0 -1 -1
0.987276 0.79934 2.50616 0.205674 0.419458 40.267 0.832112 34.5291 0.129972 0 5.27421 1.15578 990 990 438 40.0002 16.8349 0 0 -1 -1
0.987155 0.799229 2.50571 0.205633 0.419382 40.267 0.831978 34.5291 0.129946 0 5.27351 1.15565 990 990 440 40.0002 16.8349 0 0 -1 -1
1.98703 0.799119 2.50527 0.205592 0.419305 41.267 0 30.5291 0.12992 0 4.27281 0 990 990 443 40.0002 16.8349 0 0 -1 -1
