300P
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 0 0 0.0903811 0 0.85673 4.22275 0 0 0 0.284399 0 300 0 -28 12.1741 20.2881 0 0 -1 -1
0 0 0 0.0903752 0 0.856692 4.22253 0 0 0 0.284384 0 300 300 -152 11.7393 19.8565 0 0 -1 -1
1.22301 0.120037 4.23662 0 1.5556 0 3.2223 0.0590042 0 0.52768 1.28437 0 300 300 4 11.7393 19.8565 0 0 -1 -1
1.22295 0.120032 4.23644 0 1.55552 0 3.22214 0.0590011 0 0.527657 1.2843 0 300 300 129 11.7393 20.2881 0 0 -1 -1
1.22288 1.12003 1.23625 0.0906218 1.55544 9.85676 0 1.059 5.03965 0 5.28423 7.14675 300 300 -27 11.7393 20.2881 0 0 -1 -1
1.22282 1.11999 1.2362 0.0906158 1.55536 9.85632 0 1.05894 5.03944 0 5.28395 7.14643 300 300 129 11.7393 20.2881 0 0 -1 -1
1.22276 1.11994 1.23614 0.0906098 1.55527 9.85588 0 1.05889 5.03922 0 5.28368 7.14611 300 300 128 11.7393 20.2881 0 0 -1 -1
0.222693 2.1199 0.236088 0 2.55519 0 0.222403 0 0.0390069 0 0 2.14579 300 300 128 11.7393 20.2881 0 0 -1 -1
0.222681 2.11982 0.236077 0 2.55506 0 0.222392 0 0.0390053 0 0 2.14569 300 300 -28 11.7393 20.2881 0 0 -1 -1
0.22267 0 0.236067 2.09072 0 0 2.22238 0 1.039 0.527736 0 0 300 300 3 11.7393 19.8565 0 0 -1 -1
0.222658 0 0.236056 2.09059 0 0 2.22226 0 1.03896 0.527713 0 0 300 300 3 11.7393 20.2881 0 0 -1 -1
0.222647 0 0.236046 2.09045 0 0 2.22215 0 1.03891 0.527691 0 0 300 300 3 11.7393 19.4248 0 0 -1 -1
0 2.12007 0 0 0 0 0 1.06007 0 4.52767 1.28448 0 300 300 -153 11.7393 19.8565 0 0 -1 -1
0 2.11999 0 0 0 0 0 1.06001 0 4.52747 1.28442 0 300 300 -29 11.7393 19.8565 0 0 -1 -1
0 4.11991 0 2.09043 1.55514 5.85563 0 0.0599565 1.03895 2.52728 0 3.14588 300 300 -123 12.1741 19.4248 0 0 -1 -1
0 4.11975 0 2.09029 1.55506 5.85537 0 0.0599534 1.03891 2.52717 0 3.14574 300 300 3 12.1741 19.8565 0 0 -1 -1
0 4.1196 0 2.09015 1.55498 5.85511 0 0.0599503 1.03886 2.52706 0 3.1456 300 300 2 12.1741 19.8565 0 0 -1 -1
0 2.11944 0 6.09001 3.5549 1.85485 0 0 0 3.52695 0 3.14546 300 300 34 12.1741 19.4248 0 0 -1 -1
0 2.11936 0 6.08961 3.55471 1.85477 0 0 0 3.5268 0 3.14532 300 300 34 12.1741 19.4248 0 0 -1 -1
0 0 0 0 2.55452 2.85468 3.22247 2.06025 0.0389014 0 0 0 300 300 34 12.1741 19.4248 0 0 -1 -1
0 0 0 0 2.55438 2.85456 3.2223 2.06015 0.0388997 0 0 0 300 300 35 12.1741 19.4248 0 0 -1 -1
0 0 0 0 2.55425 2.85443 3.22214 2.06004 0.038898 0 0 0 300 300 5 12.1741 19.8565 0 0 -1 -1
2.22407 0 0 0 3.55411 0 0 0.0599315 0.0388964 4.52697 0.285072 1.14542 300 300 286 12.1741 20.2881 0 0 -1 -1
2.22395 0 0 0 3.55392 0 0 0.0599284 0.0388947 4.52678 0.285057 1.14537 300 300 287 12.1741 20.2881 0 0 -1 -1
0 0 0 0.0906347 2.55373 0 1.22215 0 0.038893 0.526581 0 0 300 300 -87 12.6089 18.9931 0 0 -1 -1
0 0 0 0.0906287 2.5536 0 1.22209 0 0.0388914 0.526559 0 0 300 300 288 12.1741 20.2881 0 0 -1 -1
0 0 0 0.0906227 2.55346 0 1.22203 0 0.0388897 0.526536 0 0 300 300 289 12.6089 20.2881 0 0 -1 -1
1.22442 4.11989 1.23724 1.09062 2.55333 1.85522 1.22196 0 0 0 1.28547 1.14544 300 300 8 12.6089 19.8565 0 0 -1 -1
1.22436 4.11973 1.23719 1.09054 2.55319 1.85514 1.2219 0 0 0 1.2854 1.14538 300 300 165 12.6089 19.8565 0 0 -1 -1
2.2243 2.11958 4.23714 1.09047 0 7.85506 0.221835 2.06027 0 0 0 0 300 300 322 12.6089 19.8565 0 0 -1 -1
2.22418 2.1195 4.23695 1.0904 0 7.85471 0.221823 2.06017 0 0 0 0 300 300 10 13.0437 19.8565 0 0 -1 -1
2.22407 2.11942 4.23676 1.09033 0 7.85436 0.221811 2.06006 0 0 0 0 300 300 167 13.0437 19.8565 0 0 -1 -1
0.223952 1.11934 0.236576 0 0 6.85402 2.2218 0 0.0396072 0 0 0 300 300 168 13.0437 19.8565 0 0 -1 -1
0.223941 1.1193 0.236565 0 0 6.85371 2.22168 0 0.0396055 0 0 0 300 300 -112 13.0437 19.4248 0 0 -1 -1
0 0 0.236555 0 0 1.85341 0.221568 3.06005 0 0 1.28568 1.14588 300 300 44 13.0437 19.4248 0 0 -1 -1
0 0 0.236544 0 0 1.85333 0.221556 3.05989 0 0 1.28562 1.14583 300 300 45 13.0437 19.4248 0 0 -1 -1
0 0 0.236534 0 0 1.85325 0.221545 3.05973 0 0 1.28555 1.14578 300 300 171 13.0437 19.8565 0 0 -1 -1
0 0.119353 0 0.0913505 1.55367 0 1.22153 0.0595722 0.0398555 0 1.28548 0 300 300 202 13.0437 19.4248 0 0 -1 -1
0 0.119349 0 0.0913444 1.55359 0 1.22147 0.0595691 0.0398538 0 1.28541 0 300 300 -78 13.0437 18.9931 0 0 -1 -1
0.224697 0.119344 0 0.0913384 0.553504 0 1.22141 0.059566 0 0 0 1.14589 300 300 203 13.0437 19.4248 0 0 -1 -1
0.224685 0.11934 0 0.0913323 0.553474 0 1.22134 0.0595629 0 0 0 1.14584 300 300 79 13.0437 18.9931 0 0 -1 -1
0.224674 0.119335 0 0.0913263 0.553445 0 1.22128 0.0595598 0 0 0 1.14579 300 300 361 13.4785 19.4248 0 0 -1 -1
3.22466 1.11933 1.23682 0.0913202 0.553416 0 0 0 1.04023 6.52789 0.285932 0 300 300 237 13.0437 18.9931 0 0 -1 -1
3.2245 1.11929 1.23677 0.0913142 0.553386 0 0 0 1.04019 6.52761 0.285917 0 300 300 -12 13.4785 18.1298 0 0 -1 -1
3.22433 0.119247 2.23671 1.09131 2.55336 1.85423 0 1.05976 0 3.52733 0.285902 8.14582 300 300 146 13.4785 18.1298 0 0 -1 -1
3.22416 0.119242 2.23662 1.09124 2.55322 1.85414 0 1.0597 0 3.52718 0.285887 8.14545 300 300 148 13.4785 18.1298 0 0 -1 -1
3.224 0.119238 2.23652 1.09116 2.55309 1.85406 0 1.05965 0 3.52703 0.285872 8.14509 300 300 211 13.4785 17.2665 0 0 -1 -1
0 0 0.236419 0 0.552949 0.85398 0.22194 2.05959 0.0403947 0 0 0 300 300 214 13.4785 17.2665 0 0 -1 -1
0 0 0.236409 0 0.55292 0.853943 0.221928 2.05949 0.040393 0 0 0 300 300 185 13.4785 17.6982 0 0 -1 -1
2.22391 4.11937 0 2.09134 0.552891 1.8539 0 4.05938 0.0403913 0.527089 2.28625 3.14507 300 300 218 13.4785 17.6982 0 0 -1 -1
2.2238 4.11922 0 2.09121 0.552861 1.85382 0 4.05917 0.0403895 0.527066 2.28613 3.14493 300 300 220 13.9133 17.2665 0 0 -1 -1
2.22368 4.11906 0 2.09107 0.552832 1.85374 0 4.05896 0.0403878 0.527043 2.28601 3.14479 300 300 160 13.9133 18.1298 0 0 -1 -1
0 0 0.236764 0 1.5528 0.853659 1.22204 1.05874 0 2.52702 2.28589 0 300 300 224 13.9133 17.6982 0 0 -1 -1
0 0 0.236753 0 1.55272 0.853621 1.22197 1.05869 0 2.52691 2.28577 0 300 300 196 13.9133 18.1298 0 0 -1 -1
0 0 0 0.0910495 0 0.853583 1.22191 0.0586343 0 0 2.28565 2.14481 300 300 197 13.9133 17.6982 0 0 -1 -1
0 0 0 0.0910434 0 0.853546 1.22185 0.0586313 0 0 2.28552 2.14472 300 300 168 14.348 18.1298 0 0 -1 -1
0 0 0 0.0910374 0 0.853508 1.22178 0.0586282 0 0 2.2854 2.14462 300 300 46 14.348 17.6982 0 0 -1 -1
0 0 0 1.09103 0.552868 3.85347 0 3.05863 3.04089 4.52699 2.28528 3.14453 300 300 173 14.348 18.1298 0 0 -1 -1
0 0 0 1.09096 0.552839 3.8533 0 3.05847 3.04076 4.5268 2.28516 3.14439 300 300 142 14.348 18.5615 0 0 -1 -1
0 0 0 3.09089 0 0 4.22222 0 0 0 5.28504 0 300 300 144 14.348 18.5615 0 0 -1 -1
0 0 0 3.09068 0 0 4.222 0 0 0 5.28476 0 300 300 302 14.348 18.5615 0 0 -1 -1
0.225216 0 4.23733 0 0.553176 0 0.221777 0 0 0 0 0 300 300 147 14.7828 18.5615 0 0 -1 -1
0.225205 0 4.23714 0 0.553147 0 0.221766 0 0 0 0 0 300 300 148 14.7828 18.5615 0 0 -1 -1
0.225193 0 4.23696 0 0.553117 0 0.221754 0 0 0 0 0 300 300 118 14.7828 18.9931 0 0 -1 -1
2.22518 3.12017 5.23677 0 2.55309 0 1.22174 0.0590204 0 0 0 0 300 300 275 14.7828 18.9931 0 0 -1 -1
2.22507 3.12005 5.23654 0 2.55295 0 1.22168 0.0590173 0 0 0 0 300 300 -4 14.7828 18.5615 0 0 -1 -1
3.22495 0.119937 0 1.09164 3.55282 4.85362 0 2.05901 3.04113 2.52778 4.28483 0.144692 300 300 277 14.7828 18.9931 0 0 -1 -1
3.22479 0.119932 0 1.09157 3.55263 4.8534 0 2.05891 3.041 2.52767 4.28461 0.144686 300 300 154 14.7828 18.5615 0 0 -1 -1
3.22462 0.119928 0 1.09149 3.55244 4.85319 0 2.0588 3.04087 2.52756 4.28438 0.144679 300 300 123 15.2176 18.9931 0 0 -1 -1
0.224453 2.11992 0 3.09142 4.55225 0 2.22174 0 1.04074 0 0 0 300 300 155 15.2176 18.5615 0 0 -1 -1
