450P -> 1000P
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.1
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0.17248 0.0734163 9.05553 3.01402 0.540608 15.6259 1.13295 6.71995 1.0238 0.551204 7.00969 0 450 450 319 30.0002 19.4248 0 0 -1 -1
0.172471 0 19.0551 3.01382 0 15.6259 1.13289 5.7196 0.0237548 0 1.00932 0 450 450 475 30.0002 19.4248 0 0 -1 -1
0.172462 0 19.0551 3.01362 0 15.6259 1.13283 5.7193 0.0237538 0 1.00927 0 450 450 288 30.0002 19.8565 0 0 -1 -1
2.17245 0 19.0551 3.01343 0 12.6259 0.13277 4.71901 0 0 11.0092 3.02942 450 450 725 30.0002 20.2881 0 0 -1 -1
2.17234 0 19.0551 3.01323 0 12.6259 0.132763 4.71876 0 0 11.0092 3.02929 450 450 600 30.0002 19.8565 0 0 -1 -1
2.17223 0 19.0551 3.01303 0 12.6259 0.132756 4.71851 0 0 11.0092 3.02915 450 450 475 30.0002 19.4248 0 0 -1 -1
2.17212 3.07378 17.0551 3.01283 0 17.6259 0 7.71827 1.02388 2.55158 7.00921 4.02902 450 450 476 30.0002 19.4248 0 0 -1 -1
2.172 3.07366 17.0551 3.01263 0 17.6259 0 7.71787 1.02383 2.55147 7.00884 4.02884 450 450 414 30.0002 20.2881 0 0 -1 -1
0.171892 1.07354 15.0551 5.01243 0 15.6259 3.13284 8.71746 0 1.55136 5.00847 0.0286592 450 450 758 30.0002 19.8565 0 0 -1 -1
0.171884 1.0735 15.0551 5.0121 0 15.6259 3.13268 8.71701 0 1.55129 5.00821 0.0286579 450 450 134 30.0002 19.8565 0 0 -1 -1
0.171875 1.07346 15.0551 5.01177 0 15.6259 3.13251 8.71656 0 1.55123 5.00794 0.0286566 450 450 447 30.0002 19.8565 0 0 -1 -1
0 0 16.0551 1.01143 0 21.6259 2.13235 9.7161 0 0 13.0077 0.0286553 450 450 291 30.0002 19.8565 0 0 -1 -1
0 0 16.0551 1.01137 0 21.6259 2.13224 9.7156 0 0 13.0077 0.028654 450 450 478 30.0002 19.4248 0 0 -1 -1
3.17205 0.0734931 16.0551 1.0113 0.541351 20.6259 0 9.71509 4.024 2.55145 8.00768 2.02865 450 450 323 30.0002 20.7198 0 0 -1 -1
3.17189 0.0734903 16.0551 1.01123 0.541322 20.6259 0 9.71459 4.02383 2.55134 8.00726 2.02856 450 450 479 30.0002 19.4248 0 0 -1 -1
3.17173 0.0734876 16.0551 1.01117 0.541293 20.6259 0 9.71408 4.02365 2.55124 8.00683 2.02847 450 450 604 30.0002 19.4248 0 0 -1 -1
1.17156 1.07348 14.0551 0.0111001 1.54126 16.6259 1.13226 9.71357 0 0 5.00641 0.0283812 450 450 354 30.0002 19.4248 0 0 -1 -1
1.1715 1.07344 14.0551 0.0110994 1.54118 16.6259 1.1322 9.71307 0 0 5.00615 0.0283799 450 450 479 30.0002 19.4248 0 0 -1 -1
0 0 15.0551 0 1.5411 20.6259 0.132143 12.7126 3.02365 0 7.00588 0.0283787 450 450 479 30.0002 19.4248 0 0 -1 -1
0 0 15.0551 0 1.54102 20.6259 0.132137 12.7126 3.02352 0 7.00551 0.0283774 450 450 323 30.0002 19.4248 0 0 -1 -1
0 0 15.0551 0 1.54094 20.6259 0.13213 12.7126 3.02339 0 7.00514 0.0283761 450 450 730 30.0002 20.2881 0 0 -1 -1
0.171726 1.07351 16.0551 1.01129 1.54085 13.6259 0.132123 12.7126 0.0232637 0 6.00477 0 450 450 574 30.0002 20.2881 0 0 -1 -1
0.171717 1.07347 16.0551 1.01123 1.54077 13.6259 0.132116 12.7126 0.0232627 0 6.00446 0 450 450 730 30.0002 20.2881 0 0 -1 -1
