450P -> 1000P -> 40C4
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.1
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 1.06399 14.0327 0 0 31.6259 2.14669 21.6867 0 0 11.9158 0.0152965 1000 0 640 40.0002 15.1083 0 0 -1 -1
0.154425 0 19.0327 0 0 36.6259 1.14658 26.6867 2.02053 0 9.91579 0 1000 0 550 40.0002 16.4032 0 0 -1 -1
0.154417 0 19.0327 0 0 36.6259 1.14652 26.6867 2.02045 0 9.91527 0 1000 1000 335 40.0002 15.1083 0 0 -1 -1
0.154409 0 19.0327 0 0 36.6259 1.14646 26.6867 2.02036 0 9.91475 0 1000 0 495 40.0002 15.1083 0 0 -1 -1
1.1544 1.06462 19.0327 0 1.55699 33.6259 1.1464 20.6867 0.0202729 0 9.91422 1.01596 1000 0 593 40.0002 15.9716 0 0 -1 -1
1.15434 1.06458 19.0327 0 1.55691 33.6259 1.14634 20.6867 0.020272 0 9.9137 1.01592 1000 1000 503 39.5654 15.1083 0 0 -1 -1
0 5.06454 21.0327 2.98134 0 35.6259 0 24.6867 1.02027 2.5446 11.9132 0 1000 0 664 40.0002 15.1083 0 0 -1 -1
0 5.06435 21.0327 2.98114 0 35.6259 0 24.6867 1.02023 2.54449 11.9132 0 1000 0 699 40.0002 16.8349 0 0 -1 -1
0 5.06416 21.0327 2.98095 0 35.6259 0 24.6867 1.02018 2.54438 11.9132 0 1000 1000 548 40.0002 14.6766 0 0 -1 -1
5.15472 1.06397 14.0327 0.98075 0 35.6259 0 21.6867 0 3.54427 13.9132 7.01614 1000 0 677 40.0002 15.1083 0 0 -1 -1
5.15446 1.06393 14.0327 0.980685 0 35.6259 0 21.6867 0 3.54412 13.9132 7.01582 1000 0 462 40.0002 15.9716 0 0 -1 -1
0.15419 2.06389 19.0327 4.98062 0 34.6259 3.14744 22.6867 0.020224 0 6.91318 3.01551 1000 1000 60 40.0002 15.1083 0 0 -1 -1
0.154182 2.06381 19.0327 4.98029 0 34.6259 3.14728 22.6867 0.0202232 0 6.91281 3.01538 1000 0 815 40.0002 15.5399 0 0 -1 -1
0.154174 2.06374 19.0327 4.97996 0 34.6259 3.14711 22.6867 0.0202223 0 6.91245 3.01524 1000 0 600 40.435 16.4032 0 0 -1 -1
0 0.0636593 18.0327 0.979632 1.55717 33.6259 0.14695 23.6867 0 0 9.91208 4.01511 1000 1000 385 40.0002 15.1083 0 0 -1 -1
0 0.0636569 18.0327 0.979567 1.55709 33.6259 0.146943 23.6867 0 0 9.91156 4.01493 1000 0 702 40.0002 15.1083 0 0 -1 -1
2.15436 0.0636545 15.0327 2.9795 0 27.6259 3.14693 22.6867 0.0203909 0 3.91103 0 1000 0 612 40.0002 16.4032 0 0 -1 -1
2.15425 0.0636521 15.0327 2.97931 0 27.6259 3.14677 22.6867 0.02039 0 3.91083 0 1000 1000 397 40.0002 15.1083 0 0 -1 -1
2.15413 0.0636497 15.0327 2.97911 0 27.6259 3.14661 22.6867 0.0203892 0 3.91062 0 1000 1000 714 40.0002 15.5399 0 0 -1 -1
2.15402 0 16.0327 0 2.55724 23.6259 3.14644 20.6867 0 0 12.9104 0 1000 0 811 40.0002 15.5399 0 0 -1 -1
2.15391 0 16.0327 0 2.5571 23.6259 3.14628 20.6867 0 0 12.9104 0 1000 0 222 40.0002 14.6766 0 0 -1 -1
1.1538 1.06372 16.0327 4.97891 0.556966 32.6259 3.14611 20.6867 0.0209001 0 9.91042 1.01546 1000 1000 569 40.0002 15.9716 0 0 -1 -1
1.15374 1.06368 16.0327 4.97858 0.556936 32.6259 3.14595 20.6867 0.0208992 0 9.90989 1.01542 1000 0 823 40.0002 16.4032 0 0 -1 -1
1.15368 1.06364 16.0327 4.97826 0.556906 32.6259 3.14578 20.6867 0.0208983 0 9.90937 1.01537 1000 0 640 40.0002 15.5399 0 0 -1 -1
7.15362 0.0635978 23.0327 0 0 34.6259 0 22.6867 3.0209 0.545254 13.9088 0 1000 1000 425 40.435 15.9716 0 0 -1 -1
7.15325 0.0635954 23.0327 0 0 34.6259 0 22.6867 3.02077 0.545231 13.9088 0 1000 0 835 40.0002 16.4032 0 0 -1 -1
0 2.06359 9.03265 1.97793 0 28.6259 5.14623 24.6867 3.02064 0 9.90885 0 1000 0 808 40.0002 15.1083 0 0 -1 -1
0 2.06352 9.03226 1.9778 0 28.6259 5.14596 24.6867 3.02051 0 9.90832 0 1000 0 437 40.435 15.9716 0 0 -1 -1
