... -> 450P -> 1000P -> 40C4 -> 1000P
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.1
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
4.09136 0.029931 11.6406 1.8928 0 8.45314 0 7.50528 2.02844 2.54434 5.44506 2.97621 0 0 368 30.435 20.2881 0 0 -1 -1
4.09115 0.0299299 11.6406 1.89267 0 8.45277 0 7.50488 2.02836 2.54423 5.44477 2.97608 0 0 368 30.435 20.2881 0 0 -1 -1
0 0 4.64058 0.892549 1.57911 12.4524 1.15867 0.504494 0.0282696 0 4.44448 0 0 0 243 30.435 19.8565 0 0 -1 -1
0 0 4.64038 0.89249 1.57902 12.4524 1.15861 0.504467 0.0282683 0 4.44425 0 0 0 243 30.435 19.8565 0 0 -1 -1
0 0 4.64018 0.892431 1.57894 12.4524 1.15855 0.504441 0.0282671 0 4.44401 0 0 0 367 30.435 20.2881 0 0 -1 -1
0 0 13.64 0 0 11.4524 0 0.504415 5.02827 2.54457 0 0 0 0 86 30.435 19.8565 0 0 -1 -1
0 0 13.64 0 0 11.4519 0 0.504389 5.02805 2.54446 0 0 0 0 211 30.435 20.2881 0 0 -1 -1
0 8.03034 5.63997 0.892651 1.57901 8.45138 0.158678 5.50436 1.02784 0.54435 0.444363 1.97675 0 0 211 30.435 20.2881 0 0 -1 -1
0 8.03003 5.63972 0.892592 1.57892 8.451 0.15867 5.50408 1.02779 0.544326 0.44434 1.97667 0 0 242 30.435 19.8565 0 0 -1 -1
0 8.02973 5.63947 0.892533 1.57884 8.45063 0.158662 5.50379 1.02775 0.544303 0.444316 1.97658 0 0 211 30.435 20.2881 0 0 -1 -1
0 0.0294312 5.63923 0 0 13.4503 2.15865 8.5035 0 0 3.44429 0 0 0 242 30.435 20.2881 0 0 -1 -1
0 0.0294301 5.63898 0 0 13.4503 2.15854 8.50306 0 0 3.44411 0 0 0 211 30.435 20.2881 0 0 -1 -1
