... -> 1000P -> 40C4 -> 1000P -> 40C4
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.1
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 2.01053 21.6137 1.84993 0.58232 30.4304 0 22.4795 3.02635 1.53632 12.3755 2.95818 1000 1000 476 40.0002 13.3816 0 0 -1 -1
0 2.01045 21.6137 1.84981 0.582289 30.4304 0 22.4795 3.02622 1.53625 12.3755 2.95805 1000 1000 482 40.0002 13.3816 0 0 -1 -1
0 3.01038 24.6137 1.84968 0.582258 27.4304 2.18091 15.4795 2.02609 0 14.3755 0 1000 1000 488 40.0002 13.3816 0 0 -1 -1
0 3.01026 24.6137 1.84956 0.582227 27.4304 2.1808 15.4795 2.02601 0 14.3755 0 1000 1000 432 40.0002 13.3816 0 0 -1 -1
0 4.01015 21.6137 5.84944 0.582196 35.4304 0 20.4795 3.02592 3.53657 16.3755 2.95801 1000 0 443 40.0002 13.8133 0 0 -1 -1
0 4.01 21.6137 5.84905 0.582165 35.4304 0 20.4795 3.02579 3.53641 16.3755 2.95788 1000 0 418 40.435 14.245 0 0 -1 -1
0 4.00985 21.6137 5.84867 0.582134 35.4304 0 20.4795 3.02566 3.53626 16.3755 2.95775 1000 1000 486 40.0002 13.3816 0 0 -1 -1
0 2.0097 20.6137 1.84828 0 26.4304 1.18081 16.4795 0 0 12.3755 2.95761 1000 0 32 40.0002 12.95 0 0 -1 -1
0 2.00962 20.6137 1.84816 0 26.4304 1.18075 16.4795 0 0 12.3755 2.95748 1000 0 537 40.435 14.6766 0 0 -1 -1
0 0.00954877 19.6137 0.848035 0 28.4304 5.18069 29.4795 0 0 17.3755 0 1000 1000 730 40.0002 14.245 0 0 -1 -1
0 0.00954841 19.6137 0.847979 0 28.4304 5.18042 29.4795 0 0 17.3755 0 1000 0 611 40.0002 13.8133 0 0 -1 -1
0 0.00954805 19.6137 0.847923 0 28.4304 5.18015 29.4795 0 0 17.3755 0 1000 0 460 40.0002 13.8133 0 0 -1 -1
