... -> 40C4 -> 1000P -> 40C4 -> 1000P
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.1
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0.035 3.97352 9.41183 0 0.583733 13.3679 0 6.36335 0 1.5235 4.04772 2.90829 0 0 239 30.0002 20.2881 0 0 -1 -1
0.0349982 3.97337 9.41142 0 0.583702 13.3679 0 6.36301 0 1.52343 4.04751 2.90816 0 0 -11 30.0002 19.4248 0 0 -1 -1
0 0 4.411 0 1.58367 9.36789 8.21164 3.36268 0 0 8.04729 0 0 0 239 30.0002 20.2881 0 0 -1 -1
0 0 4.41081 0 1.58359 9.36748 8.21121 3.36251 0 0 8.04687 0 0 0 -42 30.0002 19.8565 0 0 -1 -1
0 0 4.41061 0 1.5835 9.36707 8.21078 3.36233 0 0 8.04644 0 0 0 114 30.0002 19.8565 0 0 -1 -1
0 0 1.41042 0 1.58342 15.3667 4.21035 1.36216 0.0372042 0 7.04602 0 0 0 239 30.0002 20.2881 0 0 -1 -1
0 0 1.41036 0 1.58333 15.3667 4.21013 1.36209 0.0372026 0 7.04565 0 0 0 -11 30.0002 19.4248 0 0 -1 -1
0 0 17.4103 1.74063 0 13.3667 0.209912 0.362015 2.0372 5.5257 0 4.90974 0 0 239 30.0002 20.2881 0 0 -1 -1
0 0 17.4103 1.74051 0 13.3667 0.209901 0.361997 2.03711 5.52546 0 4.90952 0 0 270 30.0002 19.8565 0 0 -1 -1
0 0 17.4103 1.7404 0 13.3667 0.20989 0.361978 2.03703 5.52522 0 4.9093 0 0 83 30.0002 19.8565 0 0 -1 -1
0 2.97428 7.41029 1.74028 0 7.36665 2.20988 2.36196 0.0369395 3.52499 1.04574 5.90908 0 0 114 30.0002 20.2881 0 0 -1 -1
0 2.97417 7.40997 1.74017 0 7.36633 2.20976 2.36184 0.0369379 3.52484 1.04569 5.90882 0 0 83 30.0002 20.2881 0 0 -1 -1
3.03709 0.974053 11.4096 2.74005 0 11.366 0 5.36171 0.0369364 3.52469 6.04563 0 0 0 83 30.0002 19.8565 0 0 -1 -1
3.03694 0.974017 11.4091 2.73987 0 11.3655 0 5.36143 0.0369348 3.52453 6.04531 0 0 0 114 30.0002 20.2881 0 0 -1 -1
2.03678 0 9.40864 0 0 10.365 0.209731 6.36115 0 0.524383 0.044994 0.908654 0 0 83 30.0002 20.2881 0 0 -1 -1
2.03667 0 9.40822 0 0 10.3645 0.20972 6.36082 0 0.52436 0.0449916 0.908614 0 0 83 30.0002 19.8565 0 0 -1 -1
2.03657 0 9.40781 0 0 10.3641 0.209709 6.36049 0 0.524338 0.0449893 0.908573 0 0 176 30.0002 20.7198 0 0 -1 -1
0 0 12.4074 1.74014 0.585332 13.3636 1.2097 8.36016 0.0371852 0 3.04499 0 0 0 83 30.0002 20.2881 0 0 -1 -1
0 0 12.4074 1.74002 0.585301 13.3636 1.20963 8.35973 0.0371836 0 3.04483 0 0 0 114 30.0002 19.8565 0 0 -1 -1
2.03687 0 9.40739 5.73991 0.58527 15.3636 2.20957 5.35929 1.03718 0 0.0446654 4.90854 0 0 83 30.0002 20.2881 0 0 -1 -1
2.03677 0 9.40698 5.73953 0.585239 15.3636 2.20946 5.35901 1.03714 0 0.0446631 4.90832 0 0 114 30.0002 19.8565 0 0 -1 -1
2.03666 0 9.40657 5.73915 0.585208 15.3636 2.20934 5.35873 1.03709 0 0.0446607 4.9081 0 0 145 30.0002 19.4248 0 0 -1 -1
1.03656 0 9.40615 0 0.585177 12.3636 0.209225 4.35845 1.03705 0 2.04466 0 0 0 114 30.0002 19.8565 0 0 -1 -1
1.0365 0 9.40574 0 0.585146 12.3636 0.209214 4.35823 1.037 0 2.04455 0 0 0 -10 30.0002 19.4248 0 0 -1 -1
0.0364514 2.97452 11.4053 0 0.585115 12.3636 0 2.358 6.03696 5.52463 3.04444 0.907892 0 0 115 30.0002 19.8565 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 116 30.0002 19.8565 0 0 -1 -1
0.0364495 2.9744 11.4048 0 0.585083 12.3636 0 2.35788 6.0367 5.52439 3.04428 0.907851 0 0 116 30.0002 19.8565 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 -134 30.0002 18.9931 0 0 -1 -1
0 0.974292 13.4043 0 0 15.3636 0.209704 5.35775 0 0 5.04412 0 0 0 23 30.0002 18.9931 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 117 30.0002 19.8565 0 0 -1 -1
2.03655 1.97426 10.4043 1.73899 0 15.3636 0 1.35747 1.03661 2.52422 1.04385 6.90786 0 0 -8 30.0002 19.4248 0 0 -1 -1
2.03644 1.97418 10.4039 1.73887 0 15.3636 0 1.3574 1.03657 2.52411 1.0438 6.90755 0 0 148 30.0002 19.4248 0 0 -1 -1
0.0363388 3.97411 12.4034 0 1.58528 10.3636 0 6.35733 1.03652 3.524 4.04374 4.90724 0 0 23 30.0002 18.9931 0 0 -1 -1
0.0363369 3.97396 12.4034 0 1.58519 10.3632 0 6.357 1.03648 3.52385 4.04353 4.90702 0 0 148 30.0002 19.4248 0 0 -1 -1
5.03634 0 8.4034 0 0.585109 8.3627 0 3.35667 6.03644 3.5237 5.04332 0 0 0 23 30.0002 18.9931 0 0 -1 -1
5.03608 0 8.40303 0 0.585078 8.36233 0 3.3565 6.03618 3.52355 5.04305 0 0 0 273 30.0002 19.8565 0 0 -1 -1
5.03582 0 8.40266 0 0.585047 8.36196 0 3.35632 6.03592 3.5234 5.04279 0 0 0 -8 30.0002 19.4248 0 0 -1 -1
0 0 8.40229 0 0 6.36159 2.21066 5.35615 0 2.52325 5.04252 3.90709 0 0 399 30.0002 20.2881 0 0 -1 -1
0 0 8.40192 0 0 6.36131 2.21055 5.35587 0 2.52314 5.04225 3.90691 0 0 274 30.0002 19.8565 0 0 -1 -1
0.0357582 0 6.40155 0 1.58517 13.361 1.21043 0.355589 1.03591 0.52303 0 1.90674 0 0 -7 30.0002 19.4248 0 0 -1 -1
0.0357564 0 6.40127 0 1.58508 13.361 1.21037 0.35557 1.03587 0.523008 0 1.90665 0 0 118 30.0002 19.8565 0 0 -1 -1
0.0357545 0 6.40099 0 1.585 13.361 1.2103 0.355552 1.03583 0.522985 0 1.90657 0 0 87 30.0002 20.2881 0 0 -1 -1
3.03575 0 17.4007 5.73972 0 19.361 0 4.35553 4.03578 6.52296 0 0 0 0 149 30.0002 19.4248 0 0 -1 -1
3.0356 0 17.4007 5.73934 0 19.361 0 4.35531 4.03561 6.52268 0 0 0 0 118 30.0002 19.8565 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 118 30.0002 19.8565 0 0 -1 -1
1.03544 6.97416 9.40071 0.738965 0 17.361 0 3.35508 1.03544 2.5224 6.04266 0 0 0 119 30.0002 19.8565 0 0 -1 -1
1.03539 6.97389 9.40029 0.738916 0 17.361 0 3.3549 1.03539 2.52229 6.04234 0 0 0 150 30.0002 19.4248 0 0 -1 -1
4.03533 5.97363 13.3999 2.73887 0 11.361 0 3.35473 2.03535 0.522186 7.04202 0 0 0 150 30.0002 19.4248 0 0 -1 -1
4.03512 5.97341 13.3999 2.73869 0 11.3605 0 3.35456 2.03526 0.522164 7.04165 0 0 0 150 30.0002 19.4248 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 150 30.0002 19.4248 0 0 -1 -1
1.03492 0 12.3999 0 0.585152 14.36 0 7.35438 2.03517 1.52214 1.04128 4.90669 0 0 151 30.0002 19.4248 0 0 -1 -1
1.03486 0 12.3999 0 0.585121 14.36 0 7.354 2.03509 1.52208 1.04123 4.90647 0 0 89 30.0002 19.8565 0 0 -1 -1
6.03481 2.97334 10.3999 0 0 14.36 0 1.35361 1.035 6.52201 3.04117 4.90625 0 0 120 30.0002 20.2881 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 30.0002 20.2881 0 0 -1 -1
6.0345 2.97322 10.3994 0 0 14.36 0 1.35354 1.03495 6.52173 3.04101 4.90603 0 0 121 30.0002 19.8565 0 0 -1 -1
0 1.97311 12.399 0.739103 0 9.36003 0 0 0 1.52145 10.0408 1.90581 0 0 216 30.0002 20.7198 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 -34 30.0002 19.8565 0 0 -1 -1
0 1.97304 12.399 0.739054 0 9.35961 0 0 0 1.52139 10.0403 1.90572 0 0 91 30.435 20.2881 0 0 -1 -1
3.03449 5.97296 13.399 0.739005 0 13.3592 0 6.35406 0 3.52132 3.03979 0 0 0 247 30.435 20.2881 0 0 -1 -1
3.03434 5.97274 13.399 0.738957 0 13.3592 0 6.35373 0 3.52117 3.03963 0 0 0 372 30.435 20.7198 0 0 -1 -1
0.0341797 0 11.399 0 0 17.3592 0 8.3534 3.0355 4.52102 1.03947 2.90565 0 0 278 30.0002 19.8565 0 0 -1 -1
0.0341779 0 11.3985 0 0 17.3592 0 8.35297 3.03537 4.52082 1.03941 2.90552 0 0 -3 30.0002 19.4248 0 0 -1 -1
0.0341761 0 11.398 0 0 17.3592 0 8.35253 3.03524 4.52063 1.03936 2.90539 0 0 -128 30.435 18.9931 0 0 -1 -1
5.03417 0.972631 5.39746 0 0 5.3592 4.21246 5.3521 0 0 0.039304 0 0 0 -128 30.0002 18.9931 0 0 -1 -1
5.03391 0.972595 5.39722 0 0 5.35896 4.21224 5.35182 0 0 0.0393019 0 0 0 278 30.0002 19.8565 0 0 -1 -1
5.03365 1.97256 12.397 0 0 21.3587 0 10.3515 2.03554 3.52099 0 6.90571 0 0 403 30.0002 20.2881 0 0 -1 -1
5.0334 1.97248 12.397 0 0 21.3587 0 10.351 2.03545 3.52084 0 6.90541 0 0 122 30.0002 19.8565 0 0 -1 -1
5.03314 1.97241 12.397 0 0 21.3587 0 10.3505 2.03536 3.52069 0 6.9051 0 0 122 30.0002 19.8565 0 0 -1 -1
0 0.972336 11.397 0 0 17.3587 0 3.34992 3.03528 2.52054 4.03961 2.90479 0 0 278 30.0002 19.8565 0 0 -1 -1
0 0.972299 11.3965 0 0 17.3587 0 3.34975 3.03515 2.52043 4.0394 2.90466 0 0 -3 30.0002 19.4248 0 0 -1 -1
0 0 13.396 0.740006 0.585762 8.35872 1.21264 7.34957 0.0350175 0 3.03918 0 0 0 122 30.0002 19.8565 0 0 -1 -1
0 0 13.396 0.739957 0.585731 8.35835 1.21258 7.34919 0.035016 0 3.03902 0 0 0 153 30.0002 19.4248 0 0 -1 -1
0 0 13.396 0.739908 0.5857 8.35798 1.21251 7.34881 0.0350145 0 3.03886 0 0 0 91 30.0002 20.2881 0 0 -1 -1
0 0 6.39598 0 0 10.3576 4.21245 9.34842 0 0 0.0387026 0 0 0 122 30.0002 19.8565 0 0 -1 -1
0 0 6.3957 0 0 10.3572 4.21223 9.34794 0 0 0.0387005 0 0 0 91 30.0002 20.2881 0 0 -1 -1
0 0 4.39541 1.74055 3.58593 6.3567 0.212009 5.34745 2.03518 0 7.0387 1.90509 0 0 91 30.0002 20.2881 0 0 -1 -1
0 0 4.39522 1.74044 3.58573 6.35642 0.211998 5.34717 2.03509 0 7.03833 1.905 0 0 153 30.0002 19.4248 0 0 -1 -1
0 0 4.39503 1.74032 3.58554 6.35614 0.211987 5.34689 2.03501 0 7.03796 1.90492 0 0 91 30.0002 20.2881 0 0 -1 -1
0 0.973436 9.39483 0 0 14.3559 0.211976 3.34661 0.0349199 1.52216 6.03758 0 0 0 153 30.0002 19.4248 0 0 -1 -1
0 0.973399 9.39442 0 0 14.3559 0.211965 3.34644 0.0349185 1.5221 6.03727 0 0 0 91 30.0002 20.2881 0 0 -1 -1
5.03528 0 14.394 1.74051 0 17.3559 0 8.34627 0 2.52203 8.03695 13.9051 0 0 123 30.0002 19.8565 0 0 -1 -1
5.03502 0 14.394 1.74039 0 17.3559 0 8.34583 0 2.52192 8.03652 13.9051 0 0 123 30.0002 19.8565 0 0 -1 -1
5.03476 0 14.394 1.74028 0 17.3559 0 8.3454 0 2.52181 8.0361 13.9051 0 0 154 30.0002 19.4248 0 0 -1 -1
2.0345 0 5.39401 0 0 15.3559 1.21223 5.34496 2.0353 0 0 0 0 0 154 30.0002 19.4248 0 0 -1 -1
2.0344 0 5.39377 0 0 15.3559 1.21217 5.34468 2.03521 0 0 0 0 0 123 30.0002 19.8565 0 0 -1 -1
1.03429 2.97393 7.39353 0 0 12.3559 1.21211 13.3444 2.03512 0 0 0 0 0 92 30.0002 19.8565 0 0 -1 -1
1.03424 2.97382 7.39321 0 0 12.3559 1.21204 13.3444 2.03504 0 0 0 0 0 -157 30.0002 19.8565 0 0 -1 -1
1.03418 2.97371 7.39288 0 0 12.3559 1.21198 13.3444 2.03495 0 0 0 0 0 -157 30.0002 19.8565 0 0 -1 -1
0.0341305 0 7.39255 0 2.58605 11.3559 2.21192 6.34441 0 0 0 7.90571 0 0 280 30.0002 19.8565 0 0 -1 -1
0.0341287 0 7.39223 0 2.58591 11.3554 2.2118 6.34408 0 0 0 7.90536 0 0 124 30.0002 19.8565 0 0 -1 -1
0 0.973748 7.3919 0 0 13.3549 8.21169 11.3437 0 0 3.03651 0 0 0 280 30.0002 19.4248 0 0 -1 -1
0 0.973712 7.39158 0 0 13.3549 8.21126 11.3437 0 0 3.03634 0 0 0 -125 30.0002 18.9931 0 0 -1 -1
2.03536 3.97368 7.39125 0 0 10.3549 0 4.34374 6.03605 8.52382 5.03618 0 0 0 156 30.0002 19.4248 0 0 -1 -1
2.03526 3.97353 7.39093 0 0 10.3544 0 4.34352 6.0358 8.52346 5.03592 0 0 0 156 30.0002 19.4248 0 0 -1 -1
2.03515 3.97338 7.3906 0 0 10.3539 0 4.34329 6.03554 8.52309 5.03565 0 0 0 156 30.0002 19.4248 0 0 -1 -1
3.03505 5.97323 9.39028 2.74176 0.586366 14.3535 0 6.34307 3.03528 0 2.03539 3.90583 0 0 281 30.0002 19.8565 0 0 -1 -1
3.03489 5.973 9.38986 2.74158 0.586335 14.3535 0 6.34274 3.03515 0 2.03528 3.90565 0 0 156 30.0002 19.4248 0 0 -1 -1
0 0 13.3894 0 0 6.35348 2.2113 4.34241 0.0350197 0 3.03517 0 0 0 125 30.0002 19.8565 0 0 -1 -1
0 0 13.3894 0 0 6.3532 2.21118 4.34218 0.0350182 0 3.03501 0 0 0 156 30.0002 19.4248 0 0 -1 -1
0 0 13.3894 0 0 6.35291 2.21106 4.34195 0.0350167 0 3.03485 0 0 0 0 30.0002 19.4248 0 0 -1 -1
3.03535 0 15.3894 1.74244 0 12.3526 0 9.34173 2.03502 3.52296 2.03469 3.90563 1000 0 156 30.0002 19.4248 0 0 -1 -1
3.03519 0 15.3894 1.74232 0 12.3526 0 9.34124 2.03493 3.5228 2.03458 3.90545 1000 0 281 30.0002 19.8565 0 0 -1 -1
3.03503 0 15.3894 1.74221 0 12.3526 0 9.34075 2.03484 3.52265 2.03448 3.90528 1000 1000 -31 30.435 19.8565 0 0 -1 -1
0 0 8.38945 1.74209 0 16.3526 1.21123 5.34027 0 0 0 0 1000 1000 93 30.435 20.2881 0 0 -1 -1
0 0 8.38908 1.74198 0 16.3526 1.21117 5.33999 0 0 0 0 1000 1000 93 30.435 20.2881 0 0 -1 -1
0 2.97331 10.3887 2.74186 4.58733 12.3526 0 1.33971 0.0348366 3.52263 3.03447 0 1000 1000 218 30.8698 18.5615 0 0 -1 -1
0 2.9732 10.3883 2.74168 4.58709 12.3526 0 1.33964 0.0348351 3.52248 3.03431 0 1000 1000 251 31.3046 18.1298 0 0 -1 -1
0 2.97309 10.3878 2.7415 4.58684 12.3526 0 1.33957 0.0348336 3.52233 3.03415 0 1000 1000 315 31.7393 17.2665 0 0 -1 -1
0 0 16.3873 2.74132 0 9.35263 1.21154 6.3395 0.0348321 0 3.03399 0.90557 1000 1000 349 32.1741 16.8349 0 0 -1 -1
0 0 16.3873 2.74114 0 9.35222 1.21148 6.33917 0.0348306 0 3.03383 0.90553 1000 1000 447 33.0437 15.5399 0 0 -1 -1
0 0.973205 17.3873 0 0 11.3518 0.211413 6.33884 0.0348291 0 4.03367 0 1000 1000 482 33.4785 15.1083 0 0 -1 -1
0 0.973168 17.3873 0 0 11.3513 0.211402 6.33851 0.0348276 0 4.03346 0 1000 1000 549 34.348 14.245 0 0 -1 -1
0 0.973132 17.3873 0 0 11.3508 0.211391 6.33818 0.0348261 0 4.03324 0 1000 1000 617 34.7828 13.3816 0 0 -1 -1
0 0.973095 19.3873 0 0 11.3503 0.21138 7.33785 0 0 9.03303 0.905636 1000 1000 623 35.2176 13.3816 0 0 -1 -1
0 0.973059 19.3873 0 0 11.3498 0.211369 7.33747 0 0 9.03255 0.905595 1000 1000 598 35.6524 13.8133 0 0 -1 -1
0 4.97302 28.3873 1.74124 1.58702 15.3493 0 6.33709 2.03499 3.52283 6.03208 0 1000 1000 667 36.522 12.95 0 0 -1 -1
0 4.97284 28.3873 1.74112 1.58693 15.3493 0 6.33676 2.03491 3.52268 6.03176 0 1000 1000 549 36.9567 12.5183 0 0 -1 -1
0 4.97265 28.3873 1.74101 1.58685 15.3493 0 6.33643 2.03482 3.52253 6.03144 0 1000 1000 837 37.3915 12.95 0 0 -1 -1
1.03707 0.972461 28.3873 0 0 19.3493 0 12.3361 1.03473 0.52238 14.0311 0 1000 1000 719 37.8263 12.5183 0 0 -1 -1
1.03701 0.972425 28.3873 0 0 19.3493 0 12.3361 1.03469 0.522357 14.0311 0 1000 1000 882 38.2611 12.5183 0 0 -1 -1
2.03696 2.97239 28.3873 1.74106 0 17.3493 0 9.3361 0.034643 3.52233 13.0311 0 1000 1000 691 38.6959 12.5183 0 0 -1 -1
