... -> 40C4 -> 1000P -> 40C4 -> 40C4
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.1
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 0.831199 11.7975 0 3.61303 10.0782 0.373867 3.90207 0 0 0.105236 0 0 0 127 29.1307 19.4248 0 0 -1 -1
0 0.831167 13.7975 0 0 10.0777 1.37385 0 0 0 0 1.73091 0 0 408 29.1307 19.8565 0 0 -1 -1
0 0.831136 13.7975 0 0 10.0773 1.37378 0 0 0 0 1.73083 0 0 408 29.1307 19.4248 0 0 -1 -1
4.89735 0 11.7975 0 0 15.0768 3.3737 6.90188 3.01523 0.352904 0.105325 0 0 0 284 29.1307 19.8565 0 0 -1 -1
4.8971 0 11.7975 0 0 15.0768 3.37353 6.90152 3.0151 0.352889 0.10532 0 0 0 409 29.1307 19.8565 0 0 -1 -1
4.89685 0 11.7975 0 0 15.0768 3.37335 6.90116 3.01497 0.352874 0.105314 0 0 0 378 29.1307 19.4248 0 0 -1 -1
5.8966 0 11.7975 2.38081 0 12.0768 3.37318 3.9008 0.0148446 0 4.10531 0 0 0 284 29.1307 19.8565 0 0 -1 -1
5.89629 0 11.7975 2.38065 0 12.0768 3.373 3.9006 0.014844 0 4.10509 0 0 0 254 29.1307 19.8565 0 0 -1 -1
0 0 8.79751 0.380494 0.613192 5.07682 4.37282 5.90039 0 0 0 0 0 0 254 29.1307 19.8565 0 0 -1 -1
0 0 8.79712 0.380469 0.61316 5.07659 4.37259 5.90009 0 0 0 0 0 0 285 29.1307 19.4248 0 0 -1 -1
0 0 8.79673 0.380443 0.613127 5.07637 4.37237 5.89978 0 0 0 0 0 0 -26 29.1307 19.4248 0 0 -1 -1
0.896159 1.83202 14.7963 0.380418 0.613095 12.0761 0 9.89947 2.01523 1.3542 2.10502 2.73206 0 0 130 29.1307 19.4248 0 0 -1 -1
0.896113 1.83195 14.7963 0.380393 0.613062 12.0761 0 9.89896 2.01514 1.35414 2.10491 2.73193 0 0 130 29.1307 19.4248 0 0 -1 -1
0 1.83188 13.7963 0 0 13.0761 0 5.89844 2.01505 4.35408 3.10479 0 0 0 131 29.1307 19.4248 0 0 -1 -1
0 1.83181 13.7963 0 0 13.0761 0 5.89813 2.01497 4.3539 3.10463 0 0 0 287 29.1307 19.4248 0 0 -1 -1
0 1.83174 13.7963 0 0 13.0761 0 5.89783 2.01488 4.35371 3.10447 0 0 0 100 29.1307 19.8565 0 0 -1 -1
