... -> 1000P -> 40C4 -> 40C4 -> 1000P
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.1
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 3.83305 8.65894 0 0 14.0128 0.381138 5.72698 0 1.33234 1.04449 0 0 0 -242 28.6959 19.8565 0 0 -1 -1
0 0 9.65856 0 0 8.01279 2.38112 6.72669 0 0 1.04444 0 0 0 -117 28.6959 20.2881 0 0 -1 -1
0 0 9.65814 0 0 8.01243 2.38099 6.72633 0 0 1.04438 0 0 0 7 28.6959 20.2881 0 0 -1 -1
0 0 9.65771 0 0 8.01208 2.38087 6.72598 0 0 1.04433 0 0 0 132 28.6959 20.7198 0 0 -1 -1
1.90241 1.83327 11.6573 0 0.6149 14.0117 0 6.72563 2.00964 4.33237 1.04427 1.72597 0 0 6 28.6959 20.2881 0 0 -1 -1
1.90231 1.8332 11.6573 0 0.614867 14.0117 0 6.72528 2.00955 4.33218 1.04422 1.72589 0 0 131 28.6959 20.7198 0 0 -1 -1
0 0 7.65729 0 0 12.0117 1.38091 5.72493 2.00946 0.331995 1.04416 0 0 0 5 28.6959 20.2881 0 0 -1 -1
0 0 7.65695 0 0 12.0117 1.38084 5.72464 2.00938 0.331981 1.04411 0 0 0 5 28.6959 20.2881 0 0 -1 -1
0 0 7.65661 0 0 12.0117 1.38077 5.72434 2.00929 0.331967 1.04405 0 0 0 4 28.6959 20.2881 0 0 -1 -1
5.90284 2.83315 15.6563 1.38031 0 13.0117 0 1.72404 2.00921 4.33195 0.043997 0.726117 0 0 4 28.6959 20.2881 0 0 -1 -1
5.90254 2.83304 15.6563 1.38022 0 13.0117 0 1.72395 2.00912 4.33177 0.0439947 0.726084 0 0 129 28.6959 20.7198 0 0 -1 -1
0 1.83293 11.6563 2.38013 0 14.0117 0 8.72386 2.00903 4.33158 0 0.726052 0 0 128 28.6959 20.7198 0 0 -1 -1
0 1.83287 11.6563 2.37997 0 14.0117 0 8.72341 2.00895 4.33139 0 0.72602 0 0 3 28.6959 20.2881 0 0 -1 -1
0 1.8328 11.6563 2.37982 0 14.0117 0 8.72295 2.00886 4.33121 0 0.725987 0 0 -154 28.6959 20.2881 0 0 -1 -1
0.90225 5.83273 8.65628 1.37966 0 11.0117 1.38128 7.7225 0.00877522 4.33102 9.04462 0 0 0 2 28.6959 20.2881 0 0 -1 -1
