... -> 40C4 -> 40C4 -> 1000P -> 40C4
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.1
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 2.81336 25.635 0.34523 4.62104 34.9889 0 20.7015 5.01085 5.30363 13.0321 0.711949 1000 1000 631 40.0002 13.8133 0 0 -1 -1
0 2.81326 25.635 0.345208 4.62079 34.9889 0 20.7015 5.01064 5.3034 13.0321 0.711917 1000 0 824 40.0002 12.5183 0 0 -1 -1
0 1.81315 19.635 3.34518 0 30.9889 0 23.7015 4.01042 0 9.03207 2.71188 1000 1000 580 40.0002 12.5183 0 0 -1 -1
0 1.81308 19.635 3.34496 0 30.9889 0 23.7015 4.01025 0 9.03159 2.71176 1000 0 401 40.0002 13.8133 0 0 -1 -1
0 0.813014 22.635 2.34474 0.620908 36.9889 0 20.7015 0 3.30323 16.0311 0 1000 1000 500 39.5654 12.95 0 0 -1 -1
0 0.812984 22.635 2.34459 0.620875 36.9889 0 20.7015 0 3.30309 16.0311 0 1000 0 632 40.0002 13.3816 0 0 -1 -1
0 0.812953 22.635 2.34443 0.620841 36.9889 0 20.7015 0 3.30295 16.0311 0 1000 0 450 40.0002 13.8133 0 0 -1 -1
2.88928 1.81292 24.635 0.344277 0 33.9889 0 21.7015 1.01021 3.30281 14.0311 2.71195 1000 1000 675 39.5654 12.95 0 0 -1 -1
2.88914 1.81285 24.635 0.344254 0 33.9889 0 21.7015 1.01017 3.30267 14.0311 2.71183 1000 1000 525 39.5654 12.95 0 0 -1 -1
0.888987 0 20.635 0 0.620849 29.9889 0.418539 16.7015 0 1.30252 12.0311 0 1000 0 781 40.0002 13.8133 0 0 -1 -1
0.888941 0 20.635 0 0.620816 29.9889 0.418517 16.7015 0 1.30247 12.0311 0 1000 0 225 40.0002 12.95 0 0 -1 -1
0.888895 0 20.635 0 0.620783 29.9889 0.418495 16.7015 0 1.30241 12.0311 0 1000 0 825 40.0002 13.3816 0 0 -1 -1
0 0.81292 26.635 0.344362 0.62075 34.9889 0 19.7015 1.01038 6.30236 21.0311 0 1000 1000 706 39.5654 12.95 0 0 -1 -1
0 0.81289 26.635 0.344339 0.620717 34.9889 0 19.7015 1.01033 6.30209 21.0311 0 1000 0 368 40.0002 13.3816 0 0 -1 -1
2.88907 3.81286 21.635 0 0 29.9889 0.418743 24.7015 0.010291 0 9.03111 3.71208 1000 0 687 40.0002 13.3816 0 0 -1 -1
2.88892 3.81272 21.635 0 0 29.9889 0.418721 24.7015 0.0102905 0 9.03064 3.71192 1000 0 -62 40.0002 12.0867 0 0 -1 -1
2.88877 3.81257 21.635 0 0 29.9889 0.4187 24.7015 0.0102901 0 9.03016 3.71175 1000 1000 7 39.5654 11.2234 0 0 -1 -1
0 5.81243 22.635 1.34464 3.62074 29.9889 0 20.7015 1.01029 4.30255 6.02968 2.71159 1000 0 388 40.0002 12.5183 0 0 -1 -1
0 5.81221 22.635 1.34456 3.62055 29.9889 0 20.7015 1.01025 4.30236 6.02936 2.71147 1000 1000 301 39.5654 11.655 0 0 -1 -1
1.88873 0 26.635 1.34447 2.62036 32.9889 0 22.7015 2.0102 2.30218 14.029 0 1000 1000 276 39.5654 12.0867 0 0 -1 -1
1.88864 0 26.635 1.34438 2.62022 32.9889 0 22.7015 2.01012 2.30208 14.029 0 1000 0 344 40.0002 13.3816 0 0 -1 -1
1.88854 0 26.635 1.34429 2.62008 32.9889 0 22.7015 2.01003 2.30198 14.029 0 1000 0 194 40.0002 13.3816 0 0 -1 -1
3.88844 0 22.635 1.3442 3.61994 26.9889 0 21.7015 1.00995 0.301883 17.029 3.71152 1000 1000 544 39.5654 12.95 0 0 -1 -1
3.88824 0 22.635 1.34411 3.61975 26.9889 0 21.7015 1.0099 0.30187 17.029 3.71135 1000 0 800 40.0002 13.8133 0 0 -1 -1
0.888041 0 21.635 6.34402 0 31.9889 0.419674 16.7015 0.00985865 0 12.029 1.71119 1000 1000 587 39.5654 12.5183 0 0 -1 -1
0.887995 0 21.635 6.3436 0 31.9889 0.419652 16.7015 0.00985822 0 12.029 1.71111 1000 1000 593 39.5654 12.5183 0 0 -1 -1
0.887949 0 21.635 6.34318 0 31.9889 0.41963 16.7015 0.0098578 0 12.029 1.71103 1000 0 -26 40.0002 12.5183 0 0 -1 -1
0 0 18.635 1.34276 1.62025 31.9889 4.41961 17.7015 0 0 10.029 0.710957 1000 0 980 40.0002 13.8133 0 0 -1 -1
0 0 18.635 1.34267 1.62017 31.9889 4.41938 17.7015 0 0 10.0285 0.710926 1000 1000 611 40.0002 12.5183 0 0 -1 -1
4.88791 4.8127 25.635 1.34259 4.62008 32.9889 0 20.7015 0.0101989 4.30347 11.028 0 1000 0 117 40.0002 12.95 0 0 -1 -1
4.88766 4.81252 25.635 1.3425 4.61984 32.9889 0 20.7015 0.0101985 4.30328 11.028 0 1000 0 842 40.0002 13.8133 0 0 -1 -1
4.88741 4.81234 25.635 1.34241 4.61959 32.9889 0 20.7015 0.010198 4.3031 11.028 0 1000 1000 504 40.0002 12.0867 0 0 -1 -1
3.88716 1.81216 27.635 2.34232 0 31.9889 0 23.7015 0 2.30291 12.028 1.7112 1000 0 135 40.0002 12.95 0 0 -1 -1
3.88696 1.81209 27.635 2.34216 0 31.9889 0 23.7015 0 2.30281 12.028 1.71112 1000 0 1016 40.0002 13.8133 0 0 -1 -1
3.88676 0.812023 27.635 0 0 28.9889 0 18.7015 0.0104535 3.30271 14.028 1.71105 1000 1000 866 39.5654 13.8133 0 0 -1 -1
3.88656 0.811993 27.635 0 0 28.9889 0 18.7015 0.010453 3.30257 14.028 1.71097 1000 0 -124 39.5654 12.95 0 0 -1 -1
3.88636 0.811962 27.635 0 0 28.9889 0 18.7015 0.0104526 3.30243 14.028 1.71089 1000 0 38 39.5654 12.5183 0 0 -1 -1
0.886156 4.81193 23.635 2.34214 0.619766 34.9889 0.419754 16.7015 0 0 17.028 2.71082 1000 0 450 39.5654 12.95 0 0 -1 -1
0.88611 4.81175 23.635 2.34199 0.619733 34.9889 0.419733 16.7015 0 0 17.028 2.7107 1000 0 925 40.0002 13.8133 0 0 -1 -1
1.88606 0 22.635 2.34183 4.6197 34.9889 0 22.7015 3.01062 2.30261 16.028 0 1000 1000 243 40.0002 12.0867 0 0 -1 -1
1.88597 0 22.635 2.34168 4.61945 34.9889 0 22.7015 3.01049 2.30251 16.028 0 1000 1000 687 40.0002 13.3816 0 0 -1 -1
1.88587 0 22.635 2.34152 4.61921 34.9889 0 22.7015 3.01036 2.30241 16.028 0 1000 0 569 40.0002 13.8133 0 0 -1 -1
3.88577 2.81215 24.635 3.34137 0 31.9889 0 22.7015 0 2.30231 13.028 0.710749 1000 0 75 39.5654 12.95 0 0 -1 -1
3.88557 2.81205 24.635 3.34114 0 31.9889 0 22.7015 0 2.30221 13.028 0.710717 1000 1000 518 39.5654 12.95 0 0 -1 -1
2.88537 0.811944 24.635 3.34092 0 32.9889 0 18.7015 2.01049 3.30211 15.028 1.71069 1000 1000 557 40.0002 12.95 0 0 -1 -1
2.88522 0.811913 24.635 3.3407 0 32.9889 0 18.7015 2.01041 3.30197 15.028 1.71061 1000 1000 719 39.5654 12.95 0 0 -1 -1
2.88507 0.811883 24.635 3.34048 0 32.9889 0 18.7015 2.01032 3.30183 15.028 1.71053 1000 0 194 40.0002 11.655 0 0 -1 -1
