220P -> 440P
Kpf: 15 Kif: 1 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
1.87215 0 7.06169 0.59798 0.904503 0.219076 0.82393 0.179832 0.845469 0 6.39612 0 220 220 223 29.5654 19.8565 0 0 -1 -1
0 2.06603 6.0606 1.59786 0 2.21906 0 0.179815 0.8453 0 4.39561 0 220 220 348 30.0002 20.2881 0 0 -1 -1
0 2.06583 6.05968 1.59754 0 2.21886 0 0.179799 0.845131 0 4.39525 0 220 220 223 30.0002 19.8565 0 0 -1 -1
0 2.06563 6.05875 1.59722 0 2.21866 0 0.179782 0.844961 0 4.3949 0 220 220 223 29.5654 19.8565 0 0 -1 -1
0.871995 0 7.05782 0.596901 0.904754 0.218461 0 3.17977 0 0 4.39454 0 220 220 223 30.0002 19.8565 0 0 -1 -1
0.871902 0 7.05674 0.596782 0.904659 0.218442 0 3.17947 0 0 4.39418 0 220 220 223 30.0002 19.8565 0 0 -1 -1
0 0.0656135 5.05566 0 0.904563 0 0.823936 0.179181 0 1.74436 3.39383 1.89489 220 220 348 30.0002 20.2881 0 0 -1 -1
0 0.0656071 5.05489 0 0.904468 0 0.823845 0.179164 0 1.74416 3.39355 1.89469 220 220 98 30.0002 19.4248 0 0 -1 -1
0 0.0656008 5.05411 0 0.904373 0 0.823754 0.179148 0 1.74396 3.39328 1.89449 220 220 224 30.0002 19.8565 0 0 -1 -1
0 1.06559 5.05334 1.5969 0.904278 0.218632 0 2.17913 0 0.74376 3.39301 1.89429 220 220 349 30.0002 20.2881 0 0 -1 -1
0 1.06549 5.05257 1.59659 0.904182 0.218612 0 2.17893 0 0.743675 3.39273 1.89409 220 220 224 30.0002 19.8565 0 0 -1 -1
0 0 7.05179 0 0.904087 3.21859 0 0 0 0 2.39246 0.89389 220 220 349 30.0002 20.2881 0 0 -1 -1
0 0 7.05071 0 0.903992 3.21831 0 0 0 0 2.39226 0.893796 220 220 223 30.0002 19.8565 0 0 -1 -1
0 0 7.04963 0 0.903897 3.21802 0 0 0 0 2.39207 0.893702 220 220 223 29.5654 19.8565 0 0 -1 -1
1.87256 0.0656594 6.04855 0 0 0.21773 0 1.17896 0 1.74402 2.39188 0 220 220 223 30.0002 19.8565 0 0 -1 -1
1.87236 0.065653 6.04763 0 0 0.21771 0 1.17885 0 1.74382 2.39168 0 220 220 223 30.0002 19.8565 0 0 -1 -1
0 0.0656467 4.0467 0 0 1.21769 1.82402 0.17874 0 0.743621 4.39149 0 220 220 223 30.0002 19.8565 0 0 -1 -1
0 0.0656403 4.04608 0 0 1.21758 1.82382 0.178723 0 0.743535 4.39113 0 220 220 347 30.0002 20.2881 0 0 -1 -1
0 0.065634 4.04546 0 0 1.21747 1.82362 0.178707 0 0.74345 4.39078 0 220 220 347 30.0002 20.2881 0 0 -1 -1
0 1.06563 6.04484 0 0.904168 0 0 0 0.845856 0.743364 4.39042 0 220 220 35 30.0002 20.2881 0 0 -1 -1
0 1.06552 6.04392 0 0.904073 0 0 0 0.845687 0.743278 4.39007 0 220 220 317 30.0002 20.7198 0 0 -1 -1
0 1.06542 8.04299 0 0 0.217504 0 0.179026 0.845518 0 3.38971 1.89369 220 220 192 30.0002 20.2881 0 0 -1 -1
0 1.06532 8.04176 0 0 0.217485 0 0.179009 0.845349 0 3.38944 1.89349 220 220 317 30.0002 20.7198 0 0 -1 -1
0 1.06522 8.04053 0 0 0.217466 0 0.178993 0.84518 0 3.38916 1.89329 220 220 223 30.0002 19.8565 0 0 -1 -1
0.872586 0 5.0393 0 0 0.217446 0 0.178976 2.84501 0 4.38889 2.89309 220 220 316 30.0002 20.7198 0 0 -1 -1
0.872493 0 5.03853 0 0 0.217427 0 0.17896 2.84444 0 4.38853 2.89279 220 220 66 30.0002 19.8565 0 0 -1 -1
0 0 5.03776 0 0 0.217407 0 0 0 0 3.38818 0 220 220 347 30.0002 20.2881 0 0 -1 -1
0 0 5.03699 0 0 0.217388 0 0 0 0 3.38791 0 220 220 190 30.0002 20.2881 0 0 -1 -1
0 0 5.03622 0 0 0.217368 0 0 0 0 3.38763 0 220 220 221 30.0002 19.8565 0 0 -1 -1
0 0 5.03544 0 0 2.21735 0 0 0.843966 0 3.38736 1.89283 220 220 190 30.0002 20.2881 0 0 -1 -1
0 0 5.03467 0 0 2.21715 0 0 0.843798 0 3.38708 1.89263 220 220 189 30.0002 20.7198 0 0 -1 -1
0 0.0664202 6.0339 0 0 2.21695 0 2.17932 0.843629 0 2.38681 0.892433 220 220 345 30.0002 20.7198 0 0 -1 -1
0 0.0664138 6.03298 0 0 2.21675 0 2.17912 0.84346 0 2.38662 0.892339 220 220 33 30.0002 20.7198 0 0 -1 -1
0 0.0664074 6.03206 0 0 2.21656 0 2.17892 0.843291 0 2.38642 0.892245 220 220 219 30.0002 20.7198 0 0 -1 -1
0.872828 0.066401 7.03113 0 0 1.21636 0 1.17872 1.84312 0.743923 4.38623 0 220 220 469 30.0002 21.5831 0 0 -1 -1
0.872735 0.0663946 7.03006 0 0 1.21625 0 1.17861 1.84275 0.743837 4.38587 0 220 220 -93 30.0002 20.7198 0 0 -1 -1
0.872642 1.06639 6.02898 0.600076 0 2.21614 0 0.178502 0 0 4.38552 0.892384 220 220 468 30.0002 20.7198 0 0 -1 -1
0.872549 1.06629 6.02806 0.599956 0 2.21594 0 0.178486 0 0 4.38516 0.89229 220 220 343 30.0002 20.2881 0 0 -1 -1
0.872457 1.06618 6.02713 0.599836 0 2.21574 0 0.17847 0 0 4.38481 0.892197 220 220 437 30.0002 21.1514 0 0 -1 -1
0 0.0660795 6.02621 0 0 0.215547 0.8248 0 0 0 4.38446 1.8921 220 220 281 30.0002 21.1514 0 0 -1 -1
0 0.0660731 6.02529 0 0 0.215528 0.824709 0 0 0 4.3841 1.8919 220 220 468 30.0002 20.7198 0 0 -1 -1
0 0.0660668 6.02437 0 0 0.215508 0.824618 0 0 0 4.38375 1.89171 220 220 31 30.0002 20.2881 0 0 -1 -1
0 0.0660604 4.02344 0.599956 0 2.21549 0 0.17868 0 0.744621 3.38339 1.89151 220 220 -94 30.0002 19.8565 0 0 -1 -1
0 0.066054 4.02283 0.599836 0 2.21529 0 0.178664 0 0.744535 3.38312 1.89131 220 220 -251 30.0002 19.8565 0 0 -1 -1
0 0 6.02221 0 0 0.215093 0.824565 0.178647 0.844836 0 3.38284 0 220 220 -95 30.0002 19.8565 0 0 -1 -1
0 0 6.02129 0 0 0.215074 0.824474 0.178631 0.844667 0 3.38257 0 220 220 186 30.0002 20.2881 0 0 -1 -1
0 0 6.02037 0 0 0.215055 0.824383 0.178614 0.844498 0 3.3823 0 220 220 216 30.0002 19.8565 0 0 -1 -1
0.873004 2.06632 6.01945 0.600556 0.905187 1.21504 0 2.1786 0 0 2.38202 1.89114 220 220 216 30.0002 19.8565 0 0 -1 -1
0.872911 2.06612 6.01853 0.600436 0.905092 1.21493 0 2.1784 0 0 2.38183 1.89094 220 220 216 30.0002 19.8565 0 0 -1 -1
0.872818 0.0659192 5.0176 0.600316 0 1.21482 0 0 0.844392 0 2.38164 0 220 220 154 30.0002 20.7198 0 0 -1 -1
