... -> 440P -> 660P -> 880P -> 1100P
Kpf: 15 Kif: 1 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 0 18.098 2.73381 0 31.5345 0 32.2642 0 0 19.0903 2.38752 880 880 80 45.2176 19.8565 0 0 -1 -1
1.91698 0 18.098 0.733504 0 28.5345 0.0619742 32.2642 0 0 19.0903 2.38719 880 880 -45 45.2176 19.4248 0 0 -1 -1
1.91677 0 18.098 0.733422 0 28.5345 0.0619679 28.2642 0 0 18.0903 0 880 880 80 45.2176 19.8565 0 0 -1 -1
1.91657 0 18.098 0.733339 0 28.5345 0.0619616 28.2642 0 0 18.0903 0 880 880 80 45.2176 19.8565 0 0 -1 -1
0 1.7414 14.098 0 0 29.5345 0 26.2642 0 0 15.0903 1.38786 880 880 -45 45.2176 19.4248 0 0 -1 -1
0 1.74121 14.098 0 0 29.5345 0 26.2642 0 0 15.0903 1.38767 880 880 -45 45.2176 19.4248 0 0 -1 -1
1.91638 0 15.098 0.733317 0 29.5345 1.06235 25.2642 0 0 18.0903 0 880 880 111 45.2176 19.4248 0 0 -1 -1
1.91618 0 15.098 0.733234 0 29.5345 1.06224 25.2642 0 0 18.0903 0 880 880 206 45.2176 20.2881 0 0 -1 -1
1.91598 0 15.098 0.733152 0 29.5345 1.06213 25.2642 0 0 18.0903 0 880 880 237 45.2176 19.8565 0 0 -1 -1
0 0.741432 15.098 1.73307 1.72273 33.5345 0 27.2642 0 0 16.0903 1.38814 880 880 81 45.2176 19.8565 0 0 -1 -1
0 0.741351 15.098 1.73287 1.72252 33.5345 0 27.2642 0 0 16.0903 1.38795 880 880 -13 45.2176 18.9931 0 0 -1 -1
0 3.74127 16.098 1.73268 0.72232 31.5345 0 30.2642 0 0 18.0903 0.387762 880 880 -43 44.7828 19.4248 0 0 -1 -1
0 3.74086 16.098 1.73248 0.722234 31.5345 0 30.2642 0 0 18.0903 0.387709 880 880 82 45.2176 19.8565 0 0 -1 -1
0 3.74045 16.098 1.73229 0.722148 31.5345 0 30.2642 0 0 18.0903 0.387655 880 880 -418 44.7828 18.1298 0 0 -1 -1
0 0 17.098 0 0 33.5345 0 29.2642 0.949275 0 17.0903 1.3876 880 880 -261 44.7828 18.1298 0 0 -1 -1
0 0 17.098 0 0 33.5345 0 29.2642 0.949085 0 17.0903 1.38741 880 880 -136 45.2176 18.5615 0 0 -1 -1
0 0 16.098 1.73215 0 30.5345 0 29.2642 0 0 17.0903 1.38722 880 880 -260 44.7828 18.1298 0 0 -1 -1
0 0 16.098 1.73196 0 30.5345 0 29.2642 0 0 17.0903 1.38703 880 880 -415 45.2176 18.1298 0 0 -1 -1
0 0 16.098 1.73176 0 30.5345 0 29.2642 0 0 17.0903 1.38684 880 880 -165 44.7828 18.9931 0 0 -1 -1
0.917988 1.74051 14.098 0.73157 0.722227 28.5345 0 31.2642 0 0 17.0903 0.386645 880 880 116 44.7828 19.8565 0 0 -1 -1
0.91789 1.74032 14.098 0.731487 0.722141 28.5345 0 31.2642 0 0 17.0903 0.386592 880 880 241 45.2176 20.7198 0 0 -1 -1
0 0 15.098 1.7314 0 28.5345 1.06439 30.2642 0 0 18.0903 0 880 880 -40 44.7828 19.4248 0 0 -1 -1
0 0 15.098 1.73121 0 28.5345 1.06428 30.2642 0 0 18.0903 0 880 880 -39 45.2176 19.4248 0 0 -1 -1
0 0 15.098 1.73102 0 28.5345 1.06417 30.2642 0 0 18.0903 0 880 880 -39 45.2176 19.4248 0 0 -1 -1
1.91814 1.74021 16.098 1.73082 1.72215 29.5345 0 28.2642 0 0 17.0903 0.38762 880 880 86 45.2176 19.4248 0 0 -1 -1
1.91793 1.74002 16.098 1.73063 1.72195 29.5345 0 28.2642 0 0 17.0903 0.387566 880 880 -39 45.2176 19.4248 0 0 -1 -1
0 0.739826 15.098 0 0 31.5345 0 25.2642 0 0 15.0903 1.38751 880 880 117 45.2176 19.4248 0 0 -1 -1
0 0.739745 15.098 0 0 31.5345 0 25.2642 0 0 15.0903 1.38732 880 880 118 45.2176 19.4248 0 0 -1 -1
