... -> 250P -> 35C0 -> 70C0 -> 105C0
Kpf: 15 Kif: 0.7 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0.731625 0.143336 2.5974 0 0.0622229 33.1336 0 27.5018 0.0100628 0 3.92642 0 676.982 676 375 33.4785 17.6982 1.89354 926.541 15 0.7
0.73153 0.143321 2.59701 0 0.0622104 33.1336 0 27.5018 0.0100608 0 3.92586 0 678.324 677 251 33.4785 17.2665 1.89461 928.436 15 0.7
0 0.143307 2.59662 1.27922 0.062198 34.1336 1.03238 25.5018 0 0 3.9253 1.17069 652.337 678 502 33.4785 18.1298 0.154876 928.591 15 0.7
0 0.143292 2.59624 1.27902 0.0621855 34.1336 1.03226 25.5018 0 0 3.92474 1.17057 652.467 652 191 33.4785 18.1298 0.156293 928.747 15 0.7
0 0.143278 1.59585 0 0.0621731 33.1336 1.03214 26.5018 0.0104547 0 3.92418 0.170451 703.912 652 317 33.4785 18.5615 3.42606 932.173 15 0.7
0 0.143263 1.59562 0 0.0621607 33.1336 1.03203 26.5018 0.0104526 0 3.92362 0.170434 706.325 704 287 33.4785 18.9931 3.42703 935.6 15 0.7
0 0.143249 1.59538 0 0.0621482 33.1336 1.03191 26.5018 0.0104505 0 3.92306 0.170417 708.739 706 319 33.4785 18.5615 3.42799 939.028 15 0.7
0.73161 0.143234 2.59514 0.279161 1.06214 34.1336 1.03179 26.5018 0.0104484 0 3.9225 1.1704 632.485 709 320 33.4785 18.5615 -1.58182 937.446 15 0.7
0.731514 0.14322 2.59476 0.279116 1.06192 34.1336 1.03167 26.5018 0.0104463 0 3.92194 1.17028 631.402 632 696 33.4785 18.5615 -1.58027 935.866 15 0.7
0 0.143205 2.59437 0.27907 0.061711 33.1336 0.0315568 24.5018 0.0104443 0 2.92138 0.17016 751.703 631 323 33.4785 18.5615 6.1527 942.019 15 0.7
0 0.143191 2.59399 0.279025 0.0616986 33.1336 0.0315532 24.5018 0.0104422 0 2.92097 0.170143 756.024 752 481 33.4785 18.5615 6.15359 948.172 15 0.7
1.73149 0.143176 2.5936 0.27898 1.06169 34.1336 0.0315497 24.5018 0.0104401 0 2.92055 0.170125 701.762 756 450 33.4785 18.9931 2.423 950.595 15 0.7
1.73126 0.143162 2.59322 0.278935 1.06147 34.1336 0.0315461 26.5018 0.010438 0 3.92013 0.170108 656.378 702 326 33.4785 18.5615 -0.575676 950.019 15 0.7
