250P -> 50C0
Kpf: 8 Kif: 0.3 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
1.72118 0 3.02084 1.2303 0.00743694 3.81737 1.64542 0 1.00418 1.28618 0.759761 0.985679 250 250 175 21.7393 20.2881 0 0 -1 -1
0 0.720467 4.02065 1.23019 1.00744 4.81718 0 4.37724 0.00408403 0.286068 1.75972 0 250 250 18 21.7393 20.2881 0 0 -1 -1
0 0.720414 4.02039 1.23008 1.00734 4.81693 0 4.37688 0.00408362 0.286043 1.75963 0 250 250 174 21.7393 20.2881 0 0 -1 -1
0 0.720361 4.02013 1.22997 1.00724 4.81668 0 4.37652 0.00408321 0.286018 1.75953 0 250 250 173 21.7393 20.2881 0 0 -1 -1
0 2.72031 2.01988 1.22986 0.0071346 2.81643 0.645608 1.37616 0 0.285994 1.75944 0 250 250 17 21.7393 20.2881 0 0 -1 -1
0 2.72011 2.01975 1.22975 0.00713388 2.81629 0.645559 1.37604 0 0.285969 1.75935 0 250 250 172 21.7393 20.2881 0 0 -1 -1
0 0 3.01962 1.22964 0.00713317 4.81614 0 0.375928 0.00428158 0.285944 1.75926 0.985935 250 250 -78 21.7393 19.4248 0 0 -1 -1
0 0 3.01943 1.22953 0.00713246 4.81589 0 0.375897 0.00428115 0.285919 1.75916 0.985885 250 250 -78 21.7393 19.4248 0 0 -1 -1
0 0 3.01923 1.22942 0.00713175 4.81564 0 0.375866 0.00428073 0.285895 1.75907 0.985836 250 250 -235 21.7393 19.4248 0 0 -1 -1
0 0.719973 3.01904 0 0.00713104 3.81539 0 3.37584 1.00428 0 3.75898 0 250 250 46 21.7393 19.4248 0 0 -1 -1
0 0.719921 3.01885 0 0.00713032 3.8152 0 3.37556 1.00418 0 3.75878 0 250 250 140 21.7393 20.2881 0 0 -1 -1
1.7217 0 4.01865 0 0.00712961 5.815 0 1.37528 0.00407985 0.285993 0.758579 0.985788 250 250 295 21.7393 20.2881 0 0 -1 -1
1.72158 0 4.0184 0 0.0071289 5.8147 0 1.37516 0.00407945 0.285969 0.758539 0.985738 250 250 295 21.7393 20.7198 0 0 -1 -1
1.72145 0 4.01814 0 0.00712819 5.8144 0 1.37505 0.00407904 0.285944 0.758499 0.985688 250 250 544 21.7393 19.8565 0 0 -1 -1
1.72132 0 4.01788 0.229653 3.00713 1.8141 0 1.37494 1.00408 1.28592 0.758458 0 250 250 294 21.7393 20.7198 0 0 -1 -1
1.7212 0 4.01763 0.229632 3.00683 1.81401 0 1.37482 1.00398 1.28581 0.758418 0 250 250 168 21.7393 20.2881 0 0 -1 -1
0.72107 0.720116 4.01737 0.229612 1.00653 3.81391 0 0.374708 0.00387823 0 2.75838 0 250 250 12 21.7393 20.2881 0 0 -1 -1
0.721017 0.720064 4.01711 0.229591 1.00643 3.81371 0 0.374677 0.00387784 0 2.75823 0 250 250 11 21.7393 20.2881 0 0 -1 -1
0.720964 0.720011 4.01685 0.229571 1.00633 3.81352 0 0.374646 0.00387745 0 2.75809 0 250 250 10 21.7393 20.2881 0 0 -1 -1
0 0 1.0166 0 0 0 0 0 0 0 3.75794 0 250 250 166 21.7393 20.2881 0 0 -1 -1
0 0 1.01653 0 0 0 0 0 0 0 3.75774 0 250 250 10 21.7393 20.2881 0 0 -1 -1
0.72154 0 5.01647 0 0.0064243 2.81344 0.646906 2.37521 0.00427548 0.286179 0.757543 0 250 250 165 21.7393 20.2881 0 0 -1 -1
0.721487 0 5.01615 0 0.00642366 2.8133 0.646857 2.37502 0.00427505 0.286154 0.757503 0 250 250 165 21.7393 20.2881 0 0 -1 -1
0.721434 0 5.01583 0 0.00642302 2.81315 0.646808 2.37482 0.00427462 0.286129 0.757463 0 250 250 165 21.7393 20.2881 0 0 -1 -1
0 0 3.01551 0 0 0.813007 0 3.37463 0 0.286104 0 0 250 250 289 21.7393 20.7198 0 0 -1 -1
0 0 3.01531 0 0 0.812965 0 3.37435 0 0.28608 0 0 250 250 164 21.7393 20.2881 0 0 -1 -1
0 0 2.01512 0.230033 0 0 0 0 2.00467 5.28605 1.75745 0 250 250 7 21.7393 20.2881 0 0 -1 -1
0 0 2.01499 0.230013 0 0 0 0 2.00447 5.2856 1.75736 0 250 250 163 21.7393 20.2881 0 0 -1 -1
0 0 2.01486 0.229992 0 0 0 0 2.00427 5.28514 1.75726 0 250 250 287 21.7393 20.7198 0 0 -1 -1
1.7217 0.721184 4.01473 0 0 2.81311 0 0.374719 0 0.284682 1.75717 0 250 250 162 21.7393 20.2881 0 0 -1 -1
1.72158 0.721132 4.01448 0 0 2.81296 0 0.374688 0 0.284658 1.75708 0 250 250 161 21.7393 20.2881 0 0 -1 -1
0 1.72108 5.01422 0 0.00711629 3.81282 0.648701 3.37466 0 0 1.75698 0 250 250 161 21.7393 20.2881 0 0 -1 -1
0 1.72095 5.0139 0 0.00711558 3.81262 0.648652 3.37438 0 0 1.75689 0 250 250 285 21.7393 20.7198 0 0 -1 -1
0 1.72083 5.01358 0 0.00711487 3.81242 0.648602 3.3741 0 0 1.7568 0 250 250 4 21.7393 20.2881 0 0 -1 -1
1.72151 1.7207 5.01326 1.23032 1.00711 3.81223 0 1.37382 1.00497 0 0.756705 0 250 250 159 21.7393 20.2881 0 0 -1 -1
1.72139 1.72058 5.01294 1.23021 1.00701 3.81203 0 1.37371 1.00487 0 0.756665 0 250 250 3 21.7393 20.2881 0 0 -1 -1
0.721259 0.720451 3.01262 0 0 3.81183 0 1.37359 0.00476774 0.284943 0.756625 0.98641 250 250 158 21.7393 19.4248 0 0 -1 -1
0.721206 0.720399 3.01242 0 0 3.81164 0 1.37348 0.00476726 0.284918 0.756585 0.98636 250 250 33 21.7393 19.8565 0 0 -1 -1
0.721153 0.720346 3.01223 0 0 3.81144 0 1.37337 0.00476679 0.284893 0.756545 0.98631 250 250 -92 21.7393 19.4248 0 0 -1 -1
2.7211 0.720293 5.01204 1.2303 0.00721045 4.81124 0 2.37325 0.00476631 1.28487 1.7565 0.986261 250 250 -92 21.7393 19.4248 0 0 -1 -1
2.7209 0.720241 5.01172 1.23019 0.00720973 4.81099 0 2.37306 0.00476583 1.28476 1.75641 0.986211 250 250 -248 21.7393 19.4248 0 0 -1 -1
0 0.720188 5.0114 0.230083 0 4.81074 0 0 0.00476536 1.28465 1.75632 0 250 250 -93 21.7393 20.2881 0 0 -1 -1
0 0.720136 5.01108 0.230062 0 4.8105 0 0 0.00476488 1.28454 1.75623 0 250 250 -124 21.7393 20.7198 0 0 -1 -1
0 0.720083 5.01076 0.230041 0 4.81025 0 0 0.00476441 1.28442 1.75613 0 250 250 0 21.7393 20.2881 0 0 -1 -1
0.720982 0.720031 5.01044 0.230021 0.00750623 3.81 0 1.37301 0.00476393 0.284313 2.75604 0 250 250 0 21.7393 20.2881 0 0 -1 -1
0.720929 0.719978 5.01012 0.23 0.00750548 3.8098 0 1.3729 0.00476346 0.284288 2.75589 0 250 250 155 21.7393 20.2881 0 0 -1 -1
0 0.719926 4.0098 0 0.00750473 4.80961 0 2.37279 0.00476298 0.284264 2.75575 1.98616 250 250 280 21.7393 20.7198 0 0 -1 -1
0 0.719873 4.00954 0 0.00750398 4.80936 0 2.37259 0.00476251 0.284239 2.7556 1.98606 250 250 404 22.1741 21.1514 0 0 -1 -1
0.721064 0 5.00928 1.23012 0.00750323 1.80911 1.64939 1.3724 0 1.28421 0.755457 0.985965 250 250 -158 21.7393 20.2881 0 0 -1 -1
0.721011 0 5.00896 1.23001 0.00750248 1.80902 1.64926 1.37228 0 1.2841 0.755417 0.985915 250 250 153 21.7393 20.2881 0 0 -1 -1
0.720958 0 5.00864 1.2299 0.00750174 1.80892 1.64913 1.37217 0 1.28399 0.755377 0.985865 250 250 91 22.1741 21.1514 0 0 -1 -1
2.7209 0.719882 5.00832 0.229787 0.00750099 3.80883 0 4.37205 0 0.283881 1.75534 1.98582 250 250 402 22.1741 21.1514 0 0 -1 -1
2.7207 0.719829 5.008 0.229766 0.00750024 3.80863 0 4.37169 0 0.283856 1.75524 1.98572 250 250 277 22.1741 20.7198 0 0 -1 -1
0.720505 0.719777 4.00768 0.229746 0.00749949 6.80844 0 1.37133 0.00525856 1.28383 0.755151 0.985616 250 250 557 22.1741 21.1514 0 0 -1 -1
0.720452 0.719724 4.00742 0.229725 0.00749874 6.80808 0 1.37122 0.00525804 1.28372 0.755111 0.985566 250 250 245 22.1741 21.1514 0 0 -1 -1
0.720399 0.719672 4.00717 0.229704 0.00749799 6.80773 0 1.3711 0.00525751 1.28361 0.755072 0.985517 250 250 276 22.1741 20.7198 0 0 -1 -1
1.72035 2.71962 5.00691 0 0.00749724 2.80738 0.649142 4.37099 0.00525699 0.283498 2.75503 0.985467 250 250 369 22.1741 21.5831 0 0 -1 -1
1.72022 2.71942 5.00659 0 0.0074965 2.80724 0.649092 4.37063 0.00525646 0.283474 2.75489 0.985417 250 250 400 22.1741 21.1514 0 0 -1 -1
0.720093 0.719222 5.00627 0.229822 0.00749575 3.80709 0 0.370268 0.00525594 1.28345 2.75474 0.985368 250 250 274 22.1741 20.7198 0 0 -1 -1
0.72004 0.71917 5.00595 0.229801 0.007495 3.80689 0 0.370238 0.00525541 1.28334 2.75459 0.985318 250 250 398 22.1741 21.1514 0 0 -1 -1
0.719987 0.719117 5.00563 0.229781 0.00749425 3.8067 0 0.370207 0.00525489 1.28323 2.75445 0.985268 250 250 398 22.1741 21.1514 0 0 -1 -1
1.71993 0 2.00531 1.22976 0 4.8065 0.649123 1.37018 1.00525 1.28312 0.754303 0 250 250 397 21.7393 21.1514 0 0 -1 -1
1.71981 0 2.00518 1.22965 0 4.80625 0.649074 1.37006 1.00515 1.28301 0.754263 0 250 250 241 22.1741 21.1514 0 0 -1 -1
1.71968 0 2.00506 1.22954 0 4.806 0.649024 1.36995 1.00505 1.28289 0.754223 0 250 250 115 22.1741 20.7198 0 0 -1 -1
0.719555 0 4.00493 1.22943 0 1.80576 0.648975 3.36984 0.00495342 0.282783 0 0 250 250 -10 21.7393 20.2881 0 0 -1 -1
0.719502 0 4.00467 1.22932 0 1.80566 0.648925 3.36956 0.00495292 0.282759 0 0 250 250 -292 22.1741 19.8565 0 0 -1 -1
0 0 3.00441 0 0 2.80557 0 0.369279 0.00495243 1.28273 0 0 250 250 -167 22.1741 20.2881 0 0 -1 -1
0 0 3.00422 0 0 2.80542 0 0.369249 0.00495193 1.28262 0 0 250 250 -168 21.7393 20.2881 0 0 -1 -1
0 0 3.00403 0 0 2.80528 0 0.369218 0.00495144 1.28251 0 0 250 250 -262 21.7393 19.4248 0 0 -1 -1
1.71973 0.719229 4.00384 0 1.00858 1.80513 0 1.36919 0 0.282401 0.754354 0 250 250 -543 21.7393 18.9931 0 0 -1 -1
1.71961 0.719176 4.00358 0 1.00848 1.80504 0 1.36907 0 0.282377 0.754314 0 250 250 -262 21.7393 19.4248 0 0 -1 -1
0.719479 0 5.00333 0.229554 0.00838357 5.80495 0 3.36896 0.00514955 2.28235 2.75427 0 250 250 -576 21.7393 19.4248 0 0 -1 -1
0.719426 0 5.00301 0.229534 0.00838274 5.80465 0 3.36868 0.00514904 2.28215 2.75413 0 250 250 -419 21.7393 19.4248 0 0 -1 -1
0.719373 0 5.00269 0.229513 0.0083819 5.80435 0 3.3684 0.00514852 2.28196 2.75398 0 250 250 -169 21.7393 20.2881 0 0 -1 -1
0.71932 1.71919 5.00237 0.229493 1.00838 3.80405 0.649319 3.36813 0.00514801 0.28176 1.75384 0.985631 250 250 454 21.7393 20.2881 0 0 -1 -1
0.719268 1.71906 5.00205 0.229472 1.00828 3.80385 0.649269 3.36785 0.00514749 0.281735 1.75374 0.985582 250 250 236 21.7393 20.2881 0 0 -1 -1
0 0.718935 3.00173 0 0.0081798 3.80366 0 0 2.00515 1.28171 1.75365 0 250 250 -15 21.7393 20.2881 0 0 -1 -1
0 0.718882 3.00153 0 0.00817898 3.80346 0 0 2.00495 1.2816 1.75356 0 250 250 -15 21.7393 20.2881 0 0 -1 -1
0 0.71883 3.00134 0 0.00817816 3.80326 0 0 2.00475 1.28149 1.75347 0 250 250 -172 21.7393 20.2881 0 0 -1 -1
1.71928 0.718777 1.00115 0.229659 1.00818 5.80307 1.64953 2.36797 0.00454669 1.28138 0.753373 1.98569 250 250 264 21.7393 20.7198 0 0 -1 -1
1.71915 0.718725 1.00109 0.229638 1.00808 5.80277 1.6494 2.36778 0.00454624 1.28127 0.753334 1.98559 250 250 139 21.7393 20.2881 0 0 -1 -1
1.71902 0 4.00102 0.229618 1.00798 2.80247 0.649277 3.36758 0.00454579 0.281156 0.753294 0 250 250 138 21.7393 20.2881 0 0 -1 -1
1.7189 0 4.00077 0.229597 1.00788 2.80232 0.649227 3.3673 0.00454533 0.281132 0.753254 0 250 250 138 21.7393 20.2881 0 0 -1 -1
1.71877 0 4.00051 0.229576 1.00777 2.80218 0.649178 3.36702 0.00454488 0.281108 0.753214 0 250 250 263 21.7393 20.7198 0 0 -1 -1
1.71864 0 4.00026 0.229556 0 4.80203 0.649128 0.366746 0 0.281083 1.75317 0 250 250 137 21.7393 20.2881 0 0 -1 -1
1.71852 0 4 0.229535 0 4.80179 0.649079 0.366716 0 0.281059 1.75308 0 250 250 137 21.7393 20.2881 0 0 -1 -1
1.71839 0.718775 4.99974 0 0.00807202 4.80154 0 1.36669 1.00474 0 0 0.985992 250 250 262 21.7393 20.7198 0 0 -1 -1
1.71827 0.718723 4.99942 0 0.00807121 4.80129 0 1.36657 1.00464 0 0 0.985943 250 250 136 21.7393 20.2881 0 0 -1 -1
1.71814 0.71867 4.9991 0 0.0080704 4.80104 0 1.36646 1.00454 0 0 0.985893 250 250 261 21.7393 20.7198 0 0 -1 -1
0 0.718618 4.99878 1.22972 0.0080696 5.80079 0 3.36635 1.00444 0.281741 1.75303 0 250 250 -21 21.7393 20.2881 0 0 -1 -1
