250P -> 40C0 -> 80C0
Kpf: 10 Kif: 1 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 0 4.49014 0 0 16.0855 2.72051 7.84526 0 0 2.86109 0.202654 34.4765 29 48 26.9567 19.8565 5.79486 -23.472 10 1
0.20637 1.47575 4.48967 0 0 12.0855 0 10.8447 0 0 2.86064 0 64.9388 34 48 26.9567 19.8565 8.03735 -15.4347 10 1
0.206351 1.47556 4.4892 0 0 12.0855 0 10.8447 0 0 2.86019 0 72.9887 65 203 26.9567 19.8565 8.03849 -7.3962 10 1
0.206333 0.475365 3.48873 0.156279 0.811031 13.0855 0.720491 8.84473 0.995656 1.89315 1.85973 1.20278 61.4664 73 47 26.9567 19.8565 6.26024 -1.13596 10 1
0.206314 0.475303 3.48836 0.156252 0.81094 13.0855 0.720405 8.84414 0.995457 1.89277 1.85944 1.20267 67.7511 61 47 26.9567 20.2881 6.26246 5.1265 10 1
0.206295 0.475241 3.488 0.156226 0.810848 13.0855 0.720319 8.84354 0.995258 1.89239 1.85915 1.20256 74.0381 68 -110 26.9567 20.2881 6.26469 11.3912 10 1
5.20628 3.47518 5.48763 1.1562 0 19.0855 0 14.8429 0 0 1.85885 0 -110.847 74 139 26.9567 20.7198 -11.1126 0.278622 10 1
5.2058 3.47472 5.48705 1.15601 0 19.0855 0 14.8429 0 0 1.85856 0 -121.938 -111 -48 26.9567 20.7198 -11.1106 -10.832 10 1
0 0 0 0 0 0 0 0 0 0 0 0 -133.048 -122 138 26.9567 20.7198 -11.1106 -21.9425 10 1
0 3.47427 5.48648 0.155814 0 15.0855 1.72078 11.8429 1.99506 0.892055 0.858262 0 -38.5652 -133 -19 26.9567 20.7198 -1.51115 -23.4537 10 1
1.20558 0.473811 3.4859 0 0.811046 17.0855 0.720571 8.84295 0 1.89188 2.85813 0 5.41749 -39 -20 26.9567 20.7198 2.62465 -20.829 10 1
0 0 0 0 0 0 0 0 0 0 0 0 8.04214 5 10 26.9567 20.7198 2.62465 -18.2044 10 1
1.20547 0.473749 3.48554 0 0.810955 17.0855 0.720485 8.84235 0 1.8915 2.85767 0 10.6903 8 -21 26.9567 20.7198 2.62679 -15.5776 10 1
0 0 3.48517 0.15607 0 17.0855 1.7204 7.84176 0 0 1.85722 0.203266 68.5793 11 103 26.9567 21.1514 7.65062 -7.92696 10 1
0 0 3.48481 0.156044 0 17.0855 1.72019 7.84123 0 0 1.85693 0.203248 76.2457 69 -23 26.9567 20.7198 7.65206 -0.274899 10 1
0 0 0 0 0 0 0 0 0 0 0 0 83.8978 76 -24 26.9567 20.7198 7.65206 7.37716 10 1
0.206052 0 4.48444 0.156018 0 15.0855 0 8.8407 0 0.891963 0.856632 1.20323 98.4073 84 132 26.9567 20.7198 8.27547 15.6526 10 1
0.206033 0 4.48397 0.155992 0 15.0855 0 8.84011 0 0.891785 0.856497 1.20312 106.7 98 100 26.9567 21.1514 8.277 23.9296 10 1
0.206015 0 4.4835 0.155965 0 15.0855 0 8.83951 0 0.891607 0.856361 1.20301 114.994 107 -26 26.9567 20.7198 8.27853 32.2082 10 1
0 2.47429 3.48303 1.15594 0 14.0855 0 10.8389 0 0 1.85623 0 99.3753 115 130 26.9567 20.7198 6.1061 38.3143 10 1
0 2.47397 3.48267 1.15575 0 14.0855 0 10.8389 0 0 1.85593 0 105.494 99 -152 26.9567 20.2881 6.10728 44.4215 10 1
0.206324 0.473645 2.4823 1.15555 0 17.0855 0 5.83892 0 0 0 1.20305 171.523 105 128 26.9567 20.7198 11.5547 55.9763 10 1
0.206306 0.473583 2.48204 1.15536 0 17.0855 0 5.83853 0 0 0 1.20294 183.09 172 -28 26.9567 20.7198 11.5558 67.532 10 1
