250P -> 40C0
Kpf: 10 Kif: 1 Kpb: 0 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0.342613 0 3.71516 1.07072 0 4.25594 0 2.09813 0.0256434 0 2.94163 0 250 250 -387 21.7393 19.4248 0 0 -1 -1
0.342584 0 3.71476 1.07052 0 4.25557 0 2.09799 0.0256384 0 2.94134 0 250 250 237 21.7393 19.4248 0 0 -1 -1
0.342554 0 3.71437 1.07032 0 4.25521 0 2.09786 0.0256334 0 2.94104 0 250 250 237 21.7393 19.4248 0 0 -1 -1
2.34252 5.05424 4.71398 2.07011 0.68299 5.25484 0 0 0 0 0 0 250 250 331 21.7393 20.2881 0 0 -1 -1
2.34232 5.05391 4.71348 2.06973 0.682908 5.25439 0 0 0 0 0 0 250 250 174 21.7393 20.2881 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0.950502 0 0 250 250 299 21.7393 20.7198 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0.950405 0 0 250 250 298 22.1741 20.2881 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0.950308 0 0 250 250 173 22.1741 20.2881 0 0 -1 -1
0 0 0 0 0 0 0 0 0.0291251 0.950211 0 0 250 250 172 21.7393 20.2881 0 0 -1 -1
0 0 0 0 0 0 0 0 0.0291194 0.950114 0 0 250 250 16 22.1741 20.2881 0 0 -1 -1
0 0.055988 2.71419 0 0 0 0 0 0 4.95002 0 0 250 250 171 21.7393 20.2881 0 0 -1 -1
0 0.0559843 2.71391 0 0 0 0 0 0 4.94951 0 0 250 250 171 22.1741 20.2881 0 0 -1 -1
0 0.0559807 2.71362 0 0 0 0 0 0 4.94901 0 0 250 250 170 22.1741 20.2881 0 0 -1 -1
0 2.05598 2.71333 0.0742971 0 0 0 0 0 1.9485 0.948204 0 250 250 -112 21.7393 19.8565 0 0 -1 -1
0 2.05584 2.71305 0.0742831 0 0 0 0 0 1.9483 0.948109 0 250 250 138 22.1741 20.7198 0 0 -1 -1
3.34724 1.05571 3.71276 0.0742692 0 2.25732 1.71454 4.10517 0 0.948105 2.94801 0.958447 250 250 12 21.7393 20.2881 0 0 -1 -1
3.34695 1.05564 3.71237 0.0742553 0 2.25713 1.71434 4.10491 0 0.948009 2.94772 0.958346 250 250 168 22.1741 20.2881 0 0 -1 -1
3.34666 1.05557 3.71198 0.0742413 0 2.25694 1.71413 4.10464 0 0.947912 2.94742 0.958246 250 250 167 22.1741 20.2881 0 0 -1 -1
0 0 1.71159 0 0 3.25674 2.71393 0.10438 0 0 0.94713 0 250 250 136 21.7393 20.7198 0 0 -1 -1
0 0 1.7114 0 0 3.25646 2.71361 0.104373 0 0 0.947035 0 250 250 166 21.7393 20.2881 0 0 -1 -1
0 0 3.71122 0 0 3.25618 2.71328 0 0 0 2.94694 0 250 250 10 22.1741 20.2881 0 0 -1 -1
0 0 3.71083 0 0 3.2559 2.71296 0 0 0 2.94665 0 250 250 165 22.1741 20.2881 0 0 -1 -1
0 0 3.71044 0 0 3.25562 2.71264 0 0 0 2.94635 0 250 250 9 22.1741 20.2881 0 0 -1 -1
1.34683 0.0564653 3.71005 1.0751 0 3.25535 0 1.10454 1.03393 0.950391 1.94606 0 250 250 290 22.1741 20.7198 0 0 -1 -1
1.34671 0.0564616 3.70966 1.07489 0 3.25507 0 1.10447 1.03373 0.950294 1.94586 0 250 250 164 22.1741 20.2881 0 0 -1 -1
1.3466 0 4.70927 0.0746924 0 5.25479 0 0.104397 0.0335236 0.950198 2.94567 0 250 250 8 21.7393 20.2881 0 0 -1 -1
1.34648 0 4.70877 0.0746783 0 5.25434 0 0.10439 0.0335171 0.950101 2.94537 0 250 250 163 21.7393 20.2881 0 0 -1 -1
1.34637 0 4.70827 0.0746643 0 5.25389 0 0.104383 0.0335105 0.950004 2.94508 0 250 250 163 22.1741 20.2881 0 0 -1 -1
0.34625 1.05664 3.70778 0.0746503 0 3.25344 0 1.10438 0 0.949907 2.94478 0 250 250 162 21.7393 20.2881 0 0 -1 -1
0.346221 1.05657 3.70738 0.0746363 0 3.25316 0 1.10431 0 0.94981 2.94449 0 250 250 162 21.7393 20.2881 0 0 -1 -1
0.346191 0 1.70699 0 0 2.25288 0 1.10423 0.0338822 0 2.9442 0 250 250 -89 21.7393 19.4248 0 0 -1 -1
0.346161 0 1.70681 0 0 2.25268 0 1.10416 0.0338756 0 2.9439 0 250 250 -89 21.7393 19.4248 0 0 -1 -1
0.346131 0 1.70663 0 0 2.25249 0 1.10409 0.033869 0 2.94361 0 250 250 223 21.7393 19.4248 0 0 -1 -1
0 0.0568875 4.70645 0.0751433 0 5.2523 0 2.10402 0 0.949728 0.943312 0 250 250 379 21.7393 19.4248 0 0 -1 -1
0 0.0568838 4.70596 0.0751292 0 5.25185 0 2.10389 0 0.949632 0.943218 0 250 250 192 21.7393 19.8565 0 0 -1 -1
0.346386 0.05688 4.70546 0.0751151 1.68674 4.2514 0 0 1.03424 0 2.94312 0.959056 250 250 160 21.7393 20.2881 0 0 -1 -1
0.346356 0.0568763 4.70496 0.075101 1.68653 4.25103 0 0 1.03404 0 2.94283 0.958955 250 250 285 22.1741 20.7198 0 0 -1 -1
0.346326 0.0568726 4.70447 0.0750869 1.68633 4.25067 0 0 1.03384 0 2.94253 0.958855 250 250 409 22.1741 21.1514 0 0 -1 -1
0 0.0568688 3.70397 0.0750728 0.686126 5.2503 0 3.10392 1.03363 0 2.94224 0.958755 250 250 159 21.7393 20.2881 0 0 -1 -1
0 0.0568651 3.70358 0.0750587 0.686043 5.24985 0 3.10372 1.03343 0 2.94195 0.958655 250 250 408 22.1741 21.1514 0 0 -1 -1
1.34641 0.0568614 3.70319 0 0 4.2494 0 5.10352 1.03323 0.949764 1.94165 0 250 250 1 21.7393 20.2881 0 0 -1 -1
1.34629 0.0568576 3.7028 0 0 4.24904 0 5.1032 1.03303 0.949668 1.94146 0 250 250 126 22.1741 20.7198 0 0 -1 -1
1.34618 0.0568539 3.70241 0 0 4.24867 0 5.10287 1.03282 0.949571 1.94126 0 250 250 531 22.1741 21.5831 0 0 -1 -1
1.34606 0.0568502 5.70202 0 0 4.24831 0 1.10254 1.03262 0 1.94107 0 250 250 531 22.1741 21.5831 0 0 -1 -1
1.34595 0.0568464 5.70141 0 0 4.24794 0 1.10247 1.03242 0 1.94088 0 250 250 124 22.1741 20.7198 0 0 -1 -1
1.34583 0 3.70081 2.07591 0 4.24758 0 3.1024 0 0.949484 2.94068 0 250 250 249 22.1741 21.1514 0 0 -1 -1
1.34571 0 3.70042 2.07552 0 4.24722 0 3.1022 0 0.949387 2.94039 0 250 250 404 22.1741 21.1514 0 0 -1 -1
1.3456 0 3.70003 2.07513 0 4.24685 0 3.102 0 0.94929 2.94009 0 250 250 404 22.1741 21.1514 0 0 -1 -1
0 1.05723 4.69964 0.0747436 0.686263 6.24649 0.714714 0.101799 1.03279 0.949194 2.9398 0 250 250 247 22.1741 21.1514 0 0 -1 -1
0 1.05716 4.69914 0.0747296 0.68618 6.24595 0.714629 0.101793 1.03258 0.949097 2.93951 0 250 250 403 22.1741 20.2881 0 0 -1 -1
0.345596 1.05709 3.69865 0 0 3.24542 0 3.10179 0.0323819 0.949 1.93921 0 250 250 402 21.7393 20.2881 0 0 -1 -1
0.345566 1.05702 3.69826 0 0 3.24514 0 3.10159 0.0323756 0.948903 1.93902 0 250 250 402 22.1741 20.2881 0 0 -1 -1
0.345537 1.05695 3.69787 0 0 3.24486 0 3.10139 0.0323692 0.948806 1.93882 0 250 250 402 22.1741 20.2881 0 0 -1 -1
1.34551 0 4.69748 0.0752365 0 5.24458 0.714646 2.10119 0.0323629 0 0.93863 0 250 250 276 21.7393 20.2881 0 0 -1 -1
1.34539 0 4.69698 0.0752224 0 5.24413 0.714561 2.10105 0.0323566 0 0.938536 0 250 250 245 22.1741 20.2881 0 0 -1 -1
0 0.0570022 5.69649 0 1.68629 3.24368 1.71448 2.10092 0 0 2.93844 1.95946 250 250 401 21.7393 20.2881 0 0 -1 -1
0 0.0569984 5.69589 0 1.68608 3.2434 1.71427 2.10078 0 0 2.93815 1.95925 250 250 275 22.1741 20.2881 0 0 -1 -1
0 0.0569947 5.69528 0 1.68588 3.24313 1.71407 2.10065 0 0 2.93785 1.95905 250 250 244 21.7393 20.2881 0 0 -1 -1
0.345702 0.0569909 4.69468 0.0757289 0.685677 4.24285 0.713864 0.100512 0.0335054 0 0 0.958841 250 250 149 22.1741 20.2881 0 0 -1 -1
0.345673 0.0569872 4.69419 0.0757147 0.685594 4.24248 0.713779 0.100505 0.0334988 0 0 0.95874 250 250 148 22.1741 20.2881 0 0 -1 -1
1.34564 1.05698 4.69369 1.0757 1.68551 4.24212 0.713694 1.1005 0 0 1.93777 1.95864 250 250 148 21.7393 20.2881 0 0 -1 -1
1.34553 1.05691 4.6932 1.0755 1.68531 4.24176 0.713609 1.10043 0 0 1.93758 1.95844 250 250 -384 21.7393 18.9931 0 0 -1 -1
