250P
Kpf: 10 Kif: 0.5 Kpb: 0 Kpb: 0.1
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
3.70838 0 2.94877 0 0.14647 0.83181 0.0158057 0 0 0 0 0 250 0 14 10.435 19.8565 0 0 -1 -1
3.70811 0 2.94857 0 0.146444 0.831719 0.0158041 0 0 0 0 0 250 250 139 10.435 20.2881 0 0 -1 -1
0.707837 1.88348 0 0.349688 2.14642 0 1.0158 0 0 0 0 0 250 250 139 10.435 20.2881 0 0 -1 -1
0.707784 1.88334 0 0.349658 2.14604 0 1.0157 0 0 0 0 0 250 250 14 10.435 19.8565 0 0 -1 -1
1.70773 0 0 0.349629 0.14567 0 1.0156 0.417696 0 2.62821 1.97267 0 250 250 14 10.435 19.8565 0 0 -1 -1
1.70761 0 0 0.349599 0.145645 0 1.0155 0.417671 0 2.62789 1.97247 0 250 250 -142 10.435 19.8565 0 0 -1 -1
1.70748 0 0 0.349569 0.14562 0 1.0154 0.417647 0 2.62757 1.97227 0 250 250 14 10.435 19.8565 0 0 -1 -1
0.707354 0 1.94873 1.34954 0.145594 0 2.0153 0 0 2.62725 0 0 250 250 14 10.435 19.8565 0 0 -1 -1
0.707302 0 1.9486 1.34942 0.145569 0 2.0151 0 0 2.62692 0 0 250 250 13 10.435 19.8565 0 0 -1 -1
0.707249 0 1.94847 0 0 2.83285 0.0148989 0 1.44305 1.6266 0 2.60232 250 250 13 10.435 19.8565 0 0 -1 -1
0.707197 0 1.94833 0 0 2.83254 0.0148974 0 1.44285 1.6264 0 2.60212 250 250 13 10.435 19.8565 0 0 -1 -1
0.707145 0 1.9482 0 0 2.83223 0.0148959 0 1.44265 1.6262 0 2.60192 250 250 -143 10.435 19.8565 0 0 -1 -1
0.707093 0 0 0 2.14651 1.83192 0 0 0 0 0 0.601717 250 250 -143 10.435 19.8565 0 0 -1 -1
0.707041 0 0 0 2.14614 1.83172 0 0 0 0 0 0.601671 250 250 13 10.435 19.8565 0 0 -1 -1
0.706988 1.88385 0 0.349586 0 0 0.0150899 2.41827 0.442601 0.62634 1.9726 0.601624 250 250 13 10.435 19.8565 0 0 -1 -1
0.706936 1.88372 0 0.349557 0 0 0.0150884 2.41813 0.44254 0.626263 1.9724 0.601578 250 250 13 10.435 19.8565 0 0 -1 -1
0.706884 1.88359 0 0.349527 0 0 0.0150869 2.41799 0.442478 0.626186 1.9722 0.601532 250 250 13 10.435 19.8565 0 0 -1 -1
0 0.883458 0 0 0 0.831903 0.0150854 2.41785 0 0.626109 0 0 250 250 138 10.8698 20.2881 0 0 -1 -1
0 0.883396 0 0 0 0.831812 0.0150839 2.4177 0 0.626032 0 0 250 250 -112 10.8698 19.4248 0 0 -1 -1
0.707023 0.883335 0.948297 0.349778 0 0 1.01508 0.417563 0 1.62596 0 0 250 250 14 10.8698 19.4248 0 0 -1 -1
0.706971 0.883274 0.948232 0.349749 0 0 1.01498 0.417538 0 1.62576 0 0 250 250 -237 10.8698 19.4248 0 0 -1 -1
0.706918 0.883212 0.948168 0.349719 0 0 1.01488 0.417514 0 1.62556 0 0 250 250 45 10.8698 19.4248 0 0 -1 -1
2.70687 1.88315 0 0 1.14748 0 1.01478 0 1.4428 1.62536 1.97231 0 250 250 76 10.8698 18.5615 0 0 -1 -1
2.70667 1.88302 0 0 1.14728 0 1.01468 0 1.4426 1.62516 1.97211 0 250 250 -205 11.3046 18.5615 0 0 -1 -1
0 0.88289 0.948246 0.3498 1.14708 0 1.01458 1.41779 0 0.624958 1.97191 0 250 250 -80 11.3046 18.9931 0 0 -1 -1
0 0.882828 0.948182 0.34977 1.14688 0 1.01448 1.41771 0 0.624881 1.97171 0 250 250 -79 11.3046 18.5615 0 0 -1 -1
0 0.882767 0.948118 0.34974 1.14668 0 1.01438 1.41763 0 0.624804 1.97151 0 250 250 359 11.3046 18.9931 0 0 -1 -1
1.70653 0 1.94805 0.34971 0 1.8323 0 0.417543 1.44305 0 0.971314 1.60225 250 250 -47 11.3046 18.5615 0 0 -1 -1
1.70641 0 1.94792 0.349681 0 1.8321 0 0.417518 1.44285 0 0.971215 1.60213 250 250 173 11.3046 19.8565 0 0 -1 -1
0 0 0.947789 1.34965 0 0.831905 0.0144726 2.41749 0 0 0.971117 0 250 250 48 11.7393 19.4248 0 0 -1 -1
0 0 0.947725 1.34954 0 0.831814 0.0144712 2.41735 0 0 0.971018 0 250 250 330 11.7393 19.8565 0 0 -1 -1
0 0 0.947661 1.34942 0 0.831723 0.0144698 2.41721 0 0 0.97092 0 250 250 205 12.1741 19.4248 0 0 -1 -1
2.70634 0 1.9476 0.349306 0 0 0 0 1.4433 1.62557 0 0.602099 250 250 81 12.1741 18.9931 0 0 -1 -1
2.70614 0 1.94746 0.349276 0 0 0 0 1.4431 1.62537 0 0.602053 250 250 207 12.1741 19.4248 0 0 -1 -1
0 1.88304 0 0 1.14752 0.831887 1.01466 0.417138 0 1.62517 0 0 250 250 52 12.1741 19.4248 0 0 -1 -1
0 1.88291 0 0 1.14732 0.831797 1.01456 0.417114 0 1.62497 0 0 250 250 364 12.1741 19.4248 0 0 -1 -1
0 1.88278 0 0 1.14712 0.831706 1.01446 0.417089 0 1.62477 0 0 250 250 365 12.1741 19.4248 0 0 -1 -1
1.70623 0 0 1.34941 0 0 1.01436 0.417065 0 1.62457 0 0 250 250 210 12.1741 19.4248 0 0 -1 -1
1.70611 0 0 1.3493 0 0 1.01426 0.41704 0 1.62437 0 0 250 250 368 12.6089 19.4248 0 0 -1 -1
0.70598 1.88322 0 2.34918 0.148262 0 0.0141606 0 0.443285 0.624175 1.97105 0.602622 250 250 526 12.6089 19.4248 0 0 -1 -1
0.705928 1.88309 0 2.34898 0.148237 0 0.0141592 0 0.443223 0.624099 1.97085 0.602575 250 250 527 12.6089 19.4248 0 0 -1 -1
