330P -> 660P -> 990P
Kpf: 10 Kif: 0.4 Kpb: 0 Kpb: 0.04
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 1.83075 5.80499 1.2651 0 30.267 0 22.5291 0.136375 0 6.62831 1.14006 660 660 562 33.0437 16.8349 0 0 -1 -1
0 1.8305 5.80396 1.26485 0 30.267 0 22.5291 0.136348 0 6.62743 1.13993 660 660 690 33.0437 17.2665 0 0 -1 -1
0.0258024 0 5.80293 2.2646 1.39957 31.267 0 21.5291 0.13632 0.732328 5.62656 0.139803 660 660 567 33.0437 16.8349 0 0 -1 -1
0.0257992 0 5.80189 2.26415 1.39931 31.267 0 21.5291 0.136293 0.732182 5.62581 0.139787 660 660 570 33.0437 16.8349 0 0 -1 -1
0 0.830292 6.80086 1.2637 0.399055 28.267 0 21.5291 0.136266 0.732035 5.62507 1.13977 660 660 697 33.0437 17.2665 0 0 -1 -1
0 0.830177 6.79965 1.26345 0.398982 28.267 0 21.5291 0.136239 0.731889 5.62433 1.13964 660 660 574 33.0437 16.8349 0 0 -1 -1
0 0.830062 6.79844 1.2632 0.398909 28.267 0 21.5291 0.136211 0.731742 5.62358 1.13951 660 660 577 33.0437 16.8349 0 0 -1 -1
1.02615 0.829948 6.79723 1.26294 0 33.267 0 21.5291 0.136184 0 5.62284 0.139383 660 660 579 33.0437 16.8349 0 0 -1 -1
1.02603 0.829833 6.79602 1.26269 0 33.267 0 21.5291 0.136157 0 5.6221 0.139367 660 660 551 33.0437 17.2665 0 0 -1 -1
0.0259028 0.829718 6.79481 1.26244 0 27.267 0.84598 21.5291 0.13613 0.731703 6.62136 0.139351 660 660 553 33.0437 17.2665 0 0 -1 -1
0.0258996 0.829603 6.7936 1.26219 0 27.267 0.845844 21.5291 0.136103 0.731557 6.62048 0.139335 660 660 430 33.0437 16.8349 0 0 -1 -1
0.0258965 0.829489 6.79239 1.26194 0 27.267 0.845708 21.5291 0.136075 0.731411 6.61961 0.139319 660 660 589 33.0437 16.8349 0 0 -1 -1
0.0258933 1.82937 6.79118 1.26169 0.399385 31.267 0 21.5291 0.136048 0 7.61873 1.1393 660 660 592 33.0437 16.8349 0 0 -1 -1
0.0258901 1.82912 6.78997 1.26143 0.399312 31.267 0 21.5291 0.136021 0 7.61773 1.13917 660 660 719 33.0437 17.2665 0 0 -1 -1
0 0.828868 3.78877 0.261183 1.39924 28.267 0 20.5291 0.135994 0.731372 6.61672 1.13904 660 660 565 33.0437 17.2665 0 0 -1 -1
0 0.828753 3.78809 0.261131 1.39898 28.267 0 20.5291 0.135966 0.731226 6.61585 1.13892 660 660 599 33.0437 16.8349 0 0 -1 -1
0 0.828639 3.78742 0.261079 1.39873 28.267 0 20.5291 0.135939 0.73108 6.61497 1.13879 660 660 601 33.0437 16.8349 0 0 -1 -1
1.02625 0 7.78674 1.26103 0.398473 29.267 0.845696 21.5291 1.13591 0 6.6141 1.13866 660 660 604 33.0437 16.8349 0 0 -1 -1
1.02612 0 7.78536 1.26078 0.3984 29.267 0.84556 21.5291 1.13568 0 6.61322 1.13853 660 660 606 33.0437 16.8349 0 0 -1 -1
1.02599 0 6.78397 1.26052 0 30.267 0 22.5291 0.135458 0 5.61235 2.1384 660 660 609 33.0437 16.8349 0 0 -1 -1
1.02587 0 6.78276 1.26027 0 30.267 0 22.5291 0.135431 0 5.61161 2.13816 660 660 611 33.0437 16.8349 0 0 -1 -1
1.02574 0 6.78155 1.26002 0 30.267 0 22.5291 0.135404 0 5.61087 2.13791 660 660 614 33.0437 16.8349 0 0 -1 -1
0.0256159 0.828643 5.78035 2.25977 0 30.267 0.845981 22.5291 1.13538 0 5.61013 2.13767 660 660 616 33.0437 16.8349 0 0 -1 -1
0.0256128 0.828528 5.77932 2.25932 0 30.267 0.845845 22.5291 1.13515 0 5.60938 2.13743 660 660 588 33.0437 17.2665 0 0 -1 -1
1.02561 0.828413 7.77829 1.25887 0 29.267 0 21.5291 0.134922 0 6.60864 1.13718 660 660 622 33.0437 16.8349 0 0 -1 -1
1.02548 0.828299 7.77691 1.25862 0 29.267 0 21.5291 0.134895 0 6.60777 1.13705 660 660 624 33.0437 16.8349 0 0 -1 -1
1.02536 0.828184 7.77552 1.25837 0 29.267 0 21.5291 0.134868 0 6.6069 1.13693 660 660 596 33.0437 17.2665 0 0 -1 -1
1.02523 0 6.77414 1.25812 0.39957 27.267 0.846266 21.5291 0.134841 0 7.60602 0.136797 660 660 598 33.0437 17.2665 0 0 -1 -1
1.02511 0 6.77293 1.25787 0.399497 27.267 0.84613 21.5291 0.134815 0 7.60502 0.136781 660 660 632 33.0437 17.2665 0 0 -1 -1
3.02498 0.828117 7.77173 1.25762 0 30.267 0.845994 17.5291 1.13479 0 6.60402 0.136766 660 660 635 33.0437 16.8349 0 0 -1 -1
3.02461 0.828003 7.77034 1.25737 0 30.267 0.845858 17.5291 1.13456 0 6.60314 0.13675 660 660 637 33.0437 17.2665 0 0 -1 -1
1.02424 1.82789 7.76896 2.25712 0.399644 30.267 0 20.5291 0.134334 0 6.60227 0.136734 660 660 609 33.0437 17.2665 0 0 -1 -1
1.02411 1.82764 7.76758 2.25667 0.399571 30.267 0 20.5291 0.134307 0 6.6014 0.136719 660 660 892 33.0437 16.8349 0 0 -1 -1
1.02399 1.82738 7.76619 2.25622 0.399498 30.267 0 20.5291 0.13428 0 6.60053 0.136703 660 660 769 33.0437 16.8349 0 0 -1 -1
3.02386 0.82713 6.76481 0.255769 1.39942 30.267 0.846279 22.5291 0.134253 0 7.59965 2.13669 660 660 772 33.0437 17.2665 0 0 -1 -1
3.02349 0.827016 6.76361 0.255718 1.39917 30.267 0.846142 22.5291 0.134226 0 7.59865 2.13645 660 660 650 33.0437 16.8349 0 0 -1 -1
0.0231185 0 5.7624 1.25567 0 29.267 0.846006 23.5291 1.1342 0 6.59765 1.1362 660 660 652 33.0437 16.8349 0 0 -1 -1
0.0231157 0 5.76138 1.25542 0 29.267 0.84587 23.5291 1.13397 0 6.59678 1.13607 660 660 779 33.0437 17.2665 0 0 -1 -1
0.0231129 0 5.76035 1.25517 0 29.267 0.845734 23.5291 1.13375 0 6.5959 1.13594 660 660 626 33.0437 17.2665 0 0 -1 -1
0.02311 0.826973 6.75933 0.254916 0 30.267 0 21.5291 0.133519 0 5.59503 1.13582 660 660 784 33.0437 17.2665 0 0 -1 -1
0.0231072 0.826859 6.75812 0.254866 0 30.267 0 21.5291 0.133492 0 5.59429 1.13569 660 660 786 33.0437 17.2665 0 0 -1 -1
1.0231 0 9.75692 0 0 30.267 0.845969 21.5291 0.133466 0 6.59355 0 660 660 788 33.0437 17.2665 0 0 -1 -1
1.02298 0 9.75692 0 0 30.267 0.845833 21.5291 0.133439 0 6.59268 0 660 660 791 33.0437 17.2665 0 0 -1 -1
1.02285 0 9.75692 0 0 30.267 0.845697 21.5291 0.133412 0 6.59181 0 660 660 637 33.0437 17.2665 0 0 -1 -1
1.02273 0.827231 5.75692 1.25526 0 30.267 1.84556 21.5291 0.133386 0 6.59094 0.135852 660 660 608 33.0437 17.6982 0 0 -1 -1
1.0226 0.827117 5.75589 1.25501 0 30.267 1.84526 21.5291 0.133359 0 6.59007 0.135837 660 660 641 33.0437 17.2665 0 0 -1 -1
1.02248 0 7.75487 1.25476 0.40001 31.267 0 22.5291 0.133332 0 4.5892 0.135821 660 660 769 33.0437 17.6982 0 0 -1 -1
1.02235 0 7.75349 1.25451 0.399937 31.267 0 22.5291 0.133306 0 4.58859 0.135806 660 660 615 33.0437 17.6982 0 0 -1 -1
1.02223 0 7.75211 1.25426 0.399864 31.267 0 22.5291 0.133279 0 4.58799 0.13579 660 660 617 33.0437 17.6982 0 0 -1 -1
0.0221002 0.827074 4.75073 1.25401 0.399791 30.267 0 22.5291 1.13325 0 7.58738 0.135775 660 660 619 33.0437 17.6982 0 0 -1 -1
0.0220975 0.82696 4.74988 1.25376 0.399718 30.267 0 22.5291 1.13303 0 7.58638 0.135759 660 660 621 33.0437 17.6982 0 0 -1 -1
0.0220948 2.82685 6.74904 1.25351 0.399645 31.267 0 19.5291 0.132799 0 6.58538 2.13574 660 660 684 33.0437 16.8349 0 0 -1 -1
0.0220921 2.82645 6.74784 1.25326 0.399572 31.267 0 19.5291 0.132772 0 6.58451 2.1355 660 660 624 33.0437 17.6982 0 0 -1 -1
0.0220893 2.82606 6.74663 1.25301 0.3995 31.267 0 19.5291 0.132746 0 6.58364 2.13526 660 660 657 33.0437 17.2665 0 0 -1 -1
0 0 7.74543 1.25276 0.399427 30.267 0 21.5291 0.132719 0.735707 6.58277 1.13502 660 660 629 33.0437 17.6982 0 0 -1 -1
0 0 7.74406 1.25251 0.399354 30.267 0 21.5291 0.132693 0.73556 6.5819 1.13489 660 660 662 33.0437 17.2665 0 0 -1 -1
0.0223267 0 6.74268 1.25226 0 32.267 0.846503 22.5291 0.132666 0 6.58103 0.134759 660 660 664 33.0437 17.2665 0 0 -1 -1
0.0223239 0 6.74148 1.25201 0 32.267 0.846367 22.5291 0.13264 0 6.58016 0.134743 660 660 605 33.0437 18.1298 0 0 -1 -1
0.0223212 0 6.74028 1.25176 0 32.267 0.846231 22.5291 0.132613 0 6.57929 0.134728 660 660 669 33.0437 17.2665 0 0 -1 -1
0.0223185 0.82607 3.73908 0.251514 1.40016 30.267 0.846095 20.5291 2.13259 0 6.57842 2.13471 660 660 640 33.0437 17.6982 0 0 -1 -1
0.0223157 0.825955 3.73841 0.251464 1.3999 30.267 0.845959 20.5291 2.13216 0 6.57755 2.13447 660 660 674 33.0437 17.2665 0 0 -1 -1
0.022313 0 6.73775 1.25141 0.399646 29.267 0 21.5291 0 0 6.57668 2.13423 660 660 676 33.0437 17.6982 0 0 -1 -1
0.0223102 0 6.73655 1.25117 0.399573 29.267 0 21.5291 0 0 6.57581 2.13399 660 660 647 33.0437 17.2665 0 0 -1 -1
0.0223075 0 6.73535 1.25092 0.3995 29.267 0 21.5291 0 0 6.57495 2.13374 660 660 556 33.0437 17.2665 0 0 -1 -1
0.0223048 0 6.73415 1.25067 0.399427 31.267 0.845897 22.5291 0.132255 0 5.57408 1.1335 660 660 808 33.0437 17.6982 0 0 -1 -1
0.022302 0 6.73295 1.25042 0.399354 31.267 0.845761 22.5291 0.132228 0 5.57334 1.13337 660 660 779 33.0437 17.2665 0 0 -1 -1
0.0222993 0 7.73175 2.25017 0.399281 31.267 0 20.5291 0.132202 0 4.5726 1.13324 660 660 968 33.0437 17.2665 0 0 -1 -1
0.0222965 0 7.73037 2.24972 0.399209 31.267 0 20.5291 0.132175 0 4.572 1.13311 660 660 814 33.0437 17.2665 0 0 -1 -1
0.0222938 0 7.729 2.24927 0.399136 31.267 0 20.5291 0.132149 0 4.5714 1.13299 660 660 692 33.0437 17.2665 0 0 -1 -1
0.0222911 0 6.72762 2.24882 0 29.267 0.845699 22.5291 1.13212 0 6.57079 0.132857 660 660 819 33.0437 17.6982 0 0 -1 -1
0.0222883 0 6.72642 2.24838 0 29.267 0.845563 22.5291 1.1319 0 6.56992 0.132842 660 660 821 33.0437 17.6982 0 0 -1 -1
0 0.826911 4.72523 2.24793 0.399647 31.267 0.845427 19.5291 0.13167 0 8.56906 1.13283 660 660 667 33.0437 17.6982 0 0 -1 -1
0 0.826797 4.72439 2.24748 0.399574 31.267 0.845291 19.5291 0.131643 0 8.56906 1.1327 660 660 700 33.0437 17.2665 0 0 -1 -1
0 0.826682 4.72354 2.24703 0.399501 31.267 0.845155 19.5291 0.131617 0 8.56906 1.13257 660 660 702 33.0437 17.2665 0 0 -1 -1
2.02265 0 7.7227 0.246585 0.399428 29.267 0.845019 22.5291 0 0.737361 7.56906 0 660 660 704 33.0437 17.2665 0 0 -1 -1
0 0 0 0 0 0 0 0 0 0 0 0 660 660 706 33.0437 17.2665 0 0 -1 -1
2.0224 0.826592 7.72133 1.24654 0 33.267 0 23.5291 1.13196 0 6.56806 0 660 660 708 33.0437 17.2665 0 0 -1 -1
2.02215 0.826478 7.71995 1.24629 0 33.267 0 23.5291 1.13174 0 6.56719 0 660 660 835 33.0437 17.6982 0 0 -1 -1
2.0219 0.826363 7.71858 1.24604 0 33.267 0 23.5291 1.13151 0 6.56632 0 660 660 712 33.0437 17.2665 0 0 -1 -1
1.02165 0 8.71721 1.24579 0 33.267 0 24.5291 0 0 9.56545 0 660 660 683 33.0437 17.6982 0 0 -1 -1
1.02153 0 8.71721 1.24554 0 33.267 0 24.5291 0 0 9.56545 0 660 660 685 33.0437 17.6982 0 0 -1 -1
0 1.82657 4.71721 2.24529 0 32.267 0 21.5291 1.13163 0 6.56545 0 660 660 687 33.0437 17.6982 0 0 -1 -1
0 1.82632 4.71637 2.24485 0 32.267 0 21.5291 1.13141 0 6.56459 0 660 660 689 33.0437 17.6982 0 0 -1 -1
0 1.82607 4.71553 2.2444 0 32.267 0 21.5291 1.13118 0 6.56372 0 660 660 691 33.0437 17.6982 0 0 -1 -1
0 2.82582 4.71469 2.24395 0 32.267 0 21.5291 0.130954 0 7.56285 1.13333 660 660 693 33.0437 17.6982 0 0 -1 -1
0 2.82543 4.71385 2.24351 0 32.267 0 21.5291 0.130928 0 7.56185 1.1332 660 660 695 33.0437 17.6982 0 0 -1 -1
