300P
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.1
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0.626502 0 0 1.75544 3.26784 4.43966 0 1.83422 2.07251 3.32349 0 1.82071 300 0 21 11.7393 20.2881 0 0 -1 -1
0.626467 0 0 1.75535 3.26764 4.43949 0 1.83415 2.07241 3.3234 0 1.82066 300 0 177 11.7393 20.7198 0 0 -1 -1
0.626432 0 0 1.75526 3.26744 4.43933 0 1.83407 2.07231 3.32331 0 1.8206 300 300 115 11.7393 20.2881 0 0 -1 -1
0 0 0 0 2.26724 0 1.79881 0.833997 0 0 0 0 300 300 21 11.7393 20.2881 0 0 -1 -1
0 0 0 0 2.2671 0 1.79873 0.833963 0 0 0 0 300 300 -135 11.7393 20.2881 0 0 -1 -1
0 0.876629 1.16447 0 0.266963 0.439208 0 1.83393 0 0 2.4069 3.82062 300 300 -135 11.7393 20.2881 0 0 -1 -1
0 0.876593 1.16442 0 0.266947 0.439192 0 1.83385 0 0 2.40679 3.82051 300 300 -104 11.7393 19.8565 0 0 -1 -1
0 0.876557 1.16438 0 0.26693 0.439176 0 1.83378 0 0 2.40668 3.8204 300 300 -105 11.7393 19.8565 0 0 -1 -1
0 0 0 0 0 4.43916 2.79868 1.8337 3.07268 0 3.40657 0 300 300 207 11.7393 19.8565 0 0 -1 -1
0 0 0 0 0 4.439 2.79857 1.83362 3.07253 0 3.40641 0 300 300 -74 11.7393 19.4248 0 0 -1 -1
0 0.876859 0 2.75547 0.267494 0 4.79845 0 0 0 4.40626 0 300 300 -105 11.7393 19.8565 0 0 -1 -1
0 0.876823 0 2.75532 0.267477 0 4.79825 0 0 0 4.40606 0 300 300 425 11.7393 21.1514 0 0 -1 -1
0 0.876787 0 2.75517 0.267461 0 4.79805 0 0 0 4.40586 0 300 300 175 11.7393 20.2881 0 0 -1 -1
2.62787 0 3.16515 0.755026 1.26744 3.43912 0 0 3.07266 1.3251 0 2.82096 300 300 456 11.7393 20.7198 0 0 -1 -1
2.62773 0 3.16503 0.754986 1.26737 3.43899 0 0 3.07251 1.32506 0 2.82087 300 300 175 11.7393 20.2881 0 0 -1 -1
2.62758 4.87742 0 0 0 0.438863 0 4.83375 0 4.32503 0 0 300 300 50 12.1741 19.8565 0 0 -1 -1
2.62744 4.87722 0 0 0 0.438847 0 4.83355 0 4.32491 0 0 300 300 300 12.1741 20.7198 0 0 -1 -1
2.62729 4.87702 0 0 0 0.43883 0 4.83335 0 4.32479 0 0 300 300 300 12.1741 20.7198 0 0 -1 -1
2.62715 0.876818 0 3.75499 5.26797 0.438814 0 0 5.0725 0 0.406068 0 300 300 143 12.1741 18.5615 0 0 -1 -1
2.627 0.876782 0 3.75479 5.26765 0.438798 0 0 5.07225 0 0.406049 0 300 300 -13 12.1741 18.5615 0 0 -1 -1
0 5.87675 3.1653 0.754585 1.26733 0.438782 0 0.833246 6.072 2.32482 0 0 300 300 112 12.1741 18.9931 0 0 -1 -1
0 5.8765 3.16518 0.754545 1.26725 0.438766 0 0.833211 6.0717 2.32476 0 0 300 300 144 12.1741 18.5615 0 0 -1 -1
0 5.87626 3.16506 0.754505 1.26717 0.43875 0 0.833177 6.0714 2.32469 0 0 300 300 269 12.1741 18.9931 0 0 -1 -1
0.627085 0 0 0.754465 0.267097 0 2.79922 0.833142 0 0 0 0 300 300 144 12.1741 18.5615 0 0 -1 -1
0.62705 0 0 0.754425 0.267081 0 2.79911 0.833108 0 0 0 0 300 300 82 12.1741 19.4248 0 0 -1 -1
1.62702 8.87636 3.16515 1.75438 1.26706 2.439 0 0.833073 0.0711951 2.32472 0 0 300 300 207 12.1741 19.8565 0 0 -1 -1
1.62693 8.876 3.16503 1.75429 1.26699 2.43891 0 0.833039 0.0711916 2.32466 0 0 300 300 51 12.1741 19.8565 0 0 -1 -1
1.62684 8.87563 3.16491 1.7542 1.26691 2.43882 0 0.833005 0.0711881 2.32459 0 0 300 300 51 12.6089 19.8565 0 0 -1 -1
5.62675 8.87527 1.16479 4.7541 1.26683 3.43873 0 0 3.07118 11.3245 1.40702 2.82112 300 300 51 12.6089 19.8565 0 0 -1 -1
5.62644 8.8749 1.16474 4.75385 1.26675 3.4386 0 0 3.07103 11.3242 1.40695 2.82104 300 300 51 12.6089 19.8565 0 0 -1 -1
0 4.87454 0 0 5.26668 1.43847 2.79999 0.833315 0.0708829 0 2.40689 0 300 300 176 12.6089 20.2881 0 0 -1 -1
0 4.87434 0 0 5.26635 1.43842 2.79987 0.83328 0.0708794 0 2.40678 0 300 300 51 12.6089 19.8565 0 0 -1 -1
0 4.87414 0 0 5.26603 1.43837 2.79976 0.833246 0.070876 0 2.40667 0 300 300 301 12.6089 20.2881 0 0 -1 -1
1.62635 0 0 0 0 0 1.79964 3.83321 0 0 1.40656 0.821061 300 300 177 12.6089 19.8565 0 0 -1 -1
