450P -> 1000P -> 50C4
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.2
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
4.42908 4.84198 37.4843 0 2.03079 23.8269 0 13.2834 2.19941 3.01485 25.5137 2.98519 1000 1000 537 38.6959 12.95 0 0 -1 -1
4.42882 4.84178 37.4843 0 2.03069 23.8269 0 13.2834 2.1993 3.01476 25.5137 2.98504 1000 1000 543 38.6959 12.95 0 0 -1 -1
1.42857 0 33.4843 0 0 16.8269 0.945427 8.28342 0 0 23.5137 0 1000 0 502 38.6959 12.95 0 0 -1 -1
1.42849 0 33.4843 0 0 16.8269 0.94536 8.28305 0 0 23.5137 0 1000 0 414 38.6959 14.245 0 0 -1 -1
1.4284 0 33.4843 0 0 16.8269 0.945294 8.28268 0 0 23.5137 0 1000 0 388 39.1307 14.6766 0 0 -1 -1
0 4.84185 40.4843 4.78545 0.0308787 14.8269 0 6.28231 0 0 27.5137 1.9849 1000 1000 487 38.6959 13.3816 0 0 -1 -1
0 4.84165 40.4843 4.78512 0.0308771 14.8269 0 6.28203 0 0 27.5137 1.9848 1000 1000 649 38.6959 13.3816 0 0 -1 -1
0 3.84145 35.4843 0.784781 0.0308756 18.8269 0.945236 17.2817 3.19948 0.0148992 28.5137 1.9847 1000 0 530 38.6959 12.95 0 0 -1 -1
0 3.8413 35.4843 0.784725 0.0308741 18.8269 0.94517 17.2817 3.19933 0.0148988 28.5137 1.98461 1000 0 191 38.6959 12.95 0 0 -1 -1
0 3.84114 35.4843 0.78467 0.0308725 18.8269 0.945104 17.2817 3.19918 0.0148983 28.5137 1.98451 1000 0 416 38.6959 12.95 0 0 -1 -1
1.4286 1.84098 37.4843 0.784615 0.030871 20.8269 0 9.28175 0 2.0149 19.5137 0 1000 1000 671 39.1307 14.6766 0 0 -1 -1
1.42852 1.84091 37.4843 0.78456 0.0308694 20.8269 0 9.28133 0 2.01484 19.5137 0 1000 1000 708 38.6959 12.95 0 0 -1 -1
0 0 39.4843 6.78451 7.03087 25.8269 0 8.28092 1.1992 3.01478 23.5137 4.98451 1000 0 682 38.6959 13.3816 0 0 -1 -1
0 0 39.4843 6.78403 7.03052 25.8269 0 8.28055 1.19914 3.0147 23.5137 4.98427 1000 0 344 38.6959 13.3816 0 0 -1 -1
0 0 38.4843 1.78355 3.03017 14.8269 0 8.28018 1.19909 3.01461 23.5137 4.98402 1000 1000 226 38.6959 13.3816 0 0 -1 -1
0 0 38.4843 1.78343 3.03002 14.8269 0 15.2798 0 0 20.5137 4.98378 1000 0 1043 39.1307 15.1083 0 0 -1 -1
0 0 38.4843 1.7833 3.02987 14.8269 0 15.2798 0 0 20.5137 4.98354 1000 0 487 39.1307 14.245 0 0 -1 -1
0 6.84148 36.4843 4.78318 1.02972 16.8269 0 5.27981 7.1992 6.0147 25.5137 0 1000 1000 429 38.6959 12.95 0 0 -1 -1
0 6.8412 36.4843 4.78284 1.02966 16.8269 0 5.27957 7.19886 6.01453 25.5137 0 1000 1000 435 38.6959 12.95 0 0 -1 -1
1.42947 6.84092 41.4843 1.78251 0 20.8269 0 15.2793 2.19852 4.01436 16.5137 6.98329 1000 0 472 39.1307 14.6766 0 0 -1 -1
1.42939 6.84064 41.4843 1.78238 0 20.8269 0 15.2793 2.19841 4.01424 16.5137 6.98295 1000 0 477 39.1307 14.6766 0 0 -1 -1
1.42931 6.84036 41.4843 1.78225 0 20.8269 0 15.2793 2.19831 4.01413 16.5137 6.98261 1000 0 389 39.1307 13.8133 0 0 -1 -1
