... -> 1000P -> 50C4 -> 1000P -> 50C4
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.2
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
2.37712 0 45.4535 1.66733 0 15.4653 0 9.96031 2.18851 3.94476 19.0927 2.8128 1000 0 597 39.1307 14.245 0 0 -1 -1
2.37698 0 45.4535 1.66721 0 15.4653 0 9.95987 2.1884 3.94465 19.0927 2.81266 1000 0 478 39.1307 13.8133 0 0 -1 -1
0 0 37.4535 6.6671 3.03314 21.4653 0.0255046 9.95942 0.1883 0 24.0927 0 1000 0 203 39.1307 13.3816 0 0 -1 -1
0 0 37.4535 6.66663 3.03299 21.4653 0.0255028 9.95898 0.188291 0 24.0927 0 1000 0 334 39.1307 13.8133 0 0 -1 -1
4.37692 1.72504 35.4535 0.66616 0 17.4653 0 14.9585 1.18828 0 23.0927 1.81254 1000 0 465 39.1307 14.245 0 0 -1 -1
4.37666 1.72497 35.4535 0.666114 0 17.4653 0 14.9585 1.18823 0 23.0927 1.81246 1000 0 346 39.1307 13.8133 0 0 -1 -1
4.37641 1.7249 35.4535 0.666067 0 17.4653 0 14.9585 1.18817 0 23.0927 1.81237 1000 0 757 39.1307 14.6766 0 0 -1 -1
0 0 38.4535 4.66602 4.03298 21.4653 1.02612 8.95853 4.18811 0 22.0927 0 1000 0 638 39.1307 14.245 0 0 -1 -1
0 0 38.4535 4.66569 4.03278 21.4653 1.02605 8.95813 4.18791 0 22.0927 0 1000 0 363 39.1307 13.8133 0 0 -1 -1
2.37623 0.725015 43.4535 0 1.03258 20.4653 0 7.95773 0 5.94461 27.0927 1.81239 1000 0 650 39.1307 14.245 0 0 -1 -1
2.3761 0.724986 43.4535 0 1.03253 20.4653 0 7.95738 0 5.94444 27.0927 1.81231 1000 0 656 39.1307 14.245 0 0 -1 -1
2.37596 0.724957 43.4535 0 1.03248 20.4653 0 7.95702 0 5.94427 27.0927 1.81222 1000 0 568 39.1307 13.3816 0 0 -1 -1
6.37582 9.72493 41.4535 3.66544 0 18.4653 0 13.9567 4.18826 4.9441 19.0927 2.81213 1000 0 543 39.1307 13.8133 0 0 -1 -1
6.37546 9.72453 41.4535 3.66518 0 18.4653 0 13.9567 4.18806 4.94396 19.0927 2.81199 1000 0 517 39.1307 14.245 0 0 -1 -1
6.37509 9.72414 41.4535 3.66492 0 18.4653 0 13.9567 4.18786 4.94382 19.0927 2.81185 1000 0 523 39.1307 14.245 0 0 -1 -1
0.374726 0.723742 41.4535 8.66466 0 18.4653 0 10.9567 0.187663 5.94368 26.0927 0 1000 0 410 39.1307 13.3816 0 0 -1 -1
0.374704 0.723713 41.4535 8.66405 0 18.4653 0 10.9562 0.187654 5.94351 26.0927 0 1000 0 447 39.1307 13.8133 0 0 -1 -1
7.37468 5.72368 37.4535 3.66345 2.03287 22.4653 0 14.9557 0 0.943344 27.0927 0 1000 0 408 39.1307 13.8133 0 0 -1 -1
7.37426 5.72345 37.4535 3.66319 2.03277 22.4653 0 14.9557 0 0.943317 27.0927 0 1000 0 476 39.1307 13.3816 0 0 -1 -1
7.37384 5.72322 37.4535 3.66293 2.03266 22.4653 0 14.9557 0 0.94329 27.0927 0 1000 0 452 38.6959 13.3816 0 0 -1 -1
0.373412 0.722986 43.4535 1.66268 0.0325636 15.4653 1.02799 13.9557 1.1879 0 24.0927 4.81215 1000 0 489 38.6959 12.95 0 0 -1 -1
0.373391 0.722957 43.4535 1.66256 0.032562 15.4653 1.02792 13.9557 1.18785 0 24.0927 4.81192 1000 0 432 38.6959 13.3816 0 0 -1 -1
1.37337 9.72293 45.4535 0.662442 2.03256 17.4653 0 17.9557 2.18779 3.94327 25.0927 0.811682 1000 0 188 38.6959 12.95 0 0 -1 -1
1.37329 9.72253 45.4535 0.662395 2.03246 17.4653 0 17.9557 2.18769 3.94315 25.0927 0.811642 1000 1000 538 39.1307 14.245 0 0 -1 -1
1.37321 9.72214 45.4535 0.662349 2.03236 17.4653 0 17.9557 2.18758 3.94304 25.0927 0.811602 1000 1000 514 39.1307 13.3816 0 0 -1 -1
0 0 40.4535 3.6623 2.03226 20.4653 0 11.9557 0.187479 3.94293 25.0927 0.811563 1000 1000 642 39.1307 13.8133 0 0 -1 -1
0 0 40.4535 3.66205 2.03216 20.4653 0 11.9557 0.18747 3.94282 25.0927 0.811523 1000 1000 495 39.1307 13.8133 0 0 -1 -1
3.3732 5.72209 36.4535 0 0 22.4653 0.0288135 14.9557 3.18746 0 19.0927 0 1000 1000 654 39.1307 13.8133 0 0 -1 -1
3.37301 5.72186 36.4535 0 0 22.4653 0.0288115 14.9557 3.18731 0 19.0927 0 1000 1000 661 39.1307 13.8133 0 0 -1 -1
3.37282 5.72163 36.4535 0 0 22.4653 0.0288095 14.9557 3.18716 0 19.0927 0 1000 1000 949 39.1307 14.245 0 0 -1 -1
1.37262 3.72139 38.4535 2.66186 5.0325 18.4653 0 14.9557 2.18701 1.9428 19.0927 2.8118 1000 1000 676 39.1307 13.8133 0 0 -1 -1
1.37254 3.72124 38.4535 2.66167 5.03225 18.4653 0 14.9557 2.1869 1.94274 19.0927 2.81167 1000 1000 961 39.1307 14.245 0 0 -1 -1
0.372466 0 40.4535 3.66149 1.032 13.4653 0 5.95569 2.1868 1.94269 23.0927 1.81153 1000 1000 841 39.1307 13.8133 0 0 -1 -1
0.372444 0 40.4535 3.66123 1.03195 13.4653 0 5.95542 2.1867 1.94263 23.0927 1.81144 1000 1000 972 39.1307 14.245 0 0 -1 -1
0.372423 0 40.4535 3.66097 1.03189 13.4653 0 5.95515 2.18659 1.94258 23.0927 1.81135 1000 1000 978 39.1307 14.245 0 0 -1 -1
0.372401 3.72112 37.4535 0.660714 3.03184 17.4653 0 13.9549 2.18649 4.94252 23.0927 2.81126 1000 1000 827 39.1307 14.245 0 0 -1 -1
0.37238 3.72097 37.4535 0.660668 3.03169 17.4653 0 13.9549 2.18639 4.94238 23.0927 2.81113 1000 1000 990 39.1307 14.245 0 0 -1 -1
0 1.72082 40.4535 3.66062 0 18.4653 0 12.9549 0.186282 7.94224 27.0927 0 1000 1000 838 39.1307 14.245 0 0 -1 -1
0 1.72075 40.4535 3.66036 0 18.4653 0 12.9549 0.186273 7.94202 27.0927 0 1000 1000 751 38.6959 13.3816 0 0 -1 -1
0 1.72068 40.4535 3.66011 0 18.4653 0 12.9549 0.186265 7.94179 27.0927 0 1000 1000 882 39.1307 13.8133 0 0 -1 -1
0.372811 0 40.4535 2.65985 0.0316858 13.4653 3.03025 10.9549 0 0 27.0927 3.81131 1000 1000 1013 39.1307 14.245 0 0 -1 -1
0.37279 0 40.4535 2.65966 0.0316843 13.4653 3.03004 10.9544 0 0 27.0927 3.81112 1000 1000 893 39.1307 13.8133 0 0 -1 -1
1.37277 1.72096 38.4535 2.65948 1.03168 14.4653 3.02983 13.9539 1.18652 0 25.0927 0 1000 1000 899 39.1307 13.8133 0 0 -1 -1
1.37269 1.72089 38.4535 2.65929 1.03163 14.4653 3.02962 13.9539 1.18647 0 25.0927 0 1000 1000 1061 39.1307 13.8133 0 0 -1 -1
2.37261 5.72082 35.4535 1.6591 0 19.4653 0 14.9539 1.18641 2.94186 25.0927 3.81095 1000 1000 786 39.1307 13.3816 0 0 -1 -1
2.37247 5.72059 35.4535 1.65899 0 19.4653 0 14.9539 1.18635 2.94177 25.0927 3.81077 1000 1000 634 39.1307 13.3816 0 0 -1 -1
2.37234 5.72036 35.4535 1.65887 0 19.4653 0 14.9539 1.1863 2.94169 25.0927 3.81058 1000 1000 470 39.1307 13.3816 0 0 -1 -1
1.3722 3.72012 37.4535 0.658754 0 16.4653 0.0300306 12.9539 0 0.941606 27.0927 4.81039 1000 1000 476 39.1307 13.3816 0 0 -1 -1
1.37212 3.71997 37.4535 0.658708 0 16.4653 0.0300285 12.9539 0 0.941579 27.0927 4.81016 1000 1000 482 39.1307 13.3816 0 0 -1 -1
0 0 40.4535 1.65866 0 17.4653 1.03003 10.9539 0 0 23.0927 4.80992 1000 1000 457 39.1307 13.8133 0 0 -1 -1
0 0 40.4535 1.65855 0 17.4653 1.02995 10.9534 0 0 23.0927 4.80969 1000 1000 495 39.1307 13.3816 0 0 -1 -1
0 0 40.4535 1.65843 0 17.4653 1.02988 10.9529 0 0 23.0927 4.80945 1000 1000 501 39.1307 13.3816 0 0 -1 -1
4.37232 3.71986 40.4535 0 2.03226 16.4653 0 15.9524 0.187003 2.94156 24.0927 2.80922 1000 1000 663 39.1307 13.3816 0 0 -1 -1
4.37207 3.7197 40.4535 0 2.03216 16.4653 0 15.9524 0.186994 2.94147 24.0927 2.80908 1000 1000 919 39.1307 14.245 0 0 -1 -1
0.371823 1.71955 38.4535 1.65836 0 18.4653 0.0302257 12.9524 0.186985 0 28.0927 2.80894 1000 1000 925 39.1307 14.245 0 0 -1 -1
0.371801 1.71948 38.4535 1.65824 0 18.4653 0.0302236 12.9524 0.186976 0 28.0927 2.8088 1000 1000 930 39.1307 14.245 0 0 -1 -1
0.37178 1.71941 38.4535 1.65813 0 18.4653 0.0302215 12.9524 0.186968 0 28.0927 2.80867 1000 1000 811 39.1307 13.8133 0 0 -1 -1
2.37176 0 37.4535 1.65801 0 15.4653 0.0302194 14.9524 0 0 24.0927 1.80853 1000 1000 942 39.1307 14.245 0 0 -1 -1
2.37162 0 37.4535 1.65789 0 15.4653 0.0302173 14.9524 0 0 24.0927 1.80844 1000 1000 510 39.1307 13.8133 0 0 -1 -1
1.37149 1.71945 41.4535 1.65778 0 20.4653 0 12.9524 6.18713 4.94188 18.0927 3.80835 1000 1000 513 39.1307 13.8133 0 0 -1 -1
1.37141 1.71938 41.4535 1.65766 0 20.4653 0 12.9524 6.18684 4.94174 18.0927 3.80817 1000 1000 833 39.1307 14.245 0 0 -1 -1
1.37133 1.71931 41.4535 1.65755 0 20.4653 0 12.9524 6.18654 4.9416 18.0927 3.80798 1000 1000 879 39.1307 13.8133 0 0 -1 -1
2.37125 0 40.4535 0 4.0326 14.4653 0 12.9524 0.186251 1.94146 19.0927 6.80779 1000 1000 763 39.1307 14.245 0 0 -1 -1
2.37111 0 40.4535 0 4.0324 14.4653 0 12.9524 0.186242 1.94141 19.0927 6.80746 1000 1000 737 39.1307 14.6766 0 0 -1 -1
2.37098 2.71926 34.4535 2.65776 4.03219 17.4653 1.03097 15.9524 0.186233 0 23.0927 3.80713 1000 1000 1182 39.5654 14.6766 0 0 -1 -1
2.37084 2.71915 34.4535 2.65757 4.03199 17.4653 1.0309 15.9524 0.186224 0 23.0927 3.80694 1000 1000 1032 39.1307 14.6766 0 0 -1 -1
2.37071 2.71904 34.4535 2.65738 4.03179 17.4653 1.03083 15.9524 0.186215 0 23.0927 3.80675 1000 1000 755 39.1307 14.245 0 0 -1 -1
0.370569 0 38.4535 0 0 21.4653 1.03076 7.95244 0.186207 0 24.0927 0 1000 1000 480 39.1307 13.8133 0 0 -1 -1
0.370548 0 38.4535 0 0 21.4653 1.03069 7.95209 0.186198 0 24.0927 0 1000 1000 486 39.1307 13.8133 0 0 -1 -1
3.37053 4.71895 43.4535 0.657246 1.03189 15.4653 0 14.9517 2.18619 5.94156 21.0927 2.80698 1000 1000 617 39.1307 14.245 0 0 -1 -1
3.37033 4.71876 43.4535 0.6572 1.03184 15.4653 0 14.9517 2.18609 5.94139 21.0927 2.80684 1000 1000 653 39.1307 13.8133 0 0 -1 -1
3.37014 4.71857 43.4535 0.657154 1.03179 15.4653 0 14.9517 2.18598 5.94122 21.0927 2.8067 1000 1000 503 39.1307 13.8133 0 0 -1 -1
2.36995 3.71838 41.4535 2.65711 0 20.4653 0 10.9517 1.18588 3.94105 24.0927 6.80656 1000 1000 634 39.1307 14.245 0 0 -1 -1
2.36981 3.71823 41.4535 2.65692 0 20.4653 0 10.9512 1.18582 3.94094 24.0927 6.80623 1000 1000 984 39.1307 13.8133 0 0 -1 -1
5.36967 0.718076 37.4535 3.65673 0.0318308 16.4653 0 10.9508 0 0 27.0927 8.8059 1000 1000 674 39.1307 13.8133 0 0 -1 -1
5.36936 0.718047 37.4535 3.65648 0.0318292 16.4653 0 10.9503 0 0 27.0927 8.80547 1000 1000 993 39.1307 13.8133 0 0 -1 -1
5.36906 0.718017 37.4535 3.65622 0.0318276 16.4653 0 10.9498 0 0 27.0927 8.80504 1000 1000 529 39.1307 13.8133 0 0 -1 -1
0 0 37.4535 0 0 22.4653 1.03199 6.94929 2.18588 0 22.0927 0 1000 1000 537 39.1307 13.8133 0 0 -1 -1
0 0 37.4535 0 0 22.4653 1.03192 6.94898 2.18578 0 22.0927 0 1000 1000 572 39.1307 13.3816 0 0 -1 -1
0 0 35.4535 2.65601 2.03222 23.4653 0 15.9487 0 2.94123 27.0927 2.80462 1000 1000 578 39.1307 13.3816 0 0 -1 -1
0 0 35.4535 2.65583 2.03212 23.4653 0 15.9487 0 2.94115 27.0927 2.80449 1000 1000 584 39.1307 13.3816 0 0 -1 -1
0 0 35.4535 2.65564 2.03202 23.4653 0 15.9487 0 2.94107 27.0927 2.80435 1000 1000 559 39.1307 13.8133 0 0 -1 -1
0 0.71833 39.4535 4.65545 2.03192 16.4653 0.0331015 14.9487 0.186074 0 24.0927 0 1000 1000 565 39.1307 13.8133 0 0 -1 -1
0 0.718301 39.4535 4.65513 2.03182 16.4653 0.0330991 14.9487 0.186066 0 24.0927 0 1000 1000 571 39.1307 13.8133 0 0 -1 -1
0.369691 4.71827 39.4535 0 1.03172 19.4653 0 17.9487 1.18606 3.94104 21.0927 0 1000 1000 577 39.1307 13.8133 0 0 -1 -1
0.36967 4.71808 39.4535 0 1.03166 19.4653 0 17.9487 1.186 3.94093 21.0927 0 1000 1000 863 39.1307 14.245 0 0 -1 -1
0.369649 4.71789 39.4535 0 1.03161 19.4653 0 17.9487 1.18594 3.94082 21.0927 0 1000 1000 588 39.1307 13.8133 0 0 -1 -1
2.36963 0 35.4535 3.65508 0 19.4653 4.03393 13.9487 0 0 23.0927 0 1000 1000 719 39.1307 14.245 0 0 -1 -1
2.36949 0 35.4535 3.65483 0 19.4653 4.03365 13.9487 0 0 23.0927 0 1000 1000 599 39.1307 13.8133 0 0 -1 -1
0 0 43.4535 3.65457 0.0318567 14.4653 0.0333648 14.9487 0 0 23.0927 0 1000 1000 730 39.1307 14.245 0 0 -1 -1
0 0 43.4535 3.65431 0.0318552 14.4653 0.0333624 14.9487 0 0 23.0927 0 1000 1000 737 39.1307 14.245 0 0 -1 -1
0 0 43.4535 3.65406 0.0318536 14.4653 0.0333601 14.9487 0 0 23.0927 0 1000 1000 900 39.1307 14.245 0 0 -1 -1
0 1.71881 38.4535 4.6538 0 20.4653 1.03336 20.9487 0 2.94109 26.0927 0 1000 1000 781 39.1307 13.8133 0 0 -1 -1
0 1.71874 38.4535 4.65347 0 20.4653 1.03329 20.9487 0 2.941 26.0927 0 1000 1000 787 39.1307 13.8133 0 0 -1 -1
0 0 39.4535 2.65315 0 19.4653 1.03321 19.9487 2.18701 0 20.0927 0 1000 1000 918 39.1307 14.245 0 0 -1 -1
0 0 39.4535 2.65296 0 19.4653 1.03314 19.9487 2.18691 0 20.0927 0 1000 1000 923 39.1307 13.8133 0 0 -1 -1
0 0 39.4535 2.65277 0 19.4653 1.03307 19.9487 2.1868 0 20.0927 0 1000 1000 929 39.1307 14.245 0 0 -1 -1
0 0 38.4535 1.65259 0 20.4653 0.0329966 13.9487 1.1867 0 20.0927 0 1000 1000 935 39.1307 14.245 0 0 -1 -1
0 0 38.4535 1.65247 0 20.4653 0.0329943 13.9487 1.18664 0 20.0927 0 1000 1000 783 39.1307 14.245 0 0 -1 -1
3.36983 0.719133 42.4535 4.65236 1.03264 15.4653 0 13.9487 6.18659 0.941295 18.0927 1.80486 1000 1000 946 39.1307 13.8133 0 0 -1 -1
3.36964 0.719104 42.4535 4.65203 1.03259 15.4653 0 13.9487 6.18629 0.941269 18.0927 1.80478 -90 1000 795 39.1307 14.245 0 0 -1 -1
3.36945 0.719075 42.4535 4.6517 1.03253 15.4653 0 13.9487 6.186 0.941242 18.0927 1.80469 -90.2 0 645 38.6959 13.3816 0 0 -1 -1
0 2.71905 39.4535 1.65138 3.03248 17.4653 1.03361 8.94867 0.185708 0 25.0927 6.8046 -90.4 -90 556 38.6959 13.3816 0 0 -1 -1
0 2.71894 39.4535 1.65126 3.03233 17.4653 1.03354 8.94827 0.185699 0 25.0927 6.80427 -90.6 -90 562 38.6959 13.3816 0 0 -1 -1
0 0 35.4535 3.65114 2.03218 13.4653 4.03347 19.9479 0 0 18.0927 0 -90.8 -90 570 38.6959 13.3816 0 0 -1 -1
0 0 35.4535 3.65089 2.03208 13.4653 4.03319 19.9479 0 0 18.0927 0 -91 -91 576 38.6959 13.3816 0 0 -1 -1
0 0 35.4535 3.65063 2.03198 13.4653 4.03291 19.9479 0 0 18.0927 0 -91.2 -91 707 38.6959 13.8133 0 0 -1 -1
2.36983 4.72032 38.4535 1.65038 4.03188 19.4653 0 12.9479 2.18609 4.94171 25.0927 2.80455 -91.4 -91 588 38.6959 13.3816 0 0 -1 -1
2.3697 4.72013 38.4535 1.65026 4.03168 19.4653 0 12.9479 2.18599 4.94157 25.0927 2.80441 -91.6 -91 626 38.6959 12.95 0 0 -1 -1
4.36956 0 34.4535 0 2.03148 18.4653 0 15.9479 5.18588 1.94143 22.0927 6.80427 -91.8 -91 633 38.6959 12.95 0 0 -1 -1
4.36931 0 34.4535 0 2.03138 18.4653 0 15.9479 5.18564 1.94137 22.0927 6.80394 -92 -92 471 38.6959 13.3816 0 0 -1 -1
4.36906 0 34.4535 0 2.03127 18.4653 0 15.9479 5.18539 1.94132 22.0927 6.80361 -92.2 -92 477 38.6959 13.3816 0 0 -1 -1
2.36881 0.720216 45.4535 1.65043 0 14.4653 0 8.94787 8.18515 5.94126 21.0927 2.80327 -92.4 -92 484 38.6959 13.3816 0 0 -1 -1
