... -> 50C4 -> 1000P -> 50C4 -> 1000P
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.2
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0.180928 0 20.3974 0.233361 2.05534 4.82803 2.33096 0.231015 0.1519 0 9.17923 2.2491 0 0 252 29.1307 19.8565 0 0 -1 -1
0 0.36562 19.3974 0.233344 0.0552358 5.82779 0.330802 1.23101 0.151893 0 4.17873 5.24899 0 0 128 29.1307 20.2881 0 0 -1 -1
0 0.365606 19.3974 0.233328 0.055233 5.82749 0.330779 1.23095 0.151886 0 4.17851 5.24873 0 0 128 29.1307 20.2881 0 0 -1 -1
0.181471 0 23.3974 0.233311 0 7.8272 1.33076 0 0 0.634883 5.17828 0 0 0 97 29.1307 20.2881 0 0 -1 -1
0.181461 0 23.3974 0.233295 0 7.82681 1.33066 0 0 0.634865 5.178 0 0 0 128 29.1307 20.2881 0 0 -1 -1
0.181451 0 23.3974 0.233279 0 7.82641 1.33057 0 0 0.634847 5.17772 0 0 0 409 29.1307 20.2881 0 0 -1 -1
6.18144 0 20.3974 0 3.05537 12.826 0 0 1.15228 0 5.17743 2.24859 0 0 378 29.1307 20.7198 0 0 -1 -1
6.18109 0 20.3974 0 3.05522 12.826 0 0 1.15223 0 5.17715 2.24848 0 0 378 29.1307 20.7198 0 0 -1 -1
0.18073 1.3658 29.3974 2.23379 0 4.82602 0 1.23151 4.15217 5.63485 0.17687 2.24837 0 0 222 29.1307 20.2881 0 0 -1 -1
0.18072 1.36575 29.3974 2.23363 0 4.82578 0 1.23146 4.15198 5.63469 0.176861 2.24826 0 0 222 29.1307 20.2881 0 0 -1 -1
0.180709 1.36569 29.3974 2.23348 0 4.82553 0 1.2314 4.15178 5.63453 0.176851 2.24815 0 0 66 29.1307 20.2881 0 0 -1 -1
4.1807 0 19.3974 1.23332 3.05551 5.82529 0 3.23135 2.15158 3.63437 6.17684 4.24804 0 0 222 29.1307 20.2881 0 0 -1 -1
4.18046 0 19.3974 1.23323 3.05535 5.825 0 3.2312 2.15148 3.63427 6.17651 4.24783 0 0 254 29.1307 19.8565 0 0 -1 -1
1.18022 1.36577 26.3974 2.23315 3.0552 1.82471 0 3.23106 0 3.63416 7.17617 0.24762 0 0 223 29.1307 20.2881 0 0 -1 -1
