... -> 300P -> 700P -> 1100P -> 40C4
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.2
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0.518892 0 33.1401 0 0 23.431 1.22801 14.4453 0 0 22.3789 1.61562 1100 0 449 36.522 16.4032 0 0 -1 -1
0.518863 0 33.1401 0 0 23.431 1.22793 14.4453 0 0 22.3789 1.61555 1100 1100 359 36.0872 15.5399 0 0 -1 -1
0 0 29.1401 6.08549 0 35.431 0 9.44532 0 7.8408 19.3789 1.61548 1100 0 18 36.522 15.9716 0 0 -1 -1
0 0 29.1401 6.0851 0 35.431 0 9.44478 0 7.84048 19.3789 1.61541 1100 0 366 36.522 15.5399 0 0 -1 -1
1.51912 6.18198 38.1401 4.0847 0 24.431 0 8.44425 5.55742 4.84016 19.3789 0 1100 1100 369 36.0872 15.5399 0 0 -1 -1
1.51903 6.18174 38.1401 4.08444 0 24.431 0 8.44377 5.55698 4.83996 19.3789 0 1100 0 185 36.522 15.9716 0 0 -1 -1
1.51894 6.1815 38.1401 4.08418 0 24.431 0 8.44329 5.55654 4.83976 19.3789 0 1100 0 751 36.522 16.8349 0 0 -1 -1
0.518856 0.181263 37.1401 2.08391 1.6443 22.431 0 7.44281 0.5561 4.83956 17.3789 3.61565 1100 1100 535 36.0872 15.5399 0 0 -1 -1
0.518827 0.181256 37.1401 2.08378 1.64417 22.431 0 7.44239 0.556056 4.83936 17.3789 3.6155 1100 0 -54 36.0872 15.1083 0 0 -1 -1
5.5188 2.18125 32.1401 1.08365 0.644042 20.431 0 7.44197 0 5.83916 16.3789 0 1100 0 761 36.522 16.8349 0 0 -1 -1
5.51848 2.18117 32.1401 1.08358 0.643992 20.431 0 7.44155 0 5.83892 16.3789 0 1100 0 44 36.0872 15.9716 0 0 -1 -1
5.51816 2.18108 32.1401 1.08351 0.643941 20.431 0 7.44113 0 5.83868 16.3789 0 1100 0 81 36.0872 15.5399 0 0 -1 -1
0 2.181 37.1401 5.08344 0.643891 26.431 0 15.4407 1.55707 2.83844 15.3789 0 1100 0 615 36.522 16.8349 0 0 -1 -1
0 2.18091 37.1401 5.08311 0.64384 26.431 0 15.4407 1.55695 2.83832 15.3789 0 1100 1100 400 36.0872 15.5399 0 0 -1 -1
3.51802 0 36.1401 2.08278 2.64379 16.431 3.22978 9.4407 0 0 22.3789 0.615683 1100 0 -66 36.0872 15.5399 0 0 -1 -1
3.51782 0 36.1401 2.08265 2.64358 16.431 3.22958 9.44017 0 0 22.3789 0.615656 1100 0 595 36.522 15.1083 0 0 -1 -1
3.51762 0 36.1401 2.08251 2.64338 16.431 3.22937 9.43963 0 0 22.3789 0.61563 1100 1100 474 36.0872 14.6766 0 0 -1 -1
0 1.18139 35.1401 0.0823793 0.643169 26.431 0 12.4391 1.55693 4.83835 22.3789 4.6156 1100 0 164 36.0872 14.6766 0 0 -1 -1
0 1.18134 35.1401 0.082374 0.643119 26.431 0 12.4391 1.55681 4.83815 22.3789 4.6154 1100 0 856 36.522 15.9716 0 0 -1 -1
3.5177 9.18129 31.1401 0 0 20.431 0 18.4391 0 2.83795 26.3789 1.6152 1100 1100 485 36.0872 14.6766 0 0 -1 -1
3.5175 9.18094 31.1401 0 0 20.431 0 18.4391 0 2.83783 26.3789 1.61514 1100 0 145 36.0872 15.1083 0 0 -1 -1
3.5173 9.18059 31.1401 0 0 20.431 0 18.4391 0 2.83772 26.3789 1.61507 1100 0 679 36.522 16.4032 0 0 -1 -1
2.51709 3.18024 26.1401 4.08293 0 28.431 0 14.4391 1.55679 2.8376 18.3789 2.615 1100 1100 464 36.0872 15.1083 0 0 -1 -1
2.51695 3.18011 26.1401 4.08267 0 28.431 0 14.4391 1.55666 2.83748 18.3789 2.61488 1100 0 249 36.0872 15.9716 0 0 -1 -1
0 3.17999 32.1401 0.0824065 0 23.431 4.23015 13.4391 0 0 18.3789 0 1100 0 690 36.9567 16.4032 0 0 -1 -1
0 3.17987 32.1401 0.0824012 0 23.431 4.22988 13.4391 0 0 18.3789 0 1100 1100 568 36.0872 15.9716 0 0 -1 -1
0 3.17975 32.1401 0.0823959 0 23.431 4.22961 13.4391 0 0 18.3789 0 1100 0 103 36.522 15.9716 0 0 -1 -1
0 2.17963 39.1401 0.0823906 1.64478 24.431 1.22934 14.4391 0 0 20.3789 0 1100 0 576 36.522 15.9716 0 0 -1 -1
0 2.17954 39.1401 0.0823852 1.64465 24.431 1.22926 14.4391 0 0 20.3789 0 1100 1100 454 36.522 15.9716 0 0 -1 -1
0 0.179458 33.1401 0 0 20.431 3.22918 21.4391 0 2.83851 15.3789 3.61524 1100 0 83 36.522 15.9716 0 0 -1 -1
0 0.179451 33.1401 0 0 20.431 3.22897 21.4391 0 2.83839 15.3789 3.61509 1100 0 711 36.522 17.2665 0 0 -1 -1
0 0 33.1401 0 0 16.431 1.22877 17.4391 0 0 17.3789 0 1100 1100 465 36.0872 16.4032 0 0 -1 -1
0 0 33.1401 0 0 16.431 1.22869 17.4391 0 0 17.3789 0 1100 0 93 36.0872 15.5399 0 0 -1 -1
0 0 33.1401 0 0 16.431 1.22861 17.4391 0 0 17.3789 0 1100 0 597 36.522 17.2665 0 0 -1 -1
