... -> 1100P -> 40C4 -> 700P -> 1100P
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.2
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
1.58575 1.86335 39.0864 1.76379 1.8646 17.56 0 10.9928 0 2.7581 21.0412 2.08657 700 700 439 33.9133 16.8349 0 0 -1 -1
1.58566 1.86328 39.0864 1.76367 1.86446 17.56 0 10.9928 0 2.75799 21.0412 2.08648 700 700 442 33.9133 16.8349 0 0 -1 -1
0.585567 1.86321 36.0864 1.76356 0.86431 12.56 0 11.9928 1.82406 6.75788 15.0412 0.0863885 700 700 444 33.9133 16.8349 0 0 -1 -1
0.585533 1.86313 36.0864 1.76345 0.864242 12.56 0 11.9928 1.82392 6.7576 15.0412 0.0863847 700 700 447 33.9133 16.8349 0 0 -1 -1
0.5855 1.86306 36.0864 1.76333 0.864174 12.56 0 11.9928 1.82377 6.75732 15.0412 0.086381 700 700 449 33.9133 16.8349 0 0 -1 -1
3.58547 1.86299 42.0864 1.76322 0 19.56 0 9.99283 1.82363 3.75704 16.0412 2.08638 700 700 452 33.9133 16.8349 0 0 -1 -1
3.58526 1.86292 42.0864 1.76311 0 19.56 0 9.99227 1.82348 3.75689 16.0412 2.08629 700 700 455 33.9133 16.8349 0 0 -1 -1
0 4.86285 38.0864 0.762992 0 19.56 3.54901 4.9917 0 0 20.0412 0 700 700 615 33.9133 16.8349 0 0 -1 -1
0 4.86266 38.0864 0.762943 0 19.56 3.54879 4.99142 0 0 20.0412 0 700 700 460 33.9133 16.8349 0 0 -1 -1
0 4.86247 38.0864 0.762894 0 19.56 3.54856 4.99114 0 0 20.0412 0 700 700 463 33.9133 16.8349 0 0 -1 -1
0 0 38.0864 2.76284 3.86416 15.56 0.548335 7.99085 0 0 19.0412 2.08644 700 700 466 33.9133 16.8349 0 0 -1 -1
0 0 38.0864 2.76267 3.86386 15.56 0.5483 7.9904 0 0 19.0412 2.08635 700 700 593 33.9133 17.2665 0 0 -1 -1
0.585518 1.8623 40.0864 1.76249 1.86356 20.56 0 13.9899 1.82452 2.75711 24.0412 1.08626 700 700 596 33.9133 17.2665 0 0 -1 -1
0.585484 1.86223 40.0864 1.76238 1.86341 20.56 0 13.9899 1.82437 2.757 24.0412 1.08622 700 700 599 33.9133 17.2665 0 0 -1 -1
0.585451 1.86215 40.0864 1.76226 1.86326 20.56 0 13.9899 1.82423 2.75688 24.0412 1.08617 700 700 320 33.9133 16.8349 0 0 -1 -1
0 5.86208 37.0864 1.76215 1.86312 20.56 0.548352 4.98995 0 0 22.0412 0 700 700 479 33.9133 16.8349 0 0 -1 -1
0 5.86186 37.0864 1.76203 1.86297 20.56 0.548317 4.98967 0 0 22.0412 0 700 700 482 33.9133 16.8349 0 0 -1 -1
1.58558 4.86163 35.0864 0.761921 1.86283 17.56 0 9.98938 1.82475 1.75696 22.0412 5.08638 700 700 610 33.9133 17.2665 0 0 -1 -1
1.58549 4.86145 35.0864 0.761872 1.86268 17.56 0 9.98882 1.8246 1.75688 22.0412 5.08616 700 700 488 33.9133 16.8349 0 0 -1 -1
1.5854 4.86126 35.0864 0.761823 1.86253 17.56 0 9.98825 1.82446 1.75681 22.0412 5.08594 700 700 335 33.9133 16.8349 0 0 -1 -1
4.58531 0 38.0864 0 1.86239 20.56 0 12.9877 1.82431 0.756738 16.0412 1.08572 700 700 463 33.9133 17.2665 0 0 -1 -1
4.58504 0 38.0864 0 1.86224 20.56 0 12.9877 1.82417 0.756707 16.0412 1.08567 700 700 466 33.9133 17.2665 0 0 -1 -1
1.58478 0.861159 35.0864 5.76193 0 15.56 0 12.9877 0 3.75668 19.0412 2.08562 700 700 499 33.9133 16.8349 0 0 -1 -1
1.58469 0.861126 35.0864 5.76156 0 15.56 0 12.9877 0 3.75652 19.0412 2.08553 700 700 502 33.9133 17.2665 0 0 -1 -1
1.5846 0.861093 35.0864 5.76119 0 15.56 0 12.9877 0 3.75637 19.0412 2.08544 700 700 505 33.9133 16.8349 0 0 -1 -1
0 2.86106 39.0864 0 2.86283 19.56 3.54928 10.9877 1.82478 0 18.0412 2.08535 700 700 507 33.9133 17.2665 0 0 -1 -1
0 2.86095 39.0864 0 2.86261 19.56 3.54905 10.9877 1.82464 0 18.0412 2.08526 700 700 354 33.9133 16.8349 0 0 -1 -1
0 2.86084 38.0864 0.760979 0.862386 19.56 0 9.98769 1.82449 1.75623 19.0412 1.08517 700 700 638 33.9133 16.8349 0 0 -1 -1
0 2.86073 38.0864 0.76093 0.862319 19.56 0 9.98712 1.82435 1.75616 19.0412 1.08513 700 700 516 33.9133 16.8349 0 0 -1 -1
0 2.86062 38.0864 0.760881 0.862251 19.56 0 9.98656 1.8242 1.75609 19.0412 1.08508 700 700 519 33.9133 17.2665 0 0 -1 -1
0 4.86051 40.0864 1.76083 0 22.56 0 10.986 1.82406 2.75602 20.0412 2.08503 700 700 523 33.9133 16.8349 0 0 -1 -1
0 4.86032 40.0864 1.76072 0 22.56 0 10.986 1.82391 2.7559 20.0412 2.08494 700 700 525 33.9133 16.8349 0 0 -1 -1
4.58479 0 38.0864 0 0 17.56 0 11.986 1.82377 2.75579 22.0412 0 700 700 528 33.9133 16.8349 0 0 -1 -1
4.58453 0 38.0864 0 0 17.56 0 11.986 1.82362 2.75567 22.0412 0 700 700 531 33.9133 16.8349 0 0 -1 -1
0 0 38.0864 1.76077 0 13.56 0.550174 11.986 1.82348 2.75556 22.0412 0 700 700 378 33.9133 16.8349 0 0 -1 -1
0 0 38.0864 1.76065 0 13.56 0.550139 12.986 0 0 16.0412 0 700 700 536 33.9133 16.8349 0 0 -1 -1
0 0 38.0864 1.76054 0 13.56 0.550104 12.986 0 0 16.0412 0 700 700 664 33.9133 17.2665 0 0 -1 -1
