... -> 700P -> 1100P -> 40C4 -> 700P
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.2
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 0 25.0854 0 0 4.39433 0.602498 0 0 0 6.77223 2.00901 0 0 -26 26.522 19.4248 0 0 -1 -1
0 0 25.0854 0 0 4.39417 0.60246 0 0 0 6.77193 2.00893 0 0 5 26.522 18.9931 0 0 -1 -1
0 0 25.0854 0 0 4.39401 0.602422 0 0 0 6.77163 2.00884 0 0 130 26.522 19.4248 0 0 -1 -1
3.58139 0.787252 23.0854 2.68023 0 3.39385 0 0.686843 1.84952 1.70797 5.77132 4.00875 0 0 -25 26.522 19.4248 0 0 -1 -1
3.58118 0.787222 23.0854 2.68005 0 3.39373 0 0.686804 1.84938 1.7079 5.77107 4.00858 0 0 287 26.522 19.4248 0 0 -1 -1
0 1.78719 24.0854 0 0.874129 9.39361 0 3.68676 2.84923 3.70783 11.7708 3.00841 0 0 -24 26.522 19.4248 0 0 -1 -1
0 1.78712 24.0854 0 0.87406 9.39327 0 3.68656 2.849 3.70767 11.7708 3.00828 0 0 132 26.522 19.4248 0 0 -1 -1
0.581371 0 23.0854 0 0.873992 5.39292 1.60274 0 4.84878 0 5.77081 0 0 0 132 26.522 19.4248 0 0 -1 -1
0.581338 0 23.0854 0 0.873924 5.39273 1.60264 0 4.84839 0 5.77055 0 0 0 133 26.522 19.4248 0 0 -1 -1
0.581304 0 23.0854 0 0.873855 5.39253 1.60254 0 4.84801 0 5.77029 0 0 0 164 26.522 18.9931 0 0 -1 -1
0 0 20.0854 0 1.87379 1.39234 4.60243 0 0 0 8.77004 0 0 0 134 26.522 19.4248 0 0 -1 -1
0 0 20.0854 0 1.87364 1.39229 4.60214 0 0 0 8.76964 0 0 0 134 26.522 19.4248 0 0 -1 -1
4.58155 0 22.0854 0 0 2.39224 1.60185 0 0 0 1.76925 1.00901 0 0 134 26.522 19.4248 0 0 -1 -1
4.58129 0 22.0854 0 0 2.39215 1.60174 0 0 0 1.76917 1.00896 0 0 135 26.522 19.4248 0 0 -1 -1
4.58102 0 22.0854 0 0 2.39206 1.60164 0 0 0 1.76909 1.00892 0 0 104 26.522 19.8565 0 0 -1 -1
