400P -> 800P -> 1200P
Kpf: 1 Kif: 0 Kpb: 0 Kpb: 0.2
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
2.26191 0.0913857 29.6139 0.759002 0 10.5482 0 7.79978 0 3.26824 13.3477 0.378614 800 800 366 30.8698 18.9931 0 0 -1 -1
2.26181 0.0913827 29.6139 0.758961 0 10.5477 0 7.79946 0 3.26812 13.3477 0.3786 800 0 462 30.8698 17.6982 0 0 -1 -1
0 3.09138 33.6139 0.758921 0.358742 17.5473 0 5.79914 0 2.26799 17.3477 2.37859 800 0 308 30.8698 18.5615 0 0 -1 -1
0 3.09128 33.6139 0.758881 0.35872 17.5473 0 5.7989 0 2.2679 17.3477 2.3785 800 800 341 30.8698 18.5615 0 0 -1 -1
0 3.09118 33.6139 0.75884 0.358699 17.5473 0 5.79866 0 2.26782 17.3477 2.37841 800 0 311 30.8698 17.6982 0 0 -1 -1
1.2618 0 33.6139 0 2.35868 10.5473 0 7.79842 0.575066 1.26773 15.3477 3.37832 800 0 250 30.8698 18.5615 0 0 -1 -1
1.26174 0 33.6139 0 2.35853 10.5469 0 7.7981 0.575033 1.26768 15.3477 3.3782 800 0 253 30.8698 18.9931 0 0 -1 -1
0 2.09127 32.6139 0.758826 0 9.5464 1.27374 2.79778 0 0 12.3477 0 800 800 158 30.8698 17.6982 0 0 -1 -1
0 2.0912 32.6139 0.758786 0 9.546 1.2737 2.79767 0 0 12.3477 0 800 0 129 30.8698 18.1298 0 0 -1 -1
0 2.09113 32.6139 0.758745 0 9.54559 1.27365 2.79755 0 0 12.3477 0 800 0 100 30.8698 18.5615 0 0 -1 -1
2.26207 0 31.6139 0.758705 0 11.5452 1.2736 3.79744 0 0 10.3477 3.37825 800 800 134 30.8698 18.1298 0 0 -1 -1
2.26197 0 31.6139 0.758665 0 11.5447 1.27355 3.79728 0 0 10.3473 3.37813 800 0 136 30.8698 18.1298 0 0 -1 -1
3.26186 2.09151 33.6139 2.75862 0 14.5442 0 4.79713 0.575235 3.26819 13.3468 2.378 800 0 138 30.8698 18.1298 0 0 -1 -1
3.2617 2.09145 33.6139 2.75848 0 14.5442 0 4.79693 0.575202 3.26807 13.3468 2.37791 800 800 172 30.435 17.6982 0 0 -1 -1
2.26155 3.09138 31.6139 1.75833 0 14.5442 0 4.79673 2.57517 2.26794 14.3468 2.37783 800 0 174 30.8698 17.6982 0 0 -1 -1
2.26144 3.09128 31.6139 1.75824 0 14.5442 0 4.79654 2.57502 2.26786 14.3468 2.37774 800 0 145 30.8698 18.1298 0 0 -1 -1
2.26134 3.09117 31.6139 1.75815 0 14.5442 0 4.79634 2.57488 2.26777 14.3468 2.37765 800 800 147 30.435 18.1298 0 0 -1 -1
0 0 29.6139 1.75805 0 10.5442 0.273945 3.79614 0 0 14.3468 0 800 0 24 30.8698 17.6982 0 0 -1 -1
0 0 29.6139 1.75796 0 10.5438 0.273935 3.79599 0 0 14.3468 0 800 0 58 30.8698 17.2665 0 0 -1 -1
0 0 29.6139 0 0 9.54331 1.27392 4.79583 0 0 12.3468 2.37761 800 800 -221 30.435 16.8349 0 0 -1 -1
0 0 29.6139 0 0 9.54291 1.27388 4.79563 0 0 12.3468 2.37752 800 0 -376 30.435 16.8349 0 0 -1 -1
0 0 29.6139 0 0 9.5425 1.27383 4.79544 0 0 12.3468 2.37743 800 0 314 30.8698 18.1298 0 0 -1 -1
2.26216 0.0913855 32.6139 0.758541 0 13.5421 0 6.79524 1.57502 7.26813 12.3468 2.37734 800 800 -90 30.8698 17.2665 0 0 -1 -1
2.26205 0.0913825 32.6139 0.7585 0 13.5421 0 6.79496 1.57493 7.26785 12.3468 2.37726 800 0 -120 30.435 17.6982 0 0 -1 -1
0 0.0913795 28.6139 0.75846 0.359722 11.5421 1.27383 4.79468 0.574843 0 12.3468 0 800 0 -118 30.8698 17.6982 0 0 -1 -1
0 0.0913765 28.6139 0.75842 0.3597 11.5416 1.27378 4.79448 0.574811 0 12.3468 0 800 800 -209 30.8698 16.8349 0 0 -1 -1
0 0.0913735 28.6139 0.75838 0.359678 11.5411 1.27374 4.79429 0.574778 0 12.3468 0 800 0 -114 30.435 17.6982 0 0 -1 -1
1.26205 3.09137 32.6139 0 0 12.5406 0.273688 4.79409 0.574745 0 14.3468 2.37746 800 0 45 30.8698 17.6982 0 0 -1 -1
1.26199 3.09127 32.6139 0 0 12.5406 0.273677 4.79389 0.574713 0 14.3468 2.37737 800 800 -203 30.435 16.8349 0 0 -1 -1
4.26193 7.09117 35.6139 0.758365 0 12.5406 0 8.7937 1.57468 0 15.3468 1.37728 800 0 -108 30.435 17.6982 0 0 -1 -1
4.26173 7.09094 35.6139 0.758325 0 12.5406 0 8.79333 1.57459 0 15.3468 1.37723 800 0 644 30.8698 18.1298 0 0 -1 -1
4.26153 7.0907 35.6139 0.758284 0 12.5406 0 8.79297 1.5745 0 15.3468 1.37718 800 800 -41 30.435 16.8349 0 0 -1 -1
0.261327 0 29.6139 1.75824 0 13.5406 0.273865 3.79261 0 0 10.3468 0.377131 800 0 87 30.435 17.2665 0 0 -1 -1
0.261315 0 29.6139 1.75815 0 13.5406 0.273854 3.79246 0 0 10.3463 0.377117 800 0 370 30.8698 17.6982 0 0 -1 -1
0 0.090531 37.6139 0.758058 2.36066 12.5406 0 6.7923 0 5.26843 12.3459 0 800 800 60 30.435 17.6982 0 0 -1 -1
0 0.0905281 37.6139 0.758017 2.36052 12.5406 0 6.79202 0 5.26823 12.3459 0 800 0 280 30.435 16.8349 0 0 -1 -1
0 0.0905251 37.6139 0.757977 2.36037 12.5406 0 6.79174 0 5.26802 12.3459 0 800 0 220 30.8698 17.6982 0 0 -1 -1
1.26155 0 26.6139 0.757937 0 17.5406 1.27404 2.79146 1.57504 0 15.3459 0 800 0 253 30.435 17.2665 0 0 -1 -1
1.26149 0 26.6139 0.757897 0 17.5406 1.27399 2.79135 1.57495 0 15.3459 0 800 0 225 30.8698 17.6982 0 0 -1 -1
1.26143 0 26.6139 0.757857 0 17.5406 1.27394 2.79123 1.57486 0 15.3459 0 800 800 258 30.435 17.2665 0 0 -1 -1
0 4.09061 34.6139 0.757816 5.36071 14.5406 0 4.79112 1.57478 2.26825 12.3459 1.37746 800 0 260 30.435 17.2665 0 0 -1 -1
0 4.09048 34.6139 0.757776 5.36038 14.5406 0 4.79092 1.57469 2.26816 12.3459 1.37741 800 0 201 30.435 18.1298 0 0 -1 -1
2.26172 4.09034 30.6139 1.75774 0 17.5406 0 5.79073 1.5746 4.26808 15.3459 0 800 800 265 30.8698 17.6982 0 0 -1 -1
2.26162 4.09021 30.6139 1.75764 0 17.5406 0 5.79049 1.57451 4.26792 15.3459 0 800 0 298 30.435 16.8349 0 0 -1 -1
2.26151 4.09008 30.6139 1.75755 0 17.5406 0 5.79025 1.57442 4.26775 15.3459 0 800 0 238 30.435 17.6982 0 0 -1 -1
0 7.08994 28.6139 0 0.360175 13.5406 0 6.79001 1.57433 2.26759 13.3459 0 800 800 303 30.8698 17.2665 0 0 -1 -1
0 7.08971 28.6139 0 0.360153 13.5406 0 6.78973 1.57424 2.26751 13.3459 0 800 0 243 30.435 16.8349 0 0 -1 -1
1.26157 0 27.6139 0 0 9.54063 0.274166 6.78945 2.57415 0 12.3459 0 800 0 214 30.435 17.6982 0 0 -1 -1
1.26151 0 27.6139 0 0 9.54022 0.274155 6.78918 2.574 0 12.3459 0 800 0 403 30.435 18.1298 0 0 -1 -1
1.26145 0 27.6139 0 0 9.53981 0.274145 6.7889 2.57386 0 12.3459 0 800 800 249 30.435 16.8349 0 0 -1 -1
5.26139 4.08967 37.6139 1.75837 1.36043 14.5394 0 13.7886 0 1.2675 14.3459 2.37755 800 0 252 30.435 17.6982 0 0 -1 -1
5.26114 4.08953 37.6139 1.75828 1.36035 14.5394 0 13.7886 0 1.26745 14.3459 2.37746 800 0 223 30.8698 18.1298 0 0 -1 -1
1.26089 0.0893973 30.6139 0.758183 0 8.53941 1.27419 0 2.5741 0 13.3459 0 800 800 193 30.435 16.4032 0 0 -1 -1
1.26083 0.0893943 30.6139 0.758143 0 8.53905 1.27414 0 2.57395 0 13.3459 0 800 0 -148 30.435 16.8349 0 0 -1 -1
1.26077 0.0893914 30.6139 0.758102 0 8.53868 1.27409 0 2.57381 0 13.3459 0 800 0 541 30.8698 18.1298 0 0 -1 -1
5.26071 3.08939 26.6139 1.75806 0.360564 13.5383 0 6.78864 1.57366 2.26772 10.3459 0 800 800 199 30.435 16.4032 0 0 -1 -1
5.26046 3.08929 26.6139 1.75797 0.360542 13.5383 0 6.78836 1.57357 2.26763 10.3454 0 800 0 -267 30.435 16.4032 0 0 -1 -1
0 0 27.6139 0 0 7.53832 0.274099 6.78809 0 0 19.345 0 800 0 298 30.8698 17.2665 0 0 -1 -1
0 0 27.6139 0 0 7.538 0.274089 6.78781 0 0 19.345 0 800 800 175 30.435 16.8349 0 0 -1 -1
0 0 27.6139 0 0 7.53768 0.274078 6.78753 0 0 19.345 0 800 0 -135 30.435 16.8349 0 0 -1 -1
2.26046 6.08967 40.6139 0 3.36064 10.5374 0 6.78725 2.5739 4.26831 10.345 0 800 0 273 30.8698 17.6982 0 0 -1 -1
2.26035 6.08947 40.6139 0 3.36043 10.5369 0 6.78697 2.57375 4.26815 10.3445 0 800 800 212 30.435 16.4032 0 0 -1 -1
1.26025 5.08927 30.6139 0 0 12.5365 0 8.78669 0 4.26799 24.3441 2.3779 800 0 -129 30.435 16.8349 0 0 -1 -1
1.26019 5.0891 30.6139 0 0 12.5365 0 8.78633 0 4.26783 24.3441 2.37781 800 0 435 30.8698 17.6982 0 0 -1 -1
1.26013 5.08894 30.6139 0 0 12.5365 0 8.78597 0 4.26766 24.3441 2.37772 800 800 312 30.435 17.2665 0 0 -1 -1
0.260069 1.08877 38.6139 3.75883 0 11.5365 0 9.78561 0 0.267502 10.3441 1.37763 800 0 314 30.435 17.2665 0 0 -1 -1
0.260057 1.08873 38.6139 3.75863 0 11.536 0 9.78521 0 0.267492 10.3436 1.37758 800 0 285 30.8698 17.6982 0 0 -1 -1
0 0 32.6139 0.758428 0 8.53549 6.27457 1.78481 0 0 16.3432 0 800 800 318 30.435 17.2665 0 0 -1 -1
0 0 32.6139 0.758388 0 8.53512 6.27433 1.78473 0 0 16.3432 0 800 0 289 30.435 17.6982 0 0 -1 -1
0 0 32.6139 0.758348 0 8.53476 6.27409 1.78466 0 0 16.3432 0 800 0 261 30.8698 18.1298 0 0 -1 -1
2.26114 0.0888863 31.6139 0 0 11.5344 0.273849 6.78459 0 0 13.3432 0 800 800 325 30.8698 17.2665 0 0 -1 -1
2.26104 0.0888833 31.6139 0 0 11.5339 0.273838 6.78431 0 0 13.3432 0 800 0 265 30.8698 18.1298 0 0 -1 -1
2.26093 0 32.6139 1.75833 4.36141 11.5334 0 6.78403 1.57487 2.26868 18.3432 8.37831 800 0 267 30.8698 18.1298 0 0 -1 -1
2.26082 0 32.6139 1.75824 4.36114 11.5329 0 6.78375 1.57478 2.2686 18.3432 8.378 800 800 301 30.435 17.6982 0 0 -1 -1
2.26071 0 32.6139 1.75815 4.36088 11.5324 0 6.78347 1.57469 2.26851 18.3432 8.37769 800 0 303 30.435 17.6982 0 0 -1 -1
3.26061 9.08897 39.6139 0 0.360612 9.53195 0 8.78319 5.5746 3.26843 12.3432 7.37738 800 0 274 30.8698 18.1298 0 0 -1 -1
3.26045 9.08867 39.6139 0 0.36059 9.53154 0 8.78283 5.57428 3.2683 12.3432 7.37711 800 800 307 30.8698 17.6982 0 0 -1 -1
2.2603 7.08837 32.6139 1.75818 0.360568 10.5311 0 4.78247 6.57397 0.268177 14.3432 2.37684 800 0 246 30.8698 18.5615 0 0 -1 -1
2.26019 7.08814 32.6139 1.75809 0.360546 10.5307 0 4.78227 6.57359 0.268167 14.3432 2.37675 800 800 280 30.8698 18.1298 0 0 -1 -1
2.26009 7.08791 32.6139 1.758 0.360524 10.5302 0 4.78208 6.57322 0.268157 14.3432 2.37666 800 0 188 30.435 17.2665 0 0 -1 -1
0 4.08768 37.6139 2.75791 0 9.5298 0 6.78188 0 3.26815 17.3432 0 800 0 127 30.8698 18.1298 0 0 -1 -1
0 4.08754 37.6139 2.75776 0 9.52939 0 6.7816 0 3.26802 17.3432 0 800 800 192 30.8698 17.2665 0 0 -1 -1
0 4.08741 31.6139 4.75761 0 2.52899 3.27453 5.78132 0 0 15.3432 2.37669 800 0 194 30.435 17.2665 0 0 -1 -1
0 4.08728 31.6139 4.75736 0 2.52888 3.2744 5.78109 0 0 15.3432 2.3766 800 0 415 30.435 18.5615 0 0 -1 -1
0 4.08714 31.6139 4.75711 0 2.52877 3.27427 5.78085 0 0 15.3432 2.37652 800 800 198 30.8698 17.2665 0 0 -1 -1
2.2603 7.08701 34.6139 0 0 12.5287 0 6.78061 0 2.26798 13.3432 0.376428 800 0 200 30.435 16.8349 0 0 -1 -1
2.26019 7.08678 34.6139 0 0 12.5287 0 6.78033 0 2.2679 13.3432 0.376414 800 0 139 30.435 16.4032 0 0 -1 -1
0 2.08654 27.6139 0 3.36138 9.52867 0.274511 6.78005 3.57393 0 12.3432 0.3764 800 800 204 30.8698 18.1298 0 0 -1 -1
0 2.08648 27.6139 0 3.36118 9.52826 0.274501 6.77978 3.57372 0 12.3432 0.376386 800 0 206 30.435 16.8349 0 0 -1 -1
5.26044 4.08641 27.6139 0 2.36097 12.5279 0 6.7795 0 4.26802 15.3432 3.37637 800 0 145 30.435 17.2665 0 0 -1 -1
5.26019 4.08627 27.6139 0 2.36083 12.5279 0 6.77922 0 4.26786 15.3432 3.37625 800 800 210 30.8698 18.1298 0 0 -1 -1
5.25994 4.08614 27.6139 0 2.36069 12.5279 0 6.77894 0 4.26769 15.3432 3.37612 800 800 181 30.435 17.2665 0 0 -1 -1
6.25969 6.08601 28.6139 2.75742 0.360543 8.52786 0 4.77866 0.573933 7.26753 11.3432 0 800 0 309 30.435 18.1298 0 0 -1 -1
6.25939 6.08581 28.6139 2.75728 0.360521 8.5275 0 4.77847 0.573901 7.26725 11.3427 0 800 0 623 30.8698 18.1298 0 0 -1 -1
0.259098 7.08561 30.6139 0.75713 0 10.5271 2.27509 9.77827 0 0 9.34216 0 800 800 530 30.435 17.2665 0 0 -1 -1
0.259086 7.08538 30.6139 0.75709 0 10.5267 2.275 9.77787 0 0 9.34175 0 800 0 376 30.435 17.2665 0 0 -1 -1
0.259073 7.08514 30.6139 0.75705 0 10.5262 2.27491 9.77747 0 0 9.34133 0 800 0 378 30.8698 17.2665 0 0 -1 -1
0 4.08491 33.6139 0 0.360798 14.5258 0.274826 14.7771 0 0 15.3409 7.37652 800 0 349 30.8698 17.6982 0 0 -1 -1
0 4.08478 33.6139 0 0.360776 14.5258 0.274816 14.7771 0 0 15.3409 7.37625 800 800 351 30.435 17.6982 0 0 -1 -1
0 0 30.6139 0.757672 0 9.52579 3.27481 2.77706 0 0 11.3409 0 800 0 323 30.8698 18.1298 0 0 -1 -1
0 0 30.6139 0.757632 0 9.52539 3.27468 2.77695 0 0 11.3404 0 1200 0 387 30.8698 17.2665 0 0 -1 -1
0 0 30.6139 0.757592 0 9.52498 3.27456 2.77684 0 0 11.3399 0 1200 1200 358 30.435 17.6982 0 0 -1 -1
1.25947 0.0851276 28.6139 0.757552 0 6.52458 0 3.77672 1.57508 0 11.3394 0.376043 1200 0 329 30.435 18.1298 0 0 -1 -1
1.25941 0.0851248 28.6139 0.757511 0 6.5243 0 3.77657 1.57499 0 11.3389 0.376029 1200 0 268 31.3046 18.9931 0 0 -1 -1
0 2.08512 35.6139 3.75747 2.3618 9.52402 0 5.77641 0 1.26794 11.3384 0.376016 1200 0 364 30.435 17.6982 0 0 -1 -1
0 2.08505 35.6139 3.75727 2.36166 9.52362 0 5.77617 0 1.26789 11.3379 0.376002 1200 0 366 30.435 17.6982 0 0 -1 -1
0 2.08499 35.6139 3.75707 2.36151 9.52321 0 5.77594 0 1.26784 11.3374 0.375988 1200 1200 368 30.435 17.6982 0 0 -1 -1
0 3.08492 34.6139 4.75687 3.36137 11.5228 0 0 5.57515 2.2678 14.3369 3.37597 1200 0 276 30.8698 18.9931 0 0 -1 -1
0 3.08482 34.6139 4.75662 3.36116 11.5223 0 0 5.57483 2.26771 14.3369 3.37585 1200 0 340 30.8698 18.1298 0 0 -1 -1
0.259812 0 27.6139 0 2.36096 14.5218 0.274777 3.7758 0 0 10.3369 0 1200 0 404 30.435 17.2665 0 0 -1 -1
0.2598 0 27.6139 0 2.36082 14.5218 0.274766 3.77564 0 0 10.3365 0 1200 1200 406 30.435 17.2665 0 0 -1 -1
0.259788 0 27.6139 0 2.36067 14.5218 0.274756 3.77549 0 0 10.336 0 1200 0 377 30.435 17.6982 0 0 -1 -1
1.25978 4.0849 34.6139 0 3.36053 14.5218 0 7.77533 1.57476 2.26794 13.3356 0 1200 0 160 31.3046 18.5615 0 0 -1 -1
1.25972 4.08477 34.6139 0 3.36032 14.5218 0 7.77502 1.57467 2.26785 13.3356 0 1200 0 693 30.435 17.6982 0 0 -1 -1
0 0 27.6139 0 0 7.52183 0.27503 4.7747 0.574578 1.26776 12.3356 0 1200 1200 414 30.435 17.2665 0 0 -1 -1
0 0 27.6139 0 0 7.52151 0.275019 4.7745 0.574545 1.26771 12.3356 0 1200 0 416 30.435 17.2665 0 0 -1 -1
0 0 27.6139 0 0 7.52119 0.275009 4.7743 0.574512 1.26767 12.3356 0 1200 0 449 30.8698 18.9931 0 0 -1 -1
0 5.08482 30.6139 3.75679 0 12.5209 0.274998 6.77411 0 0 12.3356 0 1200 0 545 30.8698 17.6982 0 0 -1 -1
0 5.08466 30.6139 3.75659 0 12.5209 0.274988 6.77383 0 0 12.3356 0 1200 0 297 30.8698 18.9931 0 0 -1 -1
3.26059 0 30.6139 2.75639 3.36104 9.52087 0 6.77355 1.57487 3.26775 18.3356 4.37636 1200 1200 673 30.8698 17.6982 0 0 -1 -1
3.26043 0 30.6139 2.75625 3.36084 9.52047 0 6.77327 1.57478 3.26763 18.3356 4.3762 1200 0 -325 30.435 17.2665 0 0 -1 -1
3.26028 0 30.6139 2.7561 3.36064 9.52006 0 6.77299 1.57469 3.2675 18.3356 4.37604 1200 0 677 30.435 17.2665 0 0 -1 -1
0 0.0847773 31.6139 0 0 11.5197 0.275175 7.77272 4.5746 0 8.33557 3.37588 1200 0 585 30.435 17.2665 0 0 -1 -1
0 0.0847746 31.6139 0 0 11.5192 0.275165 7.7724 4.57434 0 8.3352 3.37575 1200 1200 556 31.3046 18.5615 0 0 -1 -1
1.26019 3.08477 32.6139 1.75619 0 19.5187 0 2.77208 0 3.26743 7.33484 2.37563 1200 0 558 30.435 16.8349 0 0 -1 -1
1.26014 3.08467 32.6139 1.7561 0 19.5187 0 2.77196 0 3.26731 7.33451 2.37554 1200 1200 685 30.435 18.1298 0 0 -1 -1
1.26008 3.08457 32.6139 1.756 0 19.5187 0 2.77185 0 3.26718 7.33419 2.37545 1200 0 437 30.435 17.2665 0 0 -1 -1
0.260016 3.08447 35.6139 0 0 17.5187 0 11.7717 2.57432 7.26706 14.3339 6.37536 1200 0 344 30.8698 18.5615 0 0 -1 -1
0.260004 3.08437 35.6139 0 0 17.5187 0 11.7713 2.57418 7.26678 14.3339 6.37513 1200 0 409 30.435 17.6982 0 0 -1 -1
0 0 30.6139 2.75604 0 8.51868 0.275675 5.77077 2.57403 0.266508 16.3339 0 1200 0 442 30.435 17.2665 0 0 -1 -1
0 0 30.6139 2.7559 0 8.51832 0.275664 5.77053 2.57389 0.266498 16.3339 0 1200 1200 413 30.435 17.6982 0 0 -1 -1
0 0 30.6139 2.75575 0 8.51796 0.275653 5.77029 2.57374 0.266488 16.3339 0 1200 0 353 30.435 18.5615 0 0 -1 -1
0 0 40.6139 1.7556 0 11.5176 0 4.77006 0 0 18.3339 5.37529 1200 0 387 30.8698 18.1298 0 0 -1 -1
0 0 40.6139 1.75551 0 11.5171 0 4.76986 0 0 18.3339 5.37509 1200 0 482 30.435 16.8349 0 0 -1 -1
0 6.08468 32.6139 2.75542 0 6.51662 0 2.76967 0 3.26661 9.33387 8.3749 1200 1200 157 30.435 17.6982 0 0 -1 -1
0 6.08448 32.6139 2.75527 0 6.51634 0 2.76955 0 3.26649 9.33346 8.37459 1200 0 220 30.435 16.8349 0 0 -1 -1
0 6.08428 32.6139 2.75513 0 6.51606 0 2.76944 0 3.26636 9.33305 8.37428 1200 0 97 30.8698 18.5615 0 0 -1 -1
0 6.08408 35.6139 0 4.36181 8.51579 0 13.7693 0.573999 6.26624 19.3326 9.37397 1200 0 194 30.435 17.2665 0 0 -1 -1
0 6.08388 35.6139 0 4.36154 8.51543 0 13.7693 0.573966 6.266 19.3326 9.37362 1200 1200 196 30.435 17.2665 0 0 -1 -1
7.2611 0.0836824 33.6139 1.75501 0.361275 15.5151 0 13.7693 0 1.26576 17.3326 8.37327 1200 0 104 30.8698 18.5615 0 0 -1 -1
7.26075 0.0836797 33.6139 1.75491 0.361253 15.5151 0 13.7693 0 1.26571 17.3326 8.37296 1200 0 138 30.8698 18.1298 0 0 -1 -1
7.26041 0.0836769 33.6139 1.75482 0.361231 15.5151 0 13.7693 0 1.26566 17.3326 8.37265 1200 0 15 30.435 17.6982 0 0 -1 -1
