250P -> 40C2 -> 80C2
Kpf: 10 Kif: 0.1 Kpb: 10 Kpb: 0.1
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 7.90048 20.8707 1.93194 3.74365 3.73976 0 1.01608 0 2.58779 8.21832 2.78621 -87.5341 -86 -368 24.7828 18.9931 -12.7949 404.151 10 0.1
0 7.90021 20.8707 1.93183 3.74348 3.73964 0 1.01605 0 2.58771 8.21792 2.78611 -88.8005 -88 -492 24.7828 18.5615 -12.7936 391.358 10 0.1
0 3.89993 15.8707 3.93173 0 0.739528 0 5.01601 2.09658 4.58762 7.21752 0.78601 -2.73477 -88 -492 24.7828 18.5615 -4.1456 387.212 10 0.1
0 3.89979 15.8707 3.93152 0 0.739505 0 5.01583 2.09649 4.58746 7.21717 0.785981 -3.13744 -89 -492 24.7828 18.5615 -4.14442 383.068 10 0.1
0 0.899654 17.8707 0 2.74352 1.73948 0.0791183 2.01564 0.0964073 0 6.21682 0 122.527 -3 -492 24.7828 18.5615 8.33868 391.407 10 0.1
0 0.899623 17.8707 0 2.7434 1.73943 0.0791136 2.01557 0.0964034 0 6.21651 0 123.367 -3 -242 24.7828 19.4248 8.33927 399.746 10 0.1
0 0.899591 17.8707 0 2.74328 1.73938 0.079109 2.0155 0.0963996 0 6.21621 0 124.207 123 7 24.7828 20.2881 8.33986 408.086 10 0.1
3.95748 6.89956 17.8707 0.931962 3.74316 4.73932 0 3.01542 2.0964 4.58745 7.21591 0.786195 -119.211 123 7 24.7828 20.2881 -15.8435 392.242 10 0.1
3.95734 6.89932 17.8707 0.931912 3.74299 4.73918 0 3.01531 2.09631 4.58729 7.21555 0.786166 -120.781 124 6 24.7828 20.2881 -15.8421 376.4 10 0.1
0.957203 4.89908 19.8707 1.93186 3.74283 6.73903 0 0 2.09623 3.58713 5.2152 5.78614 -112.096 -119 6 24.7828 20.2881 -14.8254 361.575 10 0.1
0.957169 4.8989 19.8707 1.93176 3.74266 6.73882 0 0 2.09614 3.58701 5.21495 5.78593 -113.565 -121 5 24.7828 20.2881 -14.824 346.751 10 0.1
0.957135 4.89873 19.8707 1.93165 3.7425 6.73862 0 0 2.09606 3.58688 5.21469 5.78572 -115.034 -112 5 24.7828 20.2881 -14.8227 331.928 10 0.1
1.9571 0.898559 14.8707 0.93155 2.74233 5.73841 0.0795478 2.01531 1.09598 0 7.21444 1.7855 39.9657 -114 5 24.7828 20.2881 0.670587 332.599 10 0.1
1.95703 0.898528 14.8707 0.9315 2.74221 5.73823 0.0795431 2.01524 1.09593 0 7.21409 1.78544 40.0428 -115 -152 24.7828 20.2881 0.671575 333.27 10 0.1
