... -> 80C2 -> 40C2 -> 80C2 -> 40C2
Kpf: 10 Kif: 0.3 Kpb: 10 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 8.75628 33.8274 3.88012 0.750127 16.3727 0 7.75227 3.08246 0.442856 13.6166 1.66766 292.782 574 381 28.2611 20.7198 -10.1485 7885.34 10 0.05
0 8.75597 33.8274 3.87991 0.750094 16.3727 0 7.75199 3.08233 0.442841 13.6166 1.6676 292.285 293 256 28.2611 20.2881 -10.1474 7875.19 10 0.05
0 8.75566 33.8274 3.87971 0.750061 16.3727 0 7.75171 3.08221 0.442826 13.6166 1.66754 291.788 292 -120 28.2611 18.9931 -10.1464 7865.05 10 0.05
2.92628 3.75535 26.8274 2.8795 2.75003 9.37272 0 3.75142 4.08209 3.44281 15.6166 8.66747 352.332 292 317 28.2611 19.4248 -4.07166 7860.98 10 0.05
2.92618 3.75522 26.8274 2.87934 2.74991 9.37243 0 3.75129 4.08193 3.44269 15.6166 8.66716 352.144 352 317 28.2611 19.4248 -4.07012 7856.91 10 0.05
0 3.75509 26.8274 0.879188 0 20.3721 2.20293 2.75115 0 0 11.6166 7.66684 432.328 352 473 28.2611 19.4248 3.92867 7860.83 10 0.05
0 3.75496 26.8274 0.87914 0 20.3721 2.2028 2.75105 0 0 11.6166 7.66656 432.532 432 473 28.2611 19.4248 3.92936 7864.76 10 0.05
0 3.75483 26.8274 0.879093 0 20.3721 2.20267 2.75095 0 0 11.6166 7.66628 432.735 433 442 28.2611 19.8565 3.93005 7868.69 10 0.05
2.92608 0.754694 30.8274 1.87905 0 17.3721 0 9.75085 3.08211 8.44284 13.6166 1.666 289.741 433 255 28.2611 20.2881 -10.3177 7858.38 10 0.05
2.92598 0.754668 30.8274 1.87894 0 17.3721 0 9.75049 3.08199 8.44255 13.6166 1.66594 289.236 290 411 28.2611 20.2881 -10.3167 7848.06 10 0.05
1.92587 0 28.8274 0.878844 0 13.3721 3.20264 6.75014 3.08187 0 8.61657 1.66588 509.773 289 254 28.2611 20.2881 11.6786 7859.74 10 0.05
1.9258 0 28.8274 0.878797 0 13.3717 3.20245 6.74989 3.08174 0 8.61615 1.66582 510.373 510 379 28.2611 20.7198 11.6802 7871.42 10 0.05
1.92574 0 28.8274 0.878749 0 13.3713 3.20226 6.74965 3.08162 0 8.61573 1.66576 510.973 510 378 28.2611 20.2881 11.6818 7883.1 10 0.05
1.92567 0 32.8274 1.8787 0 13.3709 1.20208 6.7494 0 0 11.6153 0.665698 492.291 511 222 28.2611 20.2881 9.76482 7892.86 10 0.05
1.9256 0 32.8274 1.8786 0 13.3705 1.20201 6.74915 0 0 11.6153 0.665674 492.789 492 377 28.2611 20.2881 9.76574 7902.63 10 0.05
3.92553 6.75525 27.8274 0 0.750731 16.3701 0 6.74891 5.08165 4.44245 11.6153 4.66565 312.893 493 252 28.2611 20.2881 -8.18298 7894.45 10 0.05
3.92539 6.75501 27.8274 0 0.750698 16.3701 0 6.74866 5.08145 4.4423 11.6153 4.66548 312.495 313 251 28.2611 20.2881 -8.1818 7886.27 10 0.05
3.92525 6.75477 27.8274 0 0.750665 16.3701 0 6.74842 5.08124 4.44215 11.6153 4.66531 312.098 312 95 28.2611 20.7198 -8.18061 7878.08 10 0.05
0 0.754534 23.8274 0 0 10.3701 4.20243 6.74817 0 0 10.6153 0 629.899 312 95 28.2611 20.2881 23.4821 7901.57 10 0.05
0 0.754508 23.8274 0 0 10.3698 4.20218 6.74792 0 0 10.6148 0 631.087 630 376 28.6959 20.7198 23.4834 7925.05 10 0.05
1.92547 11.7545 29.8274 3.87907 0 13.3695 0 12.7477 0 2.44231 12.6143 2.66524 283.437 631 250 28.2611 20.2881 -11.2254 7913.82 10 0.05
1.92541 11.7541 29.8274 3.87886 0 13.369 0 12.7477 0 2.44222 12.6143 2.66514 282.889 283 375 28.2611 20.7198 -11.2241 7902.6 10 0.05
1.92534 11.7537 29.8274 3.87865 0 13.3686 0 12.7477 0 2.44214 12.6143 2.66504 282.341 283 125 28.2611 19.8565 -11.2228 7891.38 10 0.05
2.92527 4.75324 24.8274 0 0 11.3682 1.20208 9.74768 0.081623 0 12.6143 1.66494 503.262 282 249 28.2611 20.2881 10.8153 7902.19 10 0.05
2.92517 4.75308 24.8274 0 0 11.3679 1.20201 9.74732 0.0816198 0 12.6143 1.66488 503.814 503 93 28.2611 20.2881 10.8164 7913.01 10 0.05
3.92506 0.75291 27.8274 1.87878 1.75128 16.3675 0 9.74697 3.08162 1.44237 8.61427 2.66482 415.218 504 92 28.2611 20.2881 1.94699 7914.96 10 0.05
3.92492 0.752883 27.8274 1.87868 1.7512 16.3675 0 9.74661 3.08149 1.44232 8.61385 2.66473 415.329 415 217 28.2611 20.7198 1.94838 7916.9 10 0.05
3.92479 0.752857 27.8274 1.87858 1.75113 16.3675 0 9.74626 3.08137 1.44227 8.61343 2.66463 415.44 415 91 28.2611 20.2881 1.94977 7918.85 10 0.05
0 2.75283 26.8274 0.878477 0 19.3675 2.20225 14.7459 0 2.44222 10.613 4.66453 350.777 415 372 28.2611 20.7198 -4.49415 7914.36 10 0.05
0 2.75273 26.8274 0.87843 0 19.3675 2.20212 14.7459 0 2.44214 10.6125 4.66436 350.562 351 371 28.2611 20.7198 -4.49311 7909.87 10 0.05
0.924722 0 30.8274 0 0 13.3675 0.201995 10.7459 0 0 11.612 0 519.314 351 121 28.2611 19.8565 12.3205 7922.19 10 0.05
0.92469 0 30.8274 0 0 13.3671 0.201983 10.7455 0 0 11.612 0 519.939 519 246 28.2611 20.2881 12.3213 7934.51 10 0.05
0.924657 0 30.8274 0 0 13.3667 0.201971 10.7451 0 0 11.612 0 520.563 520 370 28.2611 20.7198 12.3222 7946.83 10 0.05
0 2.75298 32.8274 0.878403 0 13.3663 0.201959 7.74473 1.08159 0 12.612 0 483.115 521 557 28.2611 20.2881 8.53467 7955.37 10 0.05
0 2.75288 32.8274 0.878355 0 13.3659 0.201947 7.74444 1.08155 0 12.612 0 483.551 483 151 28.2611 19.4248 8.53557 7963.9 10 0.05
0 0 26.8274 0 0 17.3655 2.20194 2.74416 2.0815 0 14.612 0 540.579 484 307 28.2611 19.4248 14.1676 7978.07 10 0.05
