... -> 40C2 -> 80C2 -> 40C2 -> 1000P
Kpf: 10 Kif: 0.3 Kpb: 10 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 4.67003 20.7772 0.847673 0.746844 4.10486 2.23465 1.58027 1.0715 2.36042 11.197 1.57833 -74.241 -74 143 25.2176 17.2665 -11.1688 748.936 10 0.05
3.913 4.66987 20.7772 0 0 4.10474 0 9.58021 0.0714602 3.36034 7.19701 4.57827 -145.987 -74 519 25.2176 18.5615 -18.2521 730.683 10 0.05
3.91286 4.6697 20.7772 0 0 4.10461 0 9.57986 0.0714574 3.36022 7.19666 4.57811 -146.885 -146 207 25.2176 18.5615 -18.2507 712.433 10 0.05
3.91272 4.66954 20.7772 0 0 4.10448 0 9.57951 0.0714545 3.3601 7.19631 4.57794 -147.783 -147 458 25.2176 19.4248 -18.2492 694.184 10 0.05
0.912582 0 25.7772 1.84814 0.746976 5.10436 0 0.579164 0.0714516 5.35999 6.19595 5.57777 -87.6352 -148 271 25.2176 19.8565 -12.1736 682.01 10 0.05
0.91255 0 25.7772 1.84804 0.746944 5.1042 0 0.579143 0.0714488 5.3598 6.19565 5.57757 -88.2335 -88 272 25.2176 19.8565 -12.1725 669.837 10 0.05
0 0 18.7772 2.84794 0.746911 4.10404 0.234916 3.57912 0 0.359617 8.19535 0.577364 39.2962 -88 553 25.2176 20.2881 0.577548 670.415 10 0.05
0 0 18.7772 2.84778 0.746878 4.10392 0.234903 3.57899 0 0.359605 8.19495 0.577343 39.3341 39 147 25.2176 19.4248 0.578438 670.993 10 0.05
0 0 18.7772 2.84763 0.746845 4.10379 0.234889 3.57886 0 0.359592 8.19455 0.577322 39.3719 39 304 25.2176 19.4248 0.579328 671.573 10 0.05
0 2.66975 19.7772 2.84748 0 6.10367 0.234875 3.57873 0.0715573 0 7.19415 0 8.68082 39 148 25.2176 19.4248 -2.47739 669.095 10 0.05
0 2.66965 19.7772 2.84733 0 6.10348 0.234862 3.5786 0.0715545 0 7.1938 0 8.56632 9 273 25.2176 19.8565 -2.47646 666.619 10 0.05
0 0 24.7772 0.847172 0.746835 2.10329 0.234848 0.578469 0.0715516 0.359693 5.19345 1.57733 68.6082 9 -8 25.2176 19.4248 3.51017 670.129 10 0.05
0 0 24.7772 0.847127 0.746802 2.10322 0.234834 0.578448 0.0715488 0.359681 5.19319 1.57727 68.7888 69 149 25.2176 19.4248 3.51068 673.64 10 0.05
0 0 24.7772 0.847081 0.746769 2.10316 0.234821 0.578427 0.0715459 0.359668 5.19294 1.57722 68.9694 69 430 25.2176 19.8565 3.51118 677.151 10 0.05
4.91254 1.6697 22.7772 0 0 7.1031 0 3.57841 2.07154 2.35966 8.19268 2.57716 -119.324 69 149 25.2176 19.4248 -15.242 661.909 10 0.05
4.91237 1.66964 22.7772 0 0 7.10288 0 3.57828 2.07146 2.35957 8.19228 2.57706 -120.074 -119 149 25.2176 19.4248 -15.2407 646.668 10 0.05
0.912194 0 17.7772 0.847052 3.74676 4.10266 5.23501 0 0 0 15.1919 2.57697 -72.0833 -120 274 25.2176 19.8565 -10.3897 636.278 10 0.05
0.912162 0 17.7772 0.847006 3.74659 4.10253 5.23471 0 0 0 15.1919 2.57688 -72.5951 -72 118 25.2176 19.8565 -10.389 625.889 10 0.05
0.91213 0 17.7772 0.846961 3.74643 4.10241 5.2344 0 0 0 15.1919 2.57678 -73.1068 -73 274 25.2176 19.8565 -10.3882 615.501 10 0.05
0 0.669829 21.7772 3.84692 0 2.10228 0 9.57819 8.07161 6.36008 5.19188 9.57669 -242.33 -73 149 25.2176 19.4248 -27.1747 588.327 10 0.05
0 0.669806 21.7772 3.84671 0 2.10222 0 9.57784 8.07129 6.35986 5.19163 9.57634 -243.671 -242 274 25.2176 19.8565 -27.1729 561.154 10 0.05
0 0 16.7772 0 0 3.10215 5.23419 2.57749 0 0 5.19138 1.57599 83.7509 -244 274 25.2176 19.4248 5.54161 566.695 10 0.05
0 0 16.7772 0 0 3.10206 5.23388 2.5774 0 0 5.19112 1.57593 84.0361 84 275 25.2176 19.8565 5.54242 572.238 10 0.05
0 0 16.7772 0 0 3.10196 5.23358 2.57731 0 0 5.19087 1.57587 84.3213 84 119 25.2176 19.8565 5.54322 577.781 10 0.05
1.91286 0 23.7772 0.846527 0 1.10186 0.233271 0 1.07131 0.360119 6.19062 1.57582 58.3398 84 275 25.2176 19.8565 2.93042 580.711 10 0.05
1.91279 0 23.7772 0.846481 0 1.10183 0.233257 0 1.07127 0.360106 6.19031 1.57576 58.4921 58 556 25.2176 19.8565 2.931 583.642 10 0.05
0 0 24.7772 0.846436 0 3.1018 2.23324 1.57724 0.0712288 0 8.19001 0 21.1708 58 119 25.2176 19.8565 -0.797151 582.845 10 0.05
0 0 24.7772 0.84639 0 3.1017 2.23311 1.57718 0.0712259 0 8.18961 0 21.1382 21 275 25.2176 19.8565 -0.79642 582.049 10 0.05
0 0 24.7772 0.846345 0 3.10161 2.23298 1.57713 0.0712231 0 8.18921 0 21.1058 21 368 25.2176 18.5615 -0.795688 581.253 10 0.05
1.91273 2.67072 20.7772 0 0 0 0.232853 4.57707 0.0712202 0 4.18881 3.57575 49.0989 21 369 25.2176 18.5615 1.99366 583.247 10 0.05
1.91266 2.67062 20.7772 0 0 0 0.23284 4.5769 0.0712174 0 4.18861 3.57562 49.2054 49 369 25.2176 18.5615 1.99434 585.241 10 0.05
1.91259 5.67053 24.7772 0 2.74706 8.10175 0 4.57674 2.07121 3.3602 6.1884 3.57549 -201.699 49 370 25.2176 18.5615 -22.9812 562.26 10 0.05
1.91253 5.67033 24.7772 0 2.74694 8.1015 0 4.57657 2.07113 3.36009 6.1881 3.57536 -202.833 -202 371 25.2176 18.5615 -22.9797 539.28 10 0.05
1.91246 5.67013 24.7772 0 2.74682 8.10125 0 4.5764 2.07105 3.35997 6.1878 3.57523 -203.968 -203 466 25.2176 19.4248 -22.9783 516.302 10 0.05
4.91239 1.66993 17.7772 1.84682 0 5.101 0 3.57624 0.070966 5.35986 6.1875 7.5751 -115.659 -204 310 25.2176 19.4248 -14.077 502.225 10 0.05
4.91222 1.66987 17.7772 1.84672 0 5.10085 0 3.5761 0.0709632 5.35967 6.18719 7.57482 -116.349 -116 124 25.2176 19.8565 -14.0756 488.149 10 0.05
0 3.66982 19.7772 0 0 6.10069 0 0 7.07096 3.35949 2.18689 9.57454 -93.5753 -116 249 25.2176 20.2881 -11.7396 476.41 10 0.05
0 3.66969 19.7772 0 0 6.1005 0 0 7.07068 3.35937 2.18679 9.57419 -94.1505 -94 249 25.2176 20.2881 -11.7384 464.671 10 0.05
0 0 13.7772 0 0 0 0 0 0 1.35925 0 0 273.112 -94 405 25.2176 20.2881 24.8636 489.535 10 0.05
0 0 13.7772 0 0 0 0 0 0 1.35921 0 0 274.356 273 248 25.2176 20.2881 24.8636 514.399 10 0.05
0 0 13.7772 0 0 0 0 0 0 1.35916 0 0 275.6 274 404 25.2176 20.2881 24.8636 539.262 10 0.05
0 0 15.7772 0 0 0 0 0 0 2.35911 0 0 246.693 276 247 25.2176 20.2881 21.8637 561.126 10 0.05
0 0 15.7772 0 0 0 0 0 0 2.35903 0 0 247.787 247 91 25.2176 20.2881 21.8638 582.99 10 0.05
0 0 12.7772 0 0 0 0 0 1.07106 5.35895 0 0 238.117 248 247 25.2176 20.2881 20.7928 603.782 10 0.05
0 0 12.7772 0 0 0 0 0 1.07102 5.35877 0 0 239.159 238 246 25.2176 20.2881 20.793 624.575 10 0.05
