... -> 80C2 -> 40C2 -> 1000P -> 40C2
Kpf: 10 Kif: 0.3 Kpb: 10 Kpb: 0.05
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
5.91072 1.6473 41.7772 0 0.756074 14.023 0 5.52748 0 12.3422 13.1528 6.54224 1000 1000 320 29.5654 15.9716 0 0 -1 -1
5.91051 1.64724 41.7772 0 0.756041 14.023 0 5.52728 0 12.3418 13.1528 6.542 1000 0 104 30.0002 16.8349 0 0 -1 -1
5.9103 1.64718 41.7772 0 0.756008 14.023 0 5.52708 0 12.3414 13.1528 6.54176 1000 0 451 30.0002 16.4032 0 0 -1 -1
0 0.647123 30.7772 0 0 5.02303 1.2427 3.52688 2.06923 1.34096 7.15283 1.54152 1000 1000 454 29.5654 16.4032 0 0 -1 -1
0 0.6471 30.7772 0 0 5.02287 1.24263 3.52675 2.06915 1.34091 7.15248 1.54146 1000 0 -12 29.5654 16.4032 0 0 -1 -1
0 0 42.7772 0 0.756084 14.0227 0 2.52662 3.06907 5.34086 10.1521 4.54141 1000 0 460 30.0002 16.4032 0 0 -1 -1
0 0 42.7772 0 0.756051 14.0227 0 2.52653 3.06895 5.34068 10.1516 4.54124 1000 1000 495 29.5654 15.9716 0 0 -1 -1
0 0 42.7772 0 0.756018 14.0227 0 2.52644 3.06882 5.3405 10.1511 4.54108 1000 0 -2 30.0002 16.4032 0 0 -1 -1
0 4.64711 35.7772 0 0 15.0227 0 5.52634 2.0687 1.34031 15.1506 9.54091 1000 0 470 29.5654 16.4032 0 0 -1 -1
0 4.64695 35.7772 0 0 15.0227 0 5.52614 2.06862 1.34027 15.1506 9.54056 1000 1000 629 29.5654 16.4032 0 0 -1 -1
0 0 36.7772 1.84045 0 8.02272 2.24324 2.52594 3.06854 0 13.1506 0 1000 0 101 30.0002 17.2665 0 0 -1 -1
0 0 36.7772 1.84035 0 8.02247 2.24311 2.52585 3.06841 0 13.1506 0 1000 0 636 29.5654 16.4032 0 0 -1 -1
0 0 36.7772 1.84025 0 8.02223 2.24298 2.52576 3.06829 0 13.1506 0 1000 0 608 30.0002 16.8349 0 0 -1 -1
1.91066 6.64683 34.7772 0 0.756521 10.022 0 5.52567 2.06817 3.34029 15.1506 5.54026 1000 0 580 30.435 17.2665 0 0 -1 -1
1.91059 6.64659 34.7772 0 0.756488 10.0217 0 5.52546 2.06808 3.34017 15.1506 5.54006 1000 0 458 30.0002 16.8349 0 0 -1 -1
0 0.646359 39.7772 0.840381 0.756455 10.0214 0.243289 12.5253 0.0680019 0.340057 16.1506 0.539859 1000 0 554 29.5654 15.5399 0 0 -1 -1
0 0.646336 39.7772 0.840336 0.756421 10.0211 0.243275 12.5253 0.0679992 0.340045 16.1506 0.539839 1000 0 683 30.0002 15.9716 0 0 -1 -1
0 0.646313 39.7772 0.840291 0.756388 10.0207 0.24326 12.5253 0.0679964 0.340033 16.1506 0.539819 1000 1000 718 29.5654 15.5399 0 0 -1 -1
1.91117 9.64629 36.7772 3.84025 0 9.02044 0 4.52526 3.06799 4.34002 11.1506 1.5398 1000 0 409 29.5654 15.5399 0 0 -1 -1
1.9111 9.64595 36.7772 3.84004 0 9.02016 0 4.5251 3.06787 4.33987 11.1506 1.53974 1000 0 851 29.5654 15.9716 0 0 -1 -1
0.911032 11.6456 40.7772 2.83983 0 8.01988 0 7.52493 3.06775 5.33972 13.1506 0.539687 1000 1000 417 29.5654 15.5399 0 0 -1 -1
0.910999 11.6452 40.7772 2.83968 0 8.01964 0 7.52466 3.06763 5.33954 13.1506 0.539667 1000 0 326 29.5654 16.8349 0 0 -1 -1
0.910967 11.6448 40.7772 2.83953 0 8.01939 0 7.52438 3.0675 5.33935 13.1506 0.539648 1000 0 643 29.5654 16.8349 0 0 -1 -1
4.91093 7.64439 42.7772 0.839375 3.75667 13.0191 0 1.52411 6.06738 6.33917 15.1506 5.53963 1000 1000 552 29.5654 15.9716 0 0 -1 -1
4.91076 7.64412 42.7772 0.83933 3.75651 13.0187 0 1.52405 6.06714 6.33895 15.1506 5.53943 1000 0 149 29.5654 16.4032 0 0 -1 -1
1.91059 5.64385 37.7772 4.83928 0 10.0183 0 4.524 2.06689 4.33873 16.1506 5.53922 1000 0 652 29.5654 16.4032 0 0 -1 -1
1.91052 5.64365 37.7772 4.83902 0 10.018 0 4.52383 2.06681 4.33858 16.1506 5.53902 1000 1000 811 29.5654 16.4032 0 0 -1 -1
1.91045 5.64345 37.7772 4.83876 0 10.0177 0 4.52367 2.06673 4.33843 16.1506 5.53882 1000 0 877 29.5654 15.5399 0 0 -1 -1
0 4.64326 39.7772 0.838505 1.75637 5.01742 3.24526 4.5235 0 0 14.1506 0.538617 1000 0 348 30.0002 15.5399 0 0 -1 -1
0 4.64309 39.7772 0.83846 1.7563 5.01726 3.24507 4.52334 0 0 14.1506 0.538597 1000 1000 102 29.5654 16.4032 0 0 -1 -1
0.910886 1.64293 29.7772 0 0 10.0171 0.244883 9.52317 1.0668 0 16.1506 2.53858 1000 0 199 29.5654 15.5399 0 0 -1 -1
0.910854 1.64287 29.7772 0 0 10.0168 0.244869 9.52283 1.06676 0 16.1506 2.53848 1000 0 265 30.0002 17.2665 0 0 -1 -1
0.910822 1.64281 29.7772 0 0 10.0165 0.244854 9.52248 1.06672 0 16.1506 2.53839 1000 0 581 29.5654 15.9716 0 0 -1 -1
1.91079 3.64276 40.7772 0 0 10.0162 1.24484 2.52213 0.0666734 0 14.1506 0 1000 1000 459 29.5654 15.5399 0 0 -1 -1
1.91072 3.64263 40.7772 0 0 10.0159 1.24477 2.52204 0.0666708 0 14.1506 0 1000 0 181 30.0002 17.2665 0 0 -1 -1
0 0.642501 30.7772 1.83916 0 3.01557 4.24469 6.52195 0 0 14.1506 0 1000 0 590 29.5654 15.9716 0 0 -1 -1
0 0.642478 30.7772 1.83906 0 3.01548 4.24445 6.52171 0 0 14.1506 0 1000 0 313 29.5654 15.5399 0 0 -1 -1
0 0.642456 30.7772 1.83896 0 3.01538 4.2442 6.52147 0 0 14.1506 0 1000 0 784 30.0002 17.6982 0 0 -1 -1
2.91141 0 32.7772 4.83886 0 10.0153 0 3.52124 0 9.33948 18.1506 2.53889 1000 0 163 29.5654 15.5399 0 0 -1 -1
2.9113 0 32.7772 4.8386 0 10.015 0 3.52111 0 9.33915 18.1506 2.5388 1000 0 291 29.5654 15.9716 0 0 -1 -1
4.9112 4.64253 38.7772 0 0.757029 15.0147 0 12.521 2.06693 7.33883 19.1506 7.53871 1000 0 794 30.0002 17.6982 0 0 -1 -1
4.91103 4.64237 38.7772 0 0.756996 15.0147 0 12.521 2.06685 7.33858 19.1506 7.53843 1000 1000 453 29.5654 15.9716 0 0 -1 -1
4.91085 4.6422 38.7772 0 0.756963 15.0147 0 12.521 2.06677 7.33833 19.1506 7.53816 1000 0 -294 29.5654 15.5399 0 0 -1 -1
2.91068 0 29.7772 0 0 3.01467 2.24493 1.52098 0 0 17.1506 7.53788 1000 0 584 29.5654 16.4032 0 0 -1 -1
2.91058 0 29.7772 0 0 3.01458 2.2448 1.52092 0 0 17.1506 7.53761 1000 1000 274 29.5654 16.4032 0 0 -1 -1
0 0 26.7772 0 1.75704 13.0145 4.24467 7.52087 0 0 15.1506 0 1000 0 -129 29.5654 15.5399 0 0 -1 -1
0 0 26.7772 0 1.75696 13.0141 4.24442 7.52059 0 0 15.1506 0 1000 0 1062 29.5654 16.4032 0 0 -1 -1
0 0 32.7772 0 0 3.01369 4.24417 5.52032 0 0 17.1506 0 1000 1000 533 29.5654 15.1083 0 0 -1 -1
0 0 32.7772 0 0 3.0136 4.24393 5.52012 0 0 17.1506 0 1000 0 475 30.0002 15.9716 0 0 -1 -1
0 0 32.7772 0 0 3.0135 4.24368 5.51992 0 0 17.1506 0 1000 0 697 29.5654 15.1083 0 0 -1 -1
0 0.64276 37.7772 0 1.75692 10.0134 2.24343 9.51972 3.06763 0 18.1506 0.537564 1000 1000 701 29.5654 15.1083 0 0 -1 -1
0 0.642737 37.7772 0 1.75684 10.0131 2.2433 9.51937 3.06751 0 18.1506 0.537544 1000 0 642 30.0002 15.9716 0 0 -1 -1
5.91134 5.64271 36.7772 0.83882 0 5.01279 0 4.51902 3.06738 5.33911 11.1506 4.53752 1000 0 489 29.5654 15.9716 0 0 -1 -1
5.91114 5.64252 36.7772 0.838775 0 5.01264 0 4.51886 3.06726 5.33892 11.1506 4.53736 1000 0 179 29.5654 15.9716 0 0 -1 -1
