... -> 1000P -> 40C2 -> 1000P -> 40C2
Kpf: 15 Kif: 0.1 Kpb: 5 Kpb: 0.02
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 3.86148 38.5572 0.471765 2.74182 13.8299 0 2.84286 0.944413 2.70814 16.8559 2.77225 1000 0 222 29.5654 17.2665 0 0 -1 -1
0 3.86135 38.5572 0.471739 2.7417 13.8299 0 2.84276 0.944375 2.70805 16.8559 2.77215 1000 0 506 30.435 17.6982 0 0 -1 -1
0 3.86121 38.5572 0.471714 2.74158 13.8299 0 2.84265 0.944337 2.70795 16.8559 2.77205 1000 1000 384 29.5654 17.2665 0 0 -1 -1
0 0 32.5572 0.471689 0 0.829937 2.56993 2.84255 0 0 8.85592 0.771946 1000 1000 417 29.5654 16.8349 0 0 -1 -1
0 0 32.5572 0.471663 0 0.829912 2.56978 2.84244 0 0 8.85549 0.771917 1000 0 671 30.0002 17.6982 0 0 -1 -1
4.69001 10.8613 41.5572 0 0 12.8299 0 8.84234 2.9443 5.70788 11.8551 2.77189 1000 1000 142 29.5654 16.4032 0 0 -1 -1
4.68984 10.8609 41.5572 0 0 12.8295 0 8.84202 2.94419 5.70768 11.8551 2.77179 1000 0 -13 29.5654 16.4032 0 0 -1 -1
4.68968 10.8605 41.5572 0 0 12.8291 0 8.8417 2.94407 5.70749 11.8551 2.77169 1000 0 240 30.0002 17.2665 0 0 -1 -1
0.68951 3.86015 41.5572 0 1.74217 7.8287 1.56971 0 2.94395 0 15.8551 0 1000 0 117 29.5654 16.8349 0 0 -1 -1
0.689485 3.86002 41.5572 0 1.7421 7.82846 1.56962 0 2.94383 0 15.8551 0 1000 1000 25 29.5654 15.9716 0 0 -1 -1
0 0.859883 39.5572 0.471995 0 6.82822 0.569527 6.84146 4.94371 2.70745 14.8551 0 1000 0 653 30.0002 18.1298 0 0 -1 -1
0 0.859853 39.5572 0.47197 0 6.82801 0.569494 6.84121 4.94352 2.70735 14.8551 0 1000 0 280 29.5654 16.8349 0 0 -1 -1
0 0.859822 39.5572 0.471944 0 6.8278 0.569461 6.84096 4.94332 2.70726 14.8551 0 1000 0 564 29.5654 17.2665 0 0 -1 -1
8.68949 4.85979 44.5572 0 3.74232 8.82759 0 5.84071 2.94312 2.70717 12.8551 6.7717 1000 0 629 29.5654 18.5615 0 0 -1 -1
8.68919 4.85962 44.5572 0 3.74215 8.82732 0 5.8405 2.943 2.70707 12.8551 6.77145 1000 0 412 30.0002 17.6982 0 0 -1 -1
0 2.85945 38.5572 0 0 11.827 0 2.84028 0 2.70698 13.8551 4.77121 1000 0 414 30.0002 17.2665 0 0 -1 -1
0 2.85935 38.5572 0 0 11.8267 0 2.84018 0 2.70689 13.8551 4.77103 1000 0 510 30.0002 16.8349 0 0 -1 -1
0 2.85925 38.5572 0 0 11.8263 0 2.84008 0 2.70679 13.8551 4.77086 1000 1000 138 30.435 18.1298 0 0 -1 -1
3.68912 5.85915 41.5572 0 0.742285 7.82596 0 3.83997 0.943013 5.7067 17.8551 3.77068 1000 0 109 29.5654 17.2665 0 0 -1 -1
3.68899 5.85894 41.5572 0 0.742252 7.82572 0 3.83983 0.942975 5.7065 17.8551 3.77055 1000 0 424 30.0002 17.2665 0 0 -1 -1
3.68886 0 45.5572 1.47244 0 11.8255 1.57077 5.83969 0.942938 0.706305 13.8551 0 1000 1000 271 30.435 18.1298 0 0 -1 -1
3.68873 0 45.5572 1.47236 0 11.8251 1.57068 5.83948 0.9429 0.70628 13.8551 0 1000 0 -289 30.0002 16.8349 0 0 -1 -1
3.6886 0 45.5572 1.47228 0 11.8247 1.57059 5.83927 0.942862 0.706256 13.8551 0 1000 0 432 30.0002 16.8349 0 0 -1 -1
2.68847 7.85907 37.5572 1.4722 2.74225 4.82438 0 0.839055 4.94282 3.70623 19.8551 0 1000 0 311 30.0002 16.8349 0 0 -1 -1
2.68838 7.85879 37.5572 1.47212 2.74213 4.82424 0 0.839024 4.94263 3.7061 19.8551 0 1000 1000 282 30.0002 17.2665 0 0 -1 -1
0 3.85852 37.5572 0 0 8.82409 3.57078 2.83899 0 0 13.8551 0.770523 1000 0 4 29.5654 16.8349 0 0 -1 -1
0 3.85838 37.5572 0 0 8.82382 3.57057 2.83889 0 0 13.8551 0.770495 1000 0 162 30.0002 16.8349 0 0 -1 -1
0 3.85825 37.5572 0 0 8.82354 3.57036 2.83879 0 0 13.8551 0.770467 1000 1000 446 30.0002 17.2665 0 0 -1 -1
