... -> 40C2 -> 1000P -> 40C2 -> 1000P
Kpf: 15 Kif: 0.1 Kpb: 5 Kpb: 0.02
0 1 2 3 4 5 6 7 8 9 10 11 realVoltageProx voltageProx voltageDist degreesProx degreesDist error integrError Kp Ki 
0 4.83847 23.5572 0 2.73786 3.76074 0 4.80804 0 8.69692 4.70843 0 -99.096 -9 42 25.2176 19.8565 -13.1076 -1677.89 5 0.02
0 4.8383 23.5572 0 2.73774 3.76062 0 4.80786 0 8.69662 4.7082 0 -99.3526 -99 166 25.2176 20.2881 -13.1065 -1691 5 0.02
0 2.83813 18.5572 0 3.73762 0 4.55483 0 0 0 9.70797 1.75471 -39.5952 -99 166 25.2176 20.2881 -1.15044 -1692.15 5 0.02
0 2.83803 18.5572 0 3.73746 0 4.55457 0 0 0 9.70749 1.75465 -39.6128 -40 166 25.2176 20.2881 -1.14938 -1693.3 5 0.02
0 2.83793 18.5572 0 3.73729 0 4.5543 0 0 0 9.70702 1.75458 -39.6305 -40 -240 25.2176 19.4248 -1.14831 -1694.45 5 0.02
0 0 13.5572 0 0 0 4.55404 2.80793 0 0 0 0 61.897 -40 41 25.2176 19.8565 19.0809 -1675.37 5 0.02
0 0 13.5572 0 0 0 4.55377 2.80782 0 0 0 0 62.2804 62 10 25.2176 20.2881 19.0812 -1656.28 5 0.02
0 0 19.5572 0 1.7375 0 2.5535 0 0 0 8.70667 0 4.24892 62 -114 25.2176 19.8565 7.44514 -1648.84 5 0.02
0 0 19.5572 0 1.73743 0 2.55336 0 0 0 8.70625 0 4.40109 4 -114 25.2176 19.8565 7.44579 -1641.39 5 0.02
0 0 19.5572 0 1.73735 0 2.55321 0 0 0 8.70582 0 4.55327 4 167 25.2176 20.2881 7.44644 -1633.95 5 0.02
0.693142 0 21.5572 0 1.73727 1.7609 0 6.80807 2.94205 0.697611 2.7054 2.75478 -40.9941 5 -113 25.2176 19.8565 -1.65641 -1635.6 5 0.02
0.693118 0 21.5572 0 1.7372 1.76085 0 6.80782 2.94193 0.697587 2.70526 2.75468 -41.0234 -41 -269 25.2176 19.8565 -1.65564 -1637.26 5 0.02
0 3.83829 15.5572 0 0 1.7608 1.55334 0 0 0.697563 0.705132 3.75458 28.163 -41 324 25.2176 20.2881 12.1331 -1625.13 5 0.02
0 3.83816 15.5572 0 0 1.76074 1.55325 0 0 0.697539 0.705098 3.75444 28.4081 28 43 25.2176 19.8565 12.1336 -1612.99 5 0.02
0 3.83802 15.5572 0 0 1.76069 1.55316 0 0 0.697515 0.705063 3.75431 28.6531 28 324 25.2176 20.2881 12.1341 -1600.86 5 0.02
2.69323 3.83789 20.5572 0.468591 0 1.76063 3.55307 2.80803 0 0 4.70503 3.75417 -52.7891 29 199 25.2176 19.8565 -4.13783 -1605 5 0.02
2.69314 3.83775 20.5572 0.468566 0 1.76058 3.55286 2.80793 0 0 4.7048 3.75403 -52.8669 -53 -113 25.2176 19.8565 -4.13685 -1609.13 5 0.02
